experiment	run	sex	age_group	fold
SRP053274	SRR2984394	female	infant	3
SRP053274	SRR2984373	female	infant	3
SRP053274	SRR1791589	female	infant	3
SRP053274	SRR2984375	female	infant	3
SRP068304	SRR3096845	male	infant	3
SRP068304	SRR3096844	male	infant	3
SRP068304	SRR3096839	male	infant	3
SRP068304	SRR3096838	male	infant	3
SRP045638	SRR2071357	male	infant	1
SRP045638	SRR2071362	male	infant	1
SRP045638	SRR1554551	male	infant	1
SRP045638	SRR2071365	female	infant	1
SRP045638	SRR2071360	male	infant	1
SRP055454	SRR1817593	female	infant	2
SRP055454	SRR1817598	female	infant	2
SRP055454	SRR1817599	female	infant	2
SRP055454	SRR1817596	female	infant	2
SRP055454	SRR1817583	female	infant	2
SRP055454	SRR1817639	female	infant	2
SRP055454	SRR1817594	female	infant	2
SRP055454	SRR1817641	female	infant	2
SRP045638	SRR1554553	male	infant	1
SRP045638	SRR2071364	male	infant	1
SRP045638	SRR2071355	female	infant	1
SRP186520	SRR8606676	male	infant	2
SRP186520	SRR8606671	male	infant	2
SRP186520	SRR8606672	male	infant	2
SRP186520	SRR8606670	male	infant	2
SRP186520	SRR8606678	male	infant	2
SRP186520	SRR8606677	male	infant	2
SRP187586	SRR8670612	male	infant	2
SRP187586	SRR8670626	male	infant	2
SRP187586	SRR8670618	male	infant	2
SRP187586	SRR8670625	male	infant	2
SRP187586	SRR8670624	male	infant	2
SRP187586	SRR8670630	male	infant	2
SRP187586	SRR8670632	male	infant	2
SRP187586	SRR8670613	male	infant	2
SRP187586	SRR8670631	male	infant	2
SRP058740	SRR2040575	male	infant	1
SRP058740	SRR2040582	male	infant	1
SRP058740	SRR2040579	male	infant	1
SRP058740	SRR2040577	male	infant	1
ERP104782	ERR2174146	female	infant	2
ERP104782	ERR2174145	female	infant	2
SRP031868	SRR1015621	male	infant	1
SRP031868	SRR1015620	male	infant	1
SRP032476	SRR1027895	female	infant	2
SRP041706	SRR1272187	male	infant	2
SRP055435	SRR1806787	male	infant	3
SRP072769	SRR3322277	male	infant	2
SRP072769	SRR3322290	male	infant	2
SRP072769	SRR3322289	male	infant	2
SRP072769	SRR3322278	male	infant	2
SRP083126	SRR4102093	male	infant	3
SRP083126	SRR4102299	male	infant	3
SRP058740	SRR2040578	male	infant	1
SRP058740	SRR2040580	male	infant	1
SRP058740	SRR2040576	male	infant	1
SRP058740	SRR2040581	male	infant	1
SRP058414	SRR2032007	female	infant	1
SRP045638	SRR2071363	female	infant	1
SRP058414	SRR2032113	male	infant	1
ERP104782	ERR2174144	female	infant	2
ERP104782	ERR2174143	female	infant	2
SRP032476	SRR1027748	female	infant	2
SRP032476	SRR1027902	female	infant	2
SRP032476	SRR1027886	male	infant	2
SRP032476	SRR1027893	male	infant	2
SRP032476	SRR1027891	male	infant	2
SRP032476	SRR1027852	male	infant	2
SRP044228	SRR1510124	male	infant	2
SRP055435	SRR1806752	male	infant	3
SRP058414	SRR2032105	female	infant	1
SRP058414	SRR2032106	female	infant	1
SRP072769	SRR3322291	male	infant	2
SRP072769	SRR3322292	male	infant	2
SRP072769	SRR3322280	female	infant	2
SRP072769	SRR3322279	female	infant	2
SRP110289	SRR5750779	female	infant	2
SRP186520	SRR8606681	male	infant	2
SRP186520	SRR8606679	male	infant	2
SRP186520	SRR8606675	male	infant	2
SRP186520	SRR8606680	male	infant	2
SRP186520	SRR8606673	male	infant	2
SRP186520	SRR8606674	male	infant	2
SRP187586	SRR8670635	male	infant	2
SRP187586	SRR8670621	male	infant	2
SRP187586	SRR8670615	male	infant	2
SRP187586	SRR8670629	male	infant	2
SRP187586	SRR8670634	male	infant	2
SRP192714	SRR8908896	male	infant	2
SRP192714	SRR8908899	male	infant	2
SRP192714	SRR8908898	male	infant	2
SRP192714	SRR8908897	male	infant	2
SRP045638	SRR2071354	female	child	1
SRP115571	SRR5938439	female	child	3
SRP032476	SRR1027841	female	child	2
SRP032476	SRR1027898	female	child	2
SRP032476	SRR1027900	male	child	2
SRP032476	SRR1027840	female	child	2
SRP032476	SRR1027888	female	child	2
SRP055435	SRR1806776	male	child	3
SRP058414	SRR2032038	male	child	1
SRP058414	SRR2032020	male	child	1
SRP058414	SRR2032108	male	child	1
SRP058414	SRR2031977	male	child	1
SRP062178	SRR2149896	male	child	1
SRP062178	SRR2149937	male	child	1
SRP062178	SRR2149943	male	child	1
SRP066267	SRR2919508	male	child	3
SRP192714	SRR8908807	female	child	2
SRP192714	SRR8908816	female	child	2
SRP192714	SRR8908827	female	child	2
SRP192714	SRR8908804	female	child	2
SRP192714	SRR8908830	female	child	2
SRP192714	SRR8908823	female	child	2
SRP192714	SRR8908802	female	child	2
SRP192714	SRR8908808	female	child	2
SRP192714	SRR8908831	female	child	2
SRP192714	SRR8908821	female	child	2
SRP192714	SRR8908812	female	child	2
SRP192714	SRR8908800	female	child	2
SRP192714	SRR8908809	female	child	2
SRP192714	SRR8908820	female	child	2
SRP192714	SRR8908810	female	child	2
SRP192714	SRR8908801	female	child	2
SRP192714	SRR8908818	female	child	2
SRP192714	SRR8908834	female	child	2
SRP192714	SRR8908835	female	child	2
SRP192714	SRR8908814	female	child	2
SRP192714	SRR8908817	female	child	2
SRP192714	SRR8908826	female	child	2
SRP192714	SRR8908828	female	child	2
SRP192714	SRR8908813	female	child	2
SRP192714	SRR8908825	female	child	2
SRP192714	SRR8908806	female	child	2
SRP192714	SRR8908824	female	child	2
SRP192714	SRR8908811	female	child	2
SRP192714	SRR8908822	female	child	2
SRP192714	SRR8908805	female	child	2
SRP192714	SRR8908833	female	child	2
SRP192714	SRR8908815	female	child	2
SRP192714	SRR8908829	female	child	2
SRP192714	SRR8908803	female	child	2
SRP192714	SRR8908832	female	child	2
SRP192714	SRR8908819	female	child	2
SRP045638	SRR2071356	male	child	1
SRP105312	SRR5483035	female	child	3
SRP035252	SRR1104902	female	child	3
SRP035252	SRR1104903	female	child	3
SRP035252	SRR1104905	female	child	3
SRP115571	SRR5938421	male	child	3
SRP031868	SRR1057968	male	child	1
SRP031868	SRR1057967	male	child	1
SRP058414	SRR2032043	male	child	1
SRP062178	SRR2149949	male	child	1
SRP062178	SRR2149844	male	child	1
SRP099346	SRR5248349	male	child	2
SRP110289	SRR5750776	female	child	2
SRP154276	SRR7535099	female	child	1
SRP192714	SRR8908608	female	child	2
SRP192714	SRR8908778	female	child	2
SRP192714	SRR8908783	female	child	2
SRP192714	SRR8908799	male	child	2
SRP192714	SRR8908779	female	child	2
SRP192714	SRR8908781	female	child	2
SRP192714	SRR8908607	female	child	2
SRP192714	SRR8908606	female	child	2
SRP192714	SRR8908785	female	child	2
SRP192714	SRR8908612	female	child	2
SRP192714	SRR8908784	female	child	2
SRP192714	SRR8908788	male	child	2
SRP192714	SRR8908798	male	child	2
SRP192714	SRR8908782	female	child	2
SRP192714	SRR8908615	female	child	2
SRP192714	SRR8908795	male	child	2
SRP192714	SRR8908790	male	child	2
SRP192714	SRR8908605	female	child	2
SRP192714	SRR8908787	female	child	2
SRP192714	SRR8908610	female	child	2
SRP192714	SRR8908604	female	child	2
SRP192714	SRR8908614	female	child	2
SRP192714	SRR8908780	female	child	2
SRP192714	SRR8908791	male	child	2
SRP192714	SRR8908611	female	child	2
SRP192714	SRR8908792	male	child	2
SRP192714	SRR8908794	male	child	2
SRP192714	SRR8908613	female	child	2
SRP192714	SRR8908797	male	child	2
SRP192714	SRR8908789	male	child	2
SRP192714	SRR8908777	female	child	2
SRP192714	SRR8908793	male	child	2
SRP192714	SRR8908609	female	child	2
SRP192714	SRR8908796	male	child	2
SRP192714	SRR8908776	female	child	2
SRP192714	SRR8908786	female	child	2
SRP211963	SRR9596422	female	child	1
SRP211963	SRR9596418	female	child	1
SRP211963	SRR9596417	female	child	1
SRP115571	SRR5938459	female	child	3
SRP045638	SRR2071375	male	child	1
SRP044228	SRR1510125	female	child	2
SRP072739	SRR3329447	male	child	3
SRP072739	SRR3329450	male	child	3
SRP072739	SRR3329443	male	child	3
SRP072739	SRR3329620	male	child	3
SRP115571	SRR5938429	male	child	3
SRP045638	SRR2071376	male	child	1
SRP045638	SRR2071353	male	child	1
SRP044228	SRR1510126	male	child	2
SRP044228	SRR1510127	female	child	2
SRP058414	SRR2032039	female	child	1
SRP062178	SRR2149942	male	child	1
SRP099346	SRR5248356	male	child	2
SRP099346	SRR5248355	male	child	2
SRP099346	SRR5248347	male	child	2
SRP099346	SRR5248358	female	child	2
SRP192714	SRR8908837	male	child	2
SRP192714	SRR8908845	male	child	2
SRP192714	SRR8908601	male	child	2
SRP192714	SRR8908848	male	child	2
SRP192714	SRR8908894	female	child	2
SRP192714	SRR8908425	female	child	2
SRP192714	SRR8908842	male	child	2
SRP192714	SRR8908858	male	child	2
SRP192714	SRR8908895	female	child	2
SRP192714	SRR8908886	female	child	2
SRP192714	SRR8908872	female	child	2
SRP192714	SRR8908852	male	child	2
SRP192714	SRR8908422	female	child	2
SRP192714	SRR8908602	male	child	2
SRP192714	SRR8908841	male	child	2
SRP192714	SRR8908600	male	child	2
SRP192714	SRR8908418	female	child	2
SRP192714	SRR8908424	female	child	2
SRP192714	SRR8908417	female	child	2
SRP192714	SRR8908875	female	child	2
SRP192714	SRR8908836	male	child	2
SRP192714	SRR8908853	male	child	2
SRP192714	SRR8908419	female	child	2
SRP192714	SRR8908874	female	child	2
SRP192714	SRR8908876	female	child	2
SRP192714	SRR8908421	female	child	2
SRP192714	SRR8908881	female	child	2
SRP192714	SRR8908843	male	child	2
SRP192714	SRR8908856	male	child	2
SRP192714	SRR8908847	male	child	2
SRP192714	SRR8908883	female	child	2
SRP192714	SRR8908838	male	child	2
SRP192714	SRR8908893	female	child	2
SRP192714	SRR8908887	female	child	2
SRP192714	SRR8908855	male	child	2
SRP192714	SRR8908892	female	child	2
SRP192714	SRR8908423	female	child	2
SRP192714	SRR8908880	female	child	2
SRP192714	SRR8908888	female	child	2
SRP192714	SRR8908889	female	child	2
SRP192714	SRR8908426	female	child	2
SRP192714	SRR8908846	male	child	2
SRP192714	SRR8908857	male	child	2
SRP192714	SRR8908844	male	child	2
SRP192714	SRR8908420	female	child	2
SRP192714	SRR8908840	male	child	2
SRP192714	SRR8908849	male	child	2
SRP192714	SRR8908603	male	child	2
SRP192714	SRR8908877	female	child	2
SRP192714	SRR8908839	male	child	2
SRP192714	SRR8908891	female	child	2
SRP192714	SRR8908851	male	child	2
SRP192714	SRR8908859	male	child	2
SRP192714	SRR8908882	female	child	2
SRP192714	SRR8908879	female	child	2
SRP192714	SRR8908850	male	child	2
SRP192714	SRR8908885	female	child	2
SRP192714	SRR8908873	female	child	2
SRP192714	SRR8908427	female	child	2
SRP192714	SRR8908884	female	child	2
SRP192714	SRR8908416	female	child	2
SRP192714	SRR8908878	female	child	2
SRP192714	SRR8908854	male	child	2
SRP192714	SRR8908890	female	child	2
SRP105312	SRR5483038	female	child	3
SRP115571	SRR5938440	male	child	3
SRP066267	SRR2919509	male	child	3
SRP072739	SRR3329444	female	child	3
SRP072739	SRR3329448	female	child	3
SRP072739	SRR3329452	female	child	3
SRP072739	SRR3329621	female	child	3
SRP044228	SRR1510128	male	child	2
ERP016816	ERR1578756	male	child	1
SRP058414	SRR2032112	female	child	1
SRP062178	SRR2149935	male	child	1
SRP072739	SRR3329453	male	child	3
SRP072739	SRR3329623	male	child	3
SRP072739	SRR3329449	male	child	3
SRP072739	SRR3329445	male	child	3
SRP096825	SRR5179137	male	child	1
SRP096825	SRR5179138	male	child	1
SRP096825	SRR5179136	male	child	1
SRP099346	SRR5248361	male	child	2
SRP099346	SRR5248353	female	child	2
SRP110289	SRR5750772	female	child	2
SRP192714	SRR8908868	male	child	2
SRP192714	SRR8908864	male	child	2
SRP192714	SRR8908866	male	child	2
SRP192714	SRR8908867	male	child	2
SRP192714	SRR8908869	male	child	2
SRP192714	SRR8908871	male	child	2
SRP192714	SRR8908860	male	child	2
SRP192714	SRR8908865	male	child	2
SRP192714	SRR8908862	male	child	2
SRP192714	SRR8908863	male	child	2
SRP192714	SRR8908870	male	child	2
SRP192714	SRR8908861	male	child	2
SRP032775	SRR1027004	female	child	1
SRP032775	SRR1177747	female	child	1
SRP032775	SRR1177751	male	child	1
SRP032775	SRR1027010	female	child	1
SRP115571	SRR5938449	female	child	3
SRP032775	SRR1027011	female	child	1
SRP032775	SRR1177752	male	child	1
SRP032775	SRR1177748	female	child	1
SRP032775	SRR1027005	female	child	1
SRP032775	SRR1177753	female	child	1
SRP032775	SRR1177749	female	child	1
SRP032775	SRR1177755	female	child	1
SRP032775	SRR1027008	female	child	1
SRP032775	SRR1177754	female	child	1
SRP032775	SRR1027006	female	child	1
SRP032775	SRR1177750	female	child	1
SRP032775	SRR1177756	female	child	1
SRP032775	SRR1027009	female	child	1
SRP032775	SRR1027007	female	child	1
SRP062178	SRR2149947	male	child	1
SRP062178	SRR2149940	male	child	1
SRP062178	SRR2149936	male	child	1
SRP062178	SRR2149951	male	child	1
SRP072769	SRR3322299	female	child	2
SRP099346	SRR5248363	male	child	2
SRP099346	SRR5248354	female	child	2
SRP099346	SRR5248360	female	child	2
SRP192714	SRR8908560	female	child	2
SRP192714	SRR8908720	male	child	2
SRP192714	SRR8908400	female	child	2
SRP192714	SRR8908552	female	child	2
SRP192714	SRR8908719	male	child	2
SRP192714	SRR8908428	female	child	2
SRP192714	SRR8908550	male	child	2
SRP192714	SRR8908562	female	child	2
SRP192714	SRR8908467	female	child	2
SRP192714	SRR8908555	female	child	2
SRP192714	SRR8908718	male	child	2
SRP192714	SRR8908561	female	child	2
SRP192714	SRR8908443	male	child	2
SRP192714	SRR8908691	female	child	2
SRP192714	SRR8908450	male	child	2
SRP192714	SRR8908459	female	child	2
SRP192714	SRR8908721	male	child	2
SRP192714	SRR8908723	male	child	2
SRP192714	SRR8908540	male	child	2
SRP192714	SRR8908547	male	child	2
SRP192714	SRR8908452	female	child	2
SRP192714	SRR8908394	female	child	2
SRP192714	SRR8908699	female	child	2
SRP192714	SRR8908556	female	child	2
SRP192714	SRR8908447	male	child	2
SRP192714	SRR8908436	female	child	2
SRP192714	SRR8908553	female	child	2
SRP192714	SRR8908431	female	child	2
SRP192714	SRR8908469	female	child	2
SRP192714	SRR8908453	female	child	2
SRP192714	SRR8908549	male	child	2
SRP192714	SRR8908458	female	child	2
SRP192714	SRR8908432	female	child	2
SRP192714	SRR8908696	female	child	2
SRP192714	SRR8908456	female	child	2
SRP192714	SRR8908448	male	child	2
SRP192714	SRR8908460	female	child	2
SRP192714	SRR8908484	male	child	2
SRP192714	SRR8908470	female	child	2
SRP192714	SRR8908430	female	child	2
SRP192714	SRR8908486	male	child	2
SRP192714	SRR8908449	male	child	2
SRP192714	SRR8908688	female	child	2
SRP192714	SRR8908487	male	child	2
SRP192714	SRR8908402	female	child	2
SRP192714	SRR8908477	male	child	2
SRP192714	SRR8908465	female	child	2
SRP192714	SRR8908396	female	child	2
SRP192714	SRR8908476	male	child	2
SRP192714	SRR8908689	female	child	2
SRP192714	SRR8908444	male	child	2
SRP192714	SRR8908698	female	child	2
SRP192714	SRR8908483	male	child	2
SRP192714	SRR8908435	female	child	2
SRP192714	SRR8908401	female	child	2
SRP192714	SRR8908482	male	child	2
SRP192714	SRR8908693	female	child	2
SRP192714	SRR8908714	male	child	2
SRP192714	SRR8908479	male	child	2
SRP192714	SRR8908468	female	child	2
SRP192714	SRR8908472	female	child	2
SRP192714	SRR8908463	female	child	2
SRP192714	SRR8908715	male	child	2
SRP192714	SRR8908461	female	child	2
SRP192714	SRR8908398	female	child	2
SRP192714	SRR8908438	female	child	2
SRP192714	SRR8908393	female	child	2
SRP192714	SRR8908455	female	child	2
SRP192714	SRR8908542	male	child	2
SRP192714	SRR8908471	female	child	2
SRP192714	SRR8908713	male	child	2
SRP192714	SRR8908558	female	child	2
SRP192714	SRR8908474	female	child	2
SRP192714	SRR8908439	female	child	2
SRP192714	SRR8908480	male	child	2
SRP192714	SRR8908697	female	child	2
SRP192714	SRR8908462	female	child	2
SRP192714	SRR8908395	female	child	2
SRP192714	SRR8908548	male	child	2
SRP192714	SRR8908485	male	child	2
SRP192714	SRR8908446	male	child	2
SRP192714	SRR8908451	male	child	2
SRP192714	SRR8908717	male	child	2
SRP192714	SRR8908466	female	child	2
SRP192714	SRR8908399	female	child	2
SRP192714	SRR8908712	male	child	2
SRP192714	SRR8908694	female	child	2
SRP192714	SRR8908546	male	child	2
SRP192714	SRR8908481	male	child	2
SRP192714	SRR8908475	female	child	2
SRP192714	SRR8908695	female	child	2
SRP192714	SRR8908433	female	child	2
SRP192714	SRR8908559	female	child	2
SRP192714	SRR8908722	male	child	2
SRP192714	SRR8908545	male	child	2
SRP192714	SRR8908441	male	child	2
SRP192714	SRR8908440	male	child	2
SRP192714	SRR8908544	male	child	2
SRP192714	SRR8908692	female	child	2
SRP192714	SRR8908557	female	child	2
SRP192714	SRR8908464	female	child	2
SRP192714	SRR8908403	female	child	2
SRP192714	SRR8908541	male	child	2
