gene_id	ont_name
23129	persistent truncus arteriosus
23129	Mobius syndrome
5395	mismatch repair cancer syndrome 4
5395	mismatch repair cancer syndrome 1
5395	colorectal cancer, hereditary nonpolyposis, type 4
5395	Lynch syndrome
5375	Charcot-Marie-Tooth disease, demyelinating, type 1G
5376	Charcot-Marie-Tooth disease type 3
5376	Charcot-Marie-Tooth disease type 1A
5376	Charcot-Marie-Tooth disease type 1E
5376	Roussy-Levy syndrome
5376	hereditary neuropathy with liability to pressure palsies
9512	multiple mitochondrial dysfunctions syndrome 6
5424	mandibular hypoplasia-deafness-progeroid syndrome
5424	Polymerase proofreading-related adenomatous polyposis
5426	intrauterine growth retardation, metaphyseal dysplasia, adrenal hypoplasia congenita, genital anomalies, and immunodeficiency
5426	IMAGe syndrome
5426	facial dysmorphism-immunodeficiency-livedo-short stature syndrome
5426	Polymerase proofreading-related adenomatous polyposis
5428	autosomal recessive progressive external ophthalmoplegia
5428	autosomal dominant progressive external ophthalmoplegia
5428	progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 1
5428	sensory ataxic neuropathy, dysarthria, and ophthalmoparesis
5428	mitochondrial DNA depletion syndrome 4b
5428	spinocerebellar ataxia with epilepsy
5428	mitochondrial neurogastrointestinal encephalomyopathy
5428	recessive mitochondrial ataxia syndrome
5428	mitochondrial DNA depletion syndrome 4a
5428	progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 1
5420	young-onset Parkinson disease
5420	atypical juvenile parkinsonism
5422	X-linked reticulate pigmentary disorder
5422	X-linked intellectual disability, van Esch type
5430	neurodevelopmental disorder with hypotonia and variable intellectual and behavioral abnormalities
55750	total early-onset cataract
55750	cataract 38
55750	Sengers syndrome
11232	autosomal dominant progressive external ophthalmoplegia
11232	mitochondrial DNA depletion syndrome 16 (hepatic type)
11232	progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 4
5429	xeroderma pigmentosum variant type
55112	Jeune syndrome
55112	short-rib thoracic dysplasia 8 with or without polydactyly
55112	short rib-polydactyly syndrome, Verma-Naumoff type
55131	ANE syndrome
25953	paroxysmal nonkinesigenic dyskinesia 1
11284	developmental and epileptic encephalopathy
11284	Charcot-Marie-Tooth disease type 2B2
11284	microcephaly, seizures, and developmental delay
11284	ataxia - oculomotor apraxia type 4
402569	partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome
5449	combined pituitary hormone deficiencies, genetic form
5449	pituitary hormone deficiency, combined, 1
5449	hypothyroidism due to deficient transcription factors involved in pituitary development or function
5449	isolated growth hormone deficiency type II
5445	amyotrophic lateral sclerosis
5446	amyotrophic lateral sclerosis
5447	congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency
5447	Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis
5459	autosomal dominant nonsyndromic hearing loss
5459	autosomal dominant nonsyndromic hearing loss 15
54892	Khan-Khan-Katsanis syndrome
5455	snijders blok-fisher syndrome
5456	mitochondrial non-syndromic sensorineural hearing loss
5456	choroideremia-deafness-obesity syndrome
5456	X-linked mixed hearing loss with perilymphatic gusher
10585	muscular dystrophy-dystroglycanopathy, type A
10585	autosomal recessive limb-girdle muscular dystrophy type 2K
10585	muscular dystrophy-dystroglycanopathy (congenital with intellectual disability), type B1
10585	congenital muscular dystrophy with intellectual disability
10585	congenital muscular dystrophy with cerebellar involvement
10585	congenital muscular dystrophy without intellectual disability
10585	muscle-eye-brain disease
10585	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A1
5444	amyotrophic lateral sclerosis
5443	obesity due to pro-opiomelanocortin deficiency
154881	progressive myoclonic epilepsy type 3
93649	megabladder, congenital
5116	microcephalic osteodysplastic primordial dwarfism type II
8028	acute myeloid leukemia
146845	situs inversus
116931	autosomal dominant non-syndromic intellectual disability
116931	Nizon-Isidor syndrome
119559	growth and developmental delay-hypotonia-vision impairment-lactic acidosis syndrome
55679	autosomal recessive limb-girdle muscular dystrophy type 2W
161497	hearing loss, autosomal recessive
161497	autosomal recessive nonsyndromic hearing loss 16
55072	autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis
79783	glutaric acidemia type 3
136647	trichothiodystrophy
136647	trichothiodystrophy 4, nonphotosensitive
83452	Smith-McCort dysplasia
83452	Smith-McCort dysplasia 2
55331	alkaline ceramidase 3 deficiency
113278	Brown-Vialetto-van Laere syndrome 1
112858	Galloway-Mowat syndrome 4
112858	Galloway-Mowat syndrome
63910	porokeratosis 8, disseminated superficial actinic type
63910	disseminated superficial actinic porokeratosis
343637	nonsyndromic congenital nail disorder 4
128866	early-onset posterior polar cataract
128866	cataract 31 multiple types
128866	early-onset posterior subcapsular cataract
65992	spondyloepimetaphyseal dysplasia, Shohat type
128637	Warburg micro syndrome
128637	Warburg micro syndrome 4
128486	siddiqi syndrome
27247	multiple mitochondrial dysfunctions syndrome 1
51733	beta-ureidopropionase deficiency
84701	pancreatic insufficiency-anemia-hyperostosis syndrome
80331	ceroid lipofuscinosis, neuronal, 4 (Kufs type)
92667	mitochondrial DNA depletion syndrome 11
80704	biotin-responsive basal ganglia disease
80704	thiamine-responsive encephalopathy
80704	infantile spams-psychomotor retardation-progressive brain atrophy-basal ganglia disease syndrome
80704	Leigh syndrome with leukodystrophy
10908	trichomegaly-retina pigmentary degeneration-dwarfism syndrome
10908	hereditary spastic paraplegia 39
10908	cerebellar ataxia-hypogonadism syndrome
10908	ataxia-hypogonadism-choroidal dystrophy syndrome
10908	Laurence-Moon syndrome
10413	uveal coloboma-cleft lip and palate-intellectual disability
85366	hypertrophic cardiomyopathy 1
343641	spinocerebellar ataxia type 35
343641	inherited acute myeloid leukemia
140732	spermatogenic failure 16
81027	autosomal dominant macrothrombocytopenia
81027	autosomal dominant macrothrombocytopenia TUBB1-related
10916	Bartter disease type 5
10916	Bartter disease type 1
124590	Usher syndrome type 1
124590	Usher syndrome type 1G
10155	kidney Wilms tumor
22954	Bardet-Biedl syndrome
22954	autosomal recessive limb-girdle muscular dystrophy type 2H
84433	immunodeficiency 11b with atopic dermatitis
84433	severe combined immunodeficiency due to CARD11 deficiency
84433	BENTA disease
64170	predisposition to invasive fungal disease due to CARD9 deficiency
25861	hearing loss, autosomal recessive
25861	autosomal recessive nonsyndromic hearing loss 31
25861	Usher syndrome type 2D
25861	Usher syndrome type 2
11315	young-onset Parkinson disease
11315	autosomal recessive early-onset Parkinson disease 7
146183	hearing loss, autosomal recessive
146183	autosomal recessive nonsyndromic hearing loss 22
55553	Tolchin-Le Caignec syndrome
11019	lipoic acid synthetase deficiency
83959	Fuchs' endothelial dystrophy
83959	corneal dystrophy, Fuchs endothelial, 4
83959	congenital hereditary endothelial dystrophy of cornea
83959	corneal dystrophy-perceptive deafness syndrome
114548	familial cold autoinflammatory syndrome
114548	hearing loss, autosomal dominant 34, with or without inflammation
114548	CINCA syndrome
114548	keratitis fugax hereditaria
114548	familial cold autoinflammatory syndrome 1
114548	Muckle-Wells syndrome
112744	chronic mucocutaneous candidiasis
58484	periodic fever-infantile enterocolitis-autoinflammatory syndrome
51684	meningioma
51684	medulloblastoma
51684	Joubert syndrome 32
51684	nevoid basal cell carcinoma syndrome
51684	acrocallosal syndrome
51314	primary ciliary dyskinesia
51314	primary ciliary dyskinesia 6
79092	familial pityriasis rubra pilaris
79092	psoriasis 2
116442	non-syndromic X-linked intellectual disability
116442	early-onset parkinsonism-intellectual disability syndrome
116442	intellectual disability, X-linked 72
57178	neurodevelopmental disorder with dysmorphic facies and distal limb anomalies
57178	neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies
79791	autosomal recessive non-syndromic intellectual disability
7809	hearing loss, autosomal recessive
7809	Bartter disease type 4a
7809	infantile Bartter syndrome with sensorineural deafness
117531	hearing loss, autosomal recessive
117531	autosomal dominant nonsyndromic hearing loss
117531	autosomal recessive nonsyndromic hearing loss 7
117531	autosomal dominant nonsyndromic hearing loss 36
51151	oculocutaneous albinism type 4
164656	IRIDA syndrome
11200	Li-Fraumeni syndrome 2
11200	bone osteosarcoma
23095	hereditary pheochromocytoma-paraganglioma
23095	Charcot-Marie-Tooth disease type 2A1
23095	pheochromocytoma
65993	combined oxidative phosphorylation deficiency 32
7871	Brugada syndrome
387733	osteogenesis imperfecta type 5
65080	infantile hypertrophic cardiomyopathy due to MRPL44 deficiency
10134	severe motor and intellectual disabilities-sensorineural deafness-dystonia syndrome
27229	microcephaly and chorioretinopathy 3
27229	microcephaly and chorioretinopathy 1
51293	methylmalonic acidemia due to transcobalamin receptor defect
27107	intellectual developmental disorder, autosomal recessive 69
84693	methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency
79577	familial isolated hyperparathyroidism
79577	parathyroid gland carcinoma
79577	hyperparathyroidism 1
79577	hyperparathyroidism 2 with jaw tumors
116461	pontocerebellar hypoplasia type 2
116461	pontocerebellar hypoplasia, type 2F
23090	nephronophthisis 2
23090	nephronophthisis 14
23090	Joubert syndrome with oculorenal defect
23414	diaphragmatic hernia 3
23414	46,XY sex reversal 9
23414	46,XY partial gonadal dysgenesis
23414	tetralogy of fallot
22907	neurodevelopmental disorder with severe motor impairment and absent language
9896	amyotrophic lateral sclerosis
9896	Charcot-Marie-Tooth disease type 4J
9896	amyotrophic lateral sclerosis type 11
9896	bilateral parasagittal parieto-occipital polymicrogyria
9896	Yunis-Varon syndrome
9915	septooptic dysplasia
9927	hereditary motor and sensory neuropathy type 6
9927	Charcot-Marie-Tooth disease type 5
9927	neuropathy, hereditary motor and sensory, type 6A
9927	Charcot-Marie-Tooth disease type 2A2
9927	Charcot-Marie-Tooth disease, axonal, autosomal recessive, type 2a2b;
9927	severe early-onset axonal neuropathy due to MFN2 deficiency
9927	multiple symmetric lipomatosis
9516	Charcot-Marie-Tooth disease type 1C
9722	Nephrotic Syndrome, Type 22
10021	familial sick sinus syndrome
10021	Brugada syndrome 8
10021	sick sinus syndrome 2, autosomal dominant
10225	C syndrome
197131	Johanson-Blizzard syndrome
56997	autosomal recessive ataxia due to ubiquinone deficiency
10878	atypical hemolytic-uremic syndrome with anti-factor H antibodies
10978	pontocerebellar hypoplasia type 10
10771	autosomal dominant non-syndromic intellectual disability
10771	intellectual disability, autosomal dominant 30
10877	atypical hemolytic-uremic syndrome with anti-factor H antibodies
10847	floating-Harbor syndrome
10290	autosomal recessive centronuclear myopathy
10290	myopathy, centronuclear, 5
10295	branched-chain keto acid dehydrogenase kinase deficiency
10456	Kostmann syndrome
10436	Bowen-Conradi syndrome
10613	hereditary spastic paraplegia 62
10617	microcephaly-capillary malformation syndrome
10625	immunodeficiency 70
84649	autosomal dominant charcot-marie-tooth disease type 2 due to DGAT2 mutation
10519	epidermodysplasia verruciformis, susceptibility to, 3
10519	epidermodysplasia verruciformis
10324	nemaline myopathy 9
10324	childhood-onset nemaline myopathy
10324	typical nemaline myopathy
10324	intermediate nemaline myopathy
10324	severe congenital nemaline myopathy
5873	Griscelli syndrome type 2
9364	cone-rod dystrophy
9364	cone-rod dystrophy 18
10112	familial isolated restrictive cardiomyopathy
5859	diffuse cerebral and cerebellar atrophy - intractable seizures - progressive microcephaly syndrome
5859	microcephaly-short stature-intellectual disability-facial dysmorphism syndrome
8766	autosomal dominant non-syndromic intellectual disability
9230	neurodevelopmental disorder with ataxic gait, absent speech, and decreased cortical white matter
5860	dihydropteridine reductase deficiency
7879	Charcot-Marie-Tooth disease type 2B
5832	autosomal dominant cutis laxa
5832	hereditary spastic paraplegia 9A
5832	cutis laxa, autosomal dominant 3
5832	autosomal recessive complex spastic paraplegia type 9B
5832	autosomal dominant complex spastic paraplegia type 9B
5832	ALDH18A1-related de Barsy syndrome
5836	glycogen storage disease VI
5837	glycogen storage disease V
5813	PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome due to a point mutation
5818	cleft lip/palate-ectodermal dysplasia syndrome
5831	autosomal recessive cutis laxa type 2B
5831	PYCR1-related de Barsy syndrome
5831	geroderma osteodysplastica
5830	Zellweger spectrum disorders
5830	rhizomelic chondrodysplasia punctata type 5
5830	neonatal adrenoleukodystrophy
5830	infantile Refsum disease
5830	peroxisome biogenesis disorder 2A (Zellweger)
5830	peroxisome biogenesis disorder 2B
5824	Zellweger spectrum disorders
5824	peroxisome biogenesis disorder 12A (Zellweger)
5824	neonatal adrenoleukodystrophy
5824	infantile Refsum disease
5828	Zellweger spectrum disorders
5828	peroxisome biogenesis disorder 5B
5828	peroxisome biogenesis disorder 5A (Zellweger)
5828	neonatal adrenoleukodystrophy
5828	infantile Refsum disease
5932	Seckel syndrome
5932	Seckel syndrome 2
5932	Jawad syndrome
8241	TARP syndrome
5917	hypomyelinating leukodystrophy 9
5921	capillary malformation-arteriovenous malformation 1
5921	basal cell carcinoma, susceptibility to, 1
5921	Parkes Weber syndrome
5921	capillary malformation-arteriovenous malformation syndrome
5925	retinoblastoma
5925	urinary bladder cancer
5925	bone osteosarcoma
5925	hereditary retinoblastoma
5925	non-hereditary retinoblastoma
5925	small cell lung carcinoma
10125	autoimmune lymphoproliferative syndrome
10125	immunodeficiency 64
10235	platelet-type bleeding disorder 18
5915	Matthew-Wood syndrome
5915	microphthalmia, syndromic 12
5922	Noonan syndrome
5879	intellectual disability, autosomal dominant 48
5880	immunodeficiency 73b with defective neutrophil chemotaxis and lymphopenia
5880	neutrophil immunodeficiency syndrome
5881	neurodevelopmental disorder with structural brain anomalies and dysmorphic facies
5889	hereditary breast ovarian cancer syndrome
5889	Fanconi anemia
5889	Fanconi anemia complementation group O
5885	Cornelia de Lange syndrome
5885	Cornelia de Lange syndrome 4
10111	Nijmegen breakage syndrome-like disorder
5888	familial congenital mirror movements
5888	Fanconi anemia
5888	mirror movements 2
5888	Fanconi anemia complementation group R
5913	fetal akinesia deformation sequence 1
5913	fetal akinesia deformation sequence 2
5913	postsynaptic congenital myasthenic syndrome
5913	congenital myasthenic syndrome 11
5914	acute promyelocytic leukemia
5894	familial isolated dilated cardiomyopathy
5894	Noonan syndrome
5894	Noonan syndrome with multiple lentigines
5894	LEOPARD syndrome 2
5894	Noonan syndrome 5
5894	dilated cardiomyopathy 1NN
8438	lymphoma, non-Hodgkin, familial
5892	hereditary breast ovarian cancer syndrome
10743	Smith-Magenis syndrome
5660	atypical Gaucher disease due to saposin C deficiency
5660	encephalopathy due to prosaposin deficiency
5660	Krabbe disease, atypical, due to saposin A deficiency
5660	infantile Krabbe disease
5660	metachromatic leukodystrophy, late infantile form
5660	metachromatic leukodystrophy, adult form
5660	metachromatic leukodystrophy, juvenile form
5660	metachromatic leukodystrophy due to saposin b deficiency
5651	congenital enteropathy due to enteropeptidase deficiency
5644	recurrent acute pancreatitis
5644	hereditary chronic pancreatitis
5654	CARASIL syndrome
5654	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 2
5654	HTRA1-related autosomal dominant cerebral small vessel disease
8492	autosomal recessive non-syndromic intellectual disability
8492	intellectual disability, autosomal recessive 1
9361	CODAS syndrome
9361	pyruvate dehydrogenase E1-alpha deficiency
5696	proteasome-associated autoinflammatory syndrome 1
5696	proteosome-associated autoinflammatory syndrome
5699	Proteasome-Associated Autoinflammatory Syndrome 5
5663	familial isolated dilated cardiomyopathy
5663	early-onset autosomal dominant Alzheimer disease
5663	semantic dementia
5663	Alzheimer disease 3
5663	dilated cardiomyopathy 1U
5663	progressive non-fluent aphasia
5663	behavioral variant of frontotemporal dementia
5663	Pick disease
5664	familial isolated dilated cardiomyopathy
5664	early-onset autosomal dominant Alzheimer disease
5664	Alzheimer disease 4
5664	dilated cardiomyopathy 1V
5723	PSPH deficiency
5727	basal cell carcinoma, susceptibility to, 1
5727	holoprosencephaly 7
