go_id	go_name	gene_count
GO:0051341	regulation of oxidoreductase activity	79
GO:0032768	regulation of monooxygenase activity	48
GO:0051000	positive regulation of nitric-oxide synthase activity	12
GO:0051353	positive regulation of oxidoreductase activity	35
GO:0032770	positive regulation of monooxygenase activity	21
GO:0045834	positive regulation of lipid metabolic process	90
GO:0046889	positive regulation of lipid biosynthetic process	43
GO:0055089	fatty acid homeostasis	4
GO:1902952	positive regulation of dendritic spine maintenance	2
GO:0097113	AMPA glutamate receptor clustering	2
GO:0097688	glutamate receptor clustering	2
GO:0150200	regulation of transport across blood-brain barrier	1
GO:1903002	positive regulation of lipid transport across blood-brain barrier	1
GO:1905853	regulation of heparan sulfate binding	1
GO:1905860	positive regulation of heparan sulfate proteoglycan binding	1
GO:2000822	regulation of behavioral fear response	1
GO:0150201	positive regulation of transport across blood-brain barrier	1
GO:1903000	regulation of lipid transport across blood-brain barrier	1
GO:0097114	NMDA glutamate receptor clustering	1
GO:1905855	positive regulation of heparan sulfate binding	1
GO:1903365	regulation of fear response	1
GO:1905858	regulation of heparan sulfate proteoglycan binding	1
GO:1905890	regulation of cellular response to very-low-density lipoprotein particle stimulus	1
GO:0035641	locomotory exploration behavior	1
GO:0071831	intermediate-density lipoprotein particle clearance	1
GO:0035640	exploration behavior	2
GO:0045541	negative regulation of cholesterol biosynthetic process	6
GO:0090206	negative regulation of cholesterol metabolic process	6
GO:0106119	negative regulation of sterol biosynthetic process	6
GO:0007626	locomotory behavior	6
GO:0048168	regulation of neuronal synaptic plasticity	5
GO:1900271	regulation of long-term synaptic potentiation	5
GO:1900272	negative regulation of long-term synaptic potentiation	3
GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors	43
GO:1902042	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	31
GO:2001234	negative regulation of apoptotic signaling pathway	145
GO:2001236	regulation of extrinsic apoptotic signaling pathway	100
GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	68
GO:0060760	positive regulation of response to cytokine stimulus	41
GO:0001961	positive regulation of cytokine-mediated signaling pathway	34
GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway	55
GO:0060759	regulation of response to cytokine stimulus	152
GO:0001959	regulation of cytokine-mediated signaling pathway	140
GO:0035878	nail development	4
GO:1902255	positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator	4
GO:0035880	embryonic nail plate morphogenesis	1
GO:1990408	calcitonin gene-related peptide receptor signaling pathway	2
GO:0071324	cellular response to disaccharide stimulus	1
GO:0009744	response to sucrose	1
GO:0034285	response to disaccharide	1
GO:0071329	cellular response to sucrose stimulus	1
GO:1903416	response to glycoside	2
GO:0090075	relaxation of muscle	8
GO:0055119	relaxation of cardiac muscle	7
GO:1904124	microglial cell migration	2
GO:1903977	positive regulation of glial cell migration	6
GO:1904141	positive regulation of microglial cell migration	4
GO:1903975	regulation of glial cell migration	8
GO:1904139	regulation of microglial cell migration	5
GO:1902162	regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	3
GO:1902164	positive regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	3
GO:1901798	positive regulation of signal transduction by p53 class mediator	15
GO:0043517	positive regulation of DNA damage response, signal transduction by p53 class mediator	10
GO:0034311	diol metabolic process	17
GO:0046519	sphingoid metabolic process	15
GO:0006670	sphingosine metabolic process	13
GO:0046173	polyol biosynthetic process	19
GO:0034312	diol biosynthetic process	13
GO:0031663	lipopolysaccharide-mediated signaling pathway	15
GO:0071396	cellular response to lipid	183
GO:0002237	response to molecule of bacterial origin	106
GO:0032496	response to lipopolysaccharide	90
GO:0071216	cellular response to biotic stimulus	92
GO:0071219	cellular response to molecule of bacterial origin	78
GO:0071222	cellular response to lipopolysaccharide	68
GO:0010813	neuropeptide catabolic process	2
GO:0043129	surfactant homeostasis	3
GO:0048875	chemical homeostasis within a tissue	3
GO:0060969	negative regulation of gene silencing	20
GO:0060965	negative regulation of gene silencing by miRNA	17
GO:0060149	negative regulation of posttranscriptional gene silencing	19
GO:0060967	negative regulation of gene silencing by RNA	19
GO:1903799	negative regulation of production of miRNAs involved in gene silencing by miRNA	11
GO:0070920	regulation of production of small RNA involved in gene silencing by RNA	21
GO:1903798	regulation of production of miRNAs involved in gene silencing by miRNA	19
GO:2000674	regulation of type B pancreatic cell apoptotic process	3
GO:0051023	regulation of immunoglobulin secretion	5
GO:0051024	positive regulation of immunoglobulin secretion	5
GO:1904996	positive regulation of leukocyte adhesion to vascular endothelial cell	11
GO:0070050	neuron cellular homeostasis	10
GO:1904994	regulation of leukocyte adhesion to vascular endothelial cell	25
GO:0048872	homeostasis of number of cells	32
GO:0002262	myeloid cell homeostasis	27
GO:0034101	erythrocyte homeostasis	23
GO:0030218	erythrocyte differentiation	20
GO:0002686	negative regulation of leukocyte migration	28
GO:2000402	negative regulation of lymphocyte migration	12
GO:2000377	regulation of reactive oxygen species metabolic process	99
GO:2000379	positive regulation of reactive oxygen species metabolic process	55
GO:1903426	regulation of reactive oxygen species biosynthetic process	46
GO:0045428	regulation of nitric oxide biosynthetic process	28
GO:1903428	positive regulation of reactive oxygen species biosynthetic process	25
GO:0045429	positive regulation of nitric oxide biosynthetic process	18
GO:1904407	positive regulation of nitric oxide metabolic process	18
GO:0043491	protein kinase B signaling	18
GO:0010721	negative regulation of cell development	45
GO:0050768	negative regulation of neurogenesis	24
GO:0051961	negative regulation of nervous system development	24
GO:0045601	regulation of endothelial cell differentiation	31
GO:1901550	regulation of endothelial cell development	16
GO:1903140	regulation of establishment of endothelial barrier	16
GO:1901888	regulation of cell junction assembly	89
GO:2000810	regulation of bicellular tight junction assembly	19
GO:0032060	bleb assembly	7
GO:0048745	smooth muscle tissue development	2
GO:0060414	aorta smooth muscle tissue morphogenesis	1
GO:0035904	aorta development	1
GO:0035909	aorta morphogenesis	1
GO:0048241	epinephrine transport	2
GO:0051625	epinephrine uptake	2
GO:0051608	histamine transport	4
GO:0051615	histamine uptake	3
GO:0051620	norepinephrine uptake	3
GO:0097164	ammonium ion metabolic process	12
GO:0001692	histamine metabolic process	5
GO:1901998	toxin transport	6
GO:0001504	neurotransmitter uptake	13
GO:0098810	neurotransmitter reuptake	9
GO:0015874	norepinephrine transport	4
GO:0006837	serotonin transport	5
GO:0051610	serotonin uptake	5
GO:0015844	monoamine transport	12
GO:0015872	dopamine transport	8
GO:0051937	catecholamine transport	8
GO:0090493	catecholamine uptake	7
GO:0090494	dopamine uptake	7
GO:0042908	xenobiotic transport	20
GO:0015893	drug transport	10
GO:0006855	drug transmembrane transport	8
GO:0008347	glial cell migration	9
GO:0042118	endothelial cell activation	7
GO:1900480	regulation of diacylglycerol biosynthetic process	1
GO:0036323	vascular endothelial growth factor receptor-1 signaling pathway	1
GO:0006421	asparaginyl-tRNA aminoacylation	2
GO:0070145	mitochondrial asparaginyl-tRNA aminoacylation	1
GO:0051701	interaction with host	80
GO:0046718	viral entry into host cell	27
GO:0052126	movement in host environment	40
GO:0044409	entry into host	35
GO:0044764	multi-organism cellular process	14
GO:0019064	fusion of virus membrane with host plasma membrane	7
GO:0044803	multi-organism membrane organization	9
GO:0039663	membrane fusion involved in viral entry into host cell	8
GO:0044800	multi-organism membrane fusion	8
GO:0038146	chemokine (C-X-C motif) ligand 12 signaling pathway	4
GO:0038159	C-X-C chemokine receptor CXCR4 signaling pathway	1
GO:0038160	CXCL12-activated CXCR4 signaling pathway	1
GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	115
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	74
GO:0034122	negative regulation of toll-like receptor signaling pathway	30
GO:0062207	regulation of pattern recognition receptor signaling pathway	75
GO:0034121	regulation of toll-like receptor signaling pathway	51
GO:0002407	dendritic cell chemotaxis	12
GO:0036336	dendritic cell migration	12
GO:0034344	regulation of type III interferon production	3
GO:0009597	detection of virus	5
GO:0039530	MDA-5 signaling pathway	3
GO:0032480	negative regulation of type I interferon production	41
GO:0098586	cellular response to virus	32
GO:0039528	cytoplasmic pattern recognition receptor signaling pathway in response to virus	9
GO:0039529	RIG-I signaling pathway	6
GO:0090205	positive regulation of cholesterol metabolic process	6
GO:0060602	branch elongation of an epithelium	2
GO:0045542	positive regulation of cholesterol biosynthetic process	4
GO:0106120	positive regulation of sterol biosynthetic process	4
GO:0060677	ureteric bud elongation	1
GO:0060681	branch elongation involved in ureteric bud branching	1
GO:0006575	cellular modified amino acid metabolic process	119
GO:0006578	amino-acid betaine biosynthetic process	5
GO:0045329	carnitine biosynthetic process	5
GO:0006577	amino-acid betaine metabolic process	9
GO:0009437	carnitine metabolic process	7
GO:0038095	Fc-epsilon receptor signaling pathway	167
GO:0045089	positive regulation of innate immune response	180
GO:0002218	activation of innate immune response	135
GO:0002223	stimulatory C-type lectin receptor signaling pathway	111
GO:0002758	innate immune response-activating signal transduction	115
GO:0002220	innate immune response activating cell surface receptor signaling pathway	114
GO:1901657	glycosyl compound metabolic process	72
GO:0009116	nucleoside metabolic process	57
GO:1901068	guanosine-containing compound metabolic process	17
GO:0046039	GTP metabolic process	11
GO:0009119	ribonucleoside metabolic process	28
GO:0042278	purine nucleoside metabolic process	25
GO:0046128	purine ribonucleoside metabolic process	22
GO:0045343	regulation of MHC class I biosynthetic process	6
GO:0045345	positive regulation of MHC class I biosynthetic process	5
GO:0097066	response to thyroid hormone	7
GO:0097067	cellular response to thyroid hormone stimulus	7
GO:0001815	positive regulation of antibody-dependent cellular cytotoxicity	1
GO:0002894	positive regulation of type II hypersensitivity	1
GO:0032759	positive regulation of TRAIL production	1
GO:0002863	positive regulation of inflammatory response to antigenic stimulus	1
GO:0002885	positive regulation of hypersensitivity	1
GO:0032679	regulation of TRAIL production	1
GO:0001798	positive regulation of type IIa hypersensitivity	1
GO:0002866	positive regulation of acute inflammatory response to antigenic stimulus	1
GO:0100026	positive regulation of DNA repair by transcription from RNA polymerase II promoter	2
GO:0033157	regulation of intracellular protein transport	141
GO:0046822	regulation of nucleocytoplasmic transport	59
GO:0018352	protein-pyridoxal-5-phosphate linkage	2
GO:0006540	glutamate decarboxylation to succinate	1
GO:0002701	negative regulation of production of molecular mediator of immune response	17
GO:0002719	negative regulation of cytokine production involved in immune response	16
GO:0090399	replicative senescence	8
GO:0007568	aging	57
GO:0007569	cell aging	37
GO:0090398	cellular senescence	27
GO:0071931	positive regulation of transcription involved in G1/S transition of mitotic cell cycle	2
GO:0061034	olfactory bulb mitral cell layer development	1
GO:0018195	peptidyl-arginine modification	16
GO:0018216	peptidyl-arginine methylation	9
GO:0034969	histone arginine methylation	5
GO:0035523	protein K29-linked deubiquitination	4
GO:1990168	protein K33-linked deubiquitination	3
GO:1902993	positive regulation of amyloid precursor protein catabolic process	18
GO:1902004	positive regulation of amyloid-beta formation	15
GO:0019254	carnitine metabolic process, CoA-linked	2
GO:0034552	respiratory chain complex II assembly	2
GO:0034553	mitochondrial respiratory chain complex II assembly	2
GO:0120161	regulation of cold-induced thermogenesis	2
GO:0120163	negative regulation of cold-induced thermogenesis	2
GO:0060384	innervation	1
GO:1904826	regulation of hydrogen sulfide biosynthetic process	2
GO:1900062	NA	1
GO:0071350	cellular response to interleukin-15	13
GO:0035723	interleukin-15-mediated signaling pathway	13
GO:0070672	response to interleukin-15	13
GO:0070669	response to interleukin-2	11
GO:0038110	interleukin-2-mediated signaling pathway	11
GO:0071352	cellular response to interleukin-2	11
GO:0098756	response to interleukin-21	8
GO:0038114	interleukin-21-mediated signaling pathway	8
GO:0098757	cellular response to interleukin-21	8
GO:0038113	interleukin-9-mediated signaling pathway	9
GO:0071104	response to interleukin-9	9
GO:0071355	cellular response to interleukin-9	9
GO:0001558	regulation of cell growth	196
GO:0045926	negative regulation of growth	105
GO:0030308	negative regulation of cell growth	89
GO:0051091	positive regulation of DNA-binding transcription factor activity	196
GO:0051092	positive regulation of NF-kappaB transcription factor activity	128
GO:0008283	cell population proliferation	133
GO:0006140	regulation of nucleotide metabolic process	81
GO:1900542	regulation of purine nucleotide metabolic process	79
GO:0043470	regulation of carbohydrate catabolic process	68
GO:0006110	regulation of glycolytic process	61
GO:0043467	regulation of generation of precursor metabolites and energy	103
GO:1903578	regulation of ATP metabolic process	77
GO:0090630	activation of GTPase activity	27
GO:0043087	regulation of GTPase activity	139
GO:0043547	positive regulation of GTPase activity	101
GO:1900078	positive regulation of cellular response to insulin stimulus	8
GO:0097581	lamellipodium organization	17
GO:0030032	lamellipodium assembly	14
GO:0032674	regulation of interleukin-5 production	9
GO:0032754	positive regulation of interleukin-5 production	5
GO:0061469	regulation of type B pancreatic cell proliferation	1
GO:1904692	positive regulation of type B pancreatic cell proliferation	1
GO:0009261	ribonucleotide catabolic process	13
GO:0009154	purine ribonucleotide catabolic process	12
GO:0006607	NLS-bearing protein import into nucleus	4
GO:0099527	postsynapse to nucleus signaling pathway	1
GO:0051480	regulation of cytosolic calcium ion concentration	138
GO:0007204	positive regulation of cytosolic calcium ion concentration	122
GO:0060401	cytosolic calcium ion transport	52
GO:0097553	calcium ion transmembrane import into cytosol	30
GO:0051209	release of sequestered calcium ion into cytosol	20
GO:0051283	negative regulation of sequestering of calcium ion	20
GO:1903576	response to L-arginine	1
GO:1903577	cellular response to L-arginine	1
GO:0015889	cobalamin transport	5
GO:0031296	B cell costimulation	1
GO:0044278	cell wall disruption in other organism	1
GO:0030309	poly-N-acetyllactosamine metabolic process	5
GO:0030311	poly-N-acetyllactosamine biosynthetic process	5
GO:0021591	ventricular system development	2
GO:0021540	corpus callosum morphogenesis	3
GO:0022038	corpus callosum development	3
GO:0021678	third ventricle development	1
GO:0036343	psychomotor behavior	1
GO:0034421	post-translational protein acetylation	3
GO:1904232	regulation of aconitate hydratase activity	4
GO:1904234	positive regulation of aconitate hydratase activity	3
GO:0018282	metal incorporation into metallo-sulfur cluster	2
GO:0018283	iron incorporation into metallo-sulfur cluster	2
GO:0010722	regulation of ferrochelatase activity	1
GO:1904229	regulation of succinate dehydrogenase activity	2
GO:1904231	positive regulation of succinate dehydrogenase activity	2
GO:0002513	tolerance induction to self antigen	2
GO:0070666	regulation of mast cell proliferation	1
GO:0070668	positive regulation of mast cell proliferation	1
GO:0010975	regulation of neuron projection development	100
GO:0010976	positive regulation of neuron projection development	37
GO:1905247	positive regulation of aspartic-type peptidase activity	7
GO:1902961	positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process	6
GO:1905245	regulation of aspartic-type peptidase activity	11
GO:1902959	regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process	9
GO:0051791	medium-chain fatty acid metabolic process	9
GO:0051792	medium-chain fatty acid biosynthetic process	3
GO:1900449	regulation of glutamate receptor signaling pathway	2
GO:1904021	negative regulation of G protein-coupled receptor internalization	2
GO:1900451	positive regulation of glutamate receptor signaling pathway	1
GO:0060167	regulation of adenosine receptor signaling pathway	3
GO:0060168	positive regulation of adenosine receptor signaling pathway	2
GO:2000106	regulation of leukocyte apoptotic process	36
GO:2000107	negative regulation of leukocyte apoptotic process	20
GO:0017121	plasma membrane phospholipid scrambling	4
GO:0010912	positive regulation of isomerase activity	4
GO:2000371	regulation of DNA topoisomerase (ATP-hydrolyzing) activity	4
GO:0010911	regulation of isomerase activity	4
GO:2000373	positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity	4
GO:0032677	regulation of interleukin-8 production	90
GO:0032757	positive regulation of interleukin-8 production	54
GO:0090143	nucleoid organization	1
GO:0090144	mitochondrial nucleoid organization	1
GO:0045454	cell redox homeostasis	26
GO:0042554	superoxide anion generation	8
GO:0015949	nucleobase-containing small molecule interconversion	27
GO:0009151	purine deoxyribonucleotide metabolic process	7
GO:0046056	dADP metabolic process	3
GO:0009182	purine deoxyribonucleoside diphosphate metabolic process	4
GO:0009186	deoxyribonucleoside diphosphate metabolic process	4
GO:0006221	pyrimidine nucleotide biosynthetic process	5
GO:0009218	pyrimidine ribonucleotide metabolic process	6
GO:0009220	pyrimidine ribonucleotide biosynthetic process	4
GO:0016358	dendrite development	16
GO:0048813	dendrite morphogenesis	7
GO:0050806	positive regulation of synaptic transmission	8
GO:0048167	regulation of synaptic plasticity	20
GO:0050804	modulation of chemical synaptic transmission	54
GO:0099177	regulation of trans-synaptic signaling	54
GO:0046458	hexadecanal metabolic process	1
GO:0033306	phytol metabolic process	2
GO:1903173	fatty alcohol metabolic process	2
GO:0007229	integrin-mediated signaling pathway	52
GO:0002522	leukocyte migration involved in immune response	1
GO:0045728	respiratory burst after phagocytosis	1
GO:2000249	regulation of actin cytoskeleton reorganization	28
GO:2000251	positive regulation of actin cytoskeleton reorganization	14
GO:0033004	negative regulation of mast cell activation	4
GO:0033007	negative regulation of mast cell activation involved in immune response	3
GO:0043305	negative regulation of mast cell degranulation	3
GO:0034124	regulation of MyD88-dependent toll-like receptor signaling pathway	2
GO:0034125	negative regulation of MyD88-dependent toll-like receptor signaling pathway	2
GO:0051134	negative regulation of NK T cell activation	1
GO:1902569	negative regulation of activation of Janus kinase activity	1
GO:1905154	negative regulation of membrane invagination	1
GO:0060101	negative regulation of phagocytosis, engulfment	1
GO:1902567	negative regulation of eosinophil activation	1
GO:0035306	positive regulation of dephosphorylation	41
GO:0035307	positive regulation of protein dephosphorylation	34
GO:0010922	positive regulation of phosphatase activity	22
GO:0032516	positive regulation of phosphoprotein phosphatase activity	16
GO:0060586	multicellular organismal iron ion homeostasis	2
GO:0060457	negative regulation of digestive system process	6
GO:1904478	regulation of intestinal absorption	3
GO:1904479	negative regulation of intestinal absorption	3
GO:0046348	amino sugar catabolic process	8
GO:0006054	N-acetylneuraminate metabolic process	7
GO:0019262	N-acetylneuraminate catabolic process	4
GO:0055064	chloride ion homeostasis	3
GO:0030644	cellular chloride ion homeostasis	2
GO:0050673	epithelial cell proliferation	27
GO:0001935	endothelial cell proliferation	15
GO:0045933	positive regulation of muscle contraction	14
GO:0006940	regulation of smooth muscle contraction	14
GO:0045987	positive regulation of smooth muscle contraction	8
GO:0002082	regulation of oxidative phosphorylation	12
GO:1903862	positive regulation of oxidative phosphorylation	2
GO:0050928	negative regulation of positive chemotaxis	1
GO:1902202	regulation of hepatocyte growth factor receptor signaling pathway	4
GO:1902205	regulation of interleukin-2-mediated signaling pathway	1
GO:1902206	negative regulation of interleukin-2-mediated signaling pathway	1
GO:0034154	toll-like receptor 7 signaling pathway	1
GO:0048934	peripheral nervous system neuron differentiation	4
GO:0048935	peripheral nervous system neuron development	4
GO:1901889	negative regulation of cell junction assembly	17
GO:0051895	negative regulation of focal adhesion assembly	12
GO:0150118	negative regulation of cell-substrate junction organization	12
GO:0086009	membrane repolarization	17
GO:0099622	cardiac muscle cell membrane repolarization	14
GO:0086011	membrane repolarization during action potential	14
GO:0086013	membrane repolarization during cardiac muscle cell action potential	14
GO:0006813	potassium ion transport	93
GO:0071805	potassium ion transmembrane transport	58
GO:0035871	protein K11-linked deubiquitination	10
GO:0044313	protein K6-linked deubiquitination	3
GO:1902902	negative regulation of autophagosome assembly	12
GO:0044088	regulation of vacuole organization	33
GO:2000785	regulation of autophagosome assembly	28
GO:0038203	TORC2 signaling	3
GO:0036438	maintenance of lens transparency	2
GO:0097510	base-excision repair, AP site formation via deaminated base removal	1
GO:0046745	viral capsid secondary envelopment	1
GO:0042780	tRNA 3'-end processing	6
GO:0071045	nuclear histone mRNA catabolic process	1
GO:0016236	macroautophagy	134
GO:0097352	autophagosome maturation	25
GO:1902214	regulation of interleukin-4-mediated signaling pathway	1
GO:1902216	positive regulation of interleukin-4-mediated signaling pathway	1
GO:0007029	endoplasmic reticulum organization	36
GO:0071786	endoplasmic reticulum tubular network organization	12
GO:0046466	membrane lipid catabolic process	24
GO:0030149	sphingolipid catabolic process	21
GO:0009313	oligosaccharide catabolic process	10
GO:0001573	ganglioside metabolic process	11
GO:0046514	ceramide catabolic process	14
GO:0019377	glycolipid catabolic process	12
GO:0046479	glycosphingolipid catabolic process	10
GO:1901301	regulation of cargo loading into COPII-coated vesicle	1
GO:1901303	negative regulation of cargo loading into COPII-coated vesicle	1
GO:2000638	regulation of SREBP signaling pathway	3
GO:0036316	SREBP-SCAP complex retention in endoplasmic reticulum	2
GO:2000639	negative regulation of SREBP signaling pathway	2
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	17
GO:0006490	oligosaccharide-lipid intermediate biosynthetic process	17
GO:0006489	dolichyl diphosphate biosynthetic process	6
GO:0046465	dolichyl diphosphate metabolic process	6
GO:1902221	erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process	11
GO:1902222	erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process	11
GO:0006558	L-phenylalanine metabolic process	11
GO:0006559	L-phenylalanine catabolic process	11
GO:0009072	aromatic amino acid family metabolic process	30
GO:0009074	aromatic amino acid family catabolic process	27
GO:0001887	selenium compound metabolic process	3
GO:0009087	methionine catabolic process	1
GO:0045851	pH reduction	37
GO:0051452	intracellular pH reduction	37
GO:0090382	phagosome maturation	34
GO:0090383	phagosome acidification	27
GO:0055067	monovalent inorganic cation homeostasis	70
GO:0030641	regulation of cellular pH	54
GO:0008361	regulation of cell size	49
GO:0045773	positive regulation of axon extension	6
GO:0061387	regulation of extent of cell growth	15
GO:0030516	regulation of axon extension	12
GO:0048311	mitochondrion distribution	6
GO:0048312	intracellular distribution of mitochondria	4
GO:0072386	plus-end-directed organelle transport along microtubule	5
GO:0090258	negative regulation of mitochondrial fission	2
GO:1990416	cellular response to brain-derived neurotrophic factor stimulus	1
GO:0098038	non-replicative transposition, DNA-mediated	1
GO:0006313	transposition, DNA-mediated	2
GO:0032196	transposition	2
GO:0061099	negative regulation of protein tyrosine kinase activity	15
GO:0007175	negative regulation of epidermal growth factor-activated receptor activity	9
GO:0045444	fat cell differentiation	15
GO:0002152	bile acid conjugation	1
GO:0018199	peptidyl-glutamine modification	3
GO:0017186	peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase	2
GO:0006948	induction by virus of host cell-cell fusion	1
GO:0007207	phospholipase C-activating G protein-coupled acetylcholine receptor signaling pathway	3
GO:0007213	G protein-coupled acetylcholine receptor signaling pathway	8
GO:0098926	postsynaptic signal transduction	11
GO:1905144	response to acetylcholine	11
GO:0095500	acetylcholine receptor signaling pathway	10
GO:1905145	cellular response to acetylcholine	10
GO:0032606	type I interferon production	3
GO:0032608	interferon-beta production	1
GO:0033540	fatty acid beta-oxidation using acyl-CoA oxidase	15
GO:0009062	fatty acid catabolic process	65
GO:0006635	fatty acid beta-oxidation	42
GO:0035094	response to nicotine	13
GO:0035095	behavioral response to nicotine	5
GO:0048278	vesicle docking	9
GO:0140029	exocytic process	10
GO:0006904	vesicle docking involved in exocytosis	7
GO:1904376	negative regulation of protein localization to cell periphery	22
GO:1905476	negative regulation of protein localization to membrane	25
GO:1903077	negative regulation of protein localization to plasma membrane	20
GO:0023035	CD40 signaling pathway	4
GO:1903297	regulation of hypoxia-induced intrinsic apoptotic signaling pathway	3
GO:1903298	negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway	3
GO:1900037	regulation of cellular response to hypoxia	9
GO:1900038	negative regulation of cellular response to hypoxia	5
GO:0042737	drug catabolic process	12
GO:0042738	exogenous drug catabolic process	10
GO:0070988	demethylation	43
GO:0070989	oxidative demethylation	13
GO:0051567	histone H3-K9 methylation	3
GO:0061647	histone H3-K9 modification	3
GO:0061763	multivesicular body-lysosome fusion	2
