go_id	go_name
GO:0000956	nuclear-transcribed mRNA catabolic process
GO:0051222	positive regulation of protein transport
GO:0097190	apoptotic signaling pathway
GO:0051896	regulation of protein kinase B signaling
GO:0007417	central nervous system development
GO:0090150	establishment of protein localization to membrane
GO:2001020	regulation of response to DNA damage stimulus
GO:0002696	positive regulation of leukocyte activation
GO:0019884	antigen processing and presentation of exogenous antigen
GO:0051169	nuclear transport
GO:0051348	negative regulation of transferase activity
GO:1903522	regulation of blood circulation
GO:2000116	regulation of cysteine-type endopeptidase activity
GO:0002478	antigen processing and presentation of exogenous peptide antigen
GO:0006898	receptor-mediated endocytosis
GO:0008015	blood circulation
GO:1903320	regulation of protein modification by small protein conjugation or removal
GO:0003012	muscle system process
GO:0015672	monovalent inorganic cation transport
GO:0006913	nucleocytoplasmic transport
GO:0050708	regulation of protein secretion
GO:0071103	DNA conformation change
GO:0031175	neuron projection development
GO:0031330	negative regulation of cellular catabolic process
GO:0070372	regulation of ERK1 and ERK2 cascade
GO:0070482	response to oxygen levels
GO:0090287	regulation of cellular response to growth factor stimulus
GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling
GO:0198738	cell-cell signaling by wnt
GO:0009615	response to virus
GO:0050863	regulation of T cell activation
GO:0070085	glycosylation
GO:0016055	Wnt signaling pathway
GO:0038095	Fc-epsilon receptor signaling pathway
GO:0008202	steroid metabolic process
GO:0045861	negative regulation of proteolysis
GO:0010389	regulation of G2/M transition of mitotic cell cycle
GO:0006914	autophagy
GO:0022409	positive regulation of cell-cell adhesion
GO:0031503	protein-containing complex localization
GO:0034612	response to tumor necrosis factor
GO:0061919	process utilizing autophagic mechanism
GO:1901653	cellular response to peptide
GO:1903362	regulation of cellular protein catabolic process
GO:0015849	organic acid transport
GO:0042391	regulation of membrane potential
GO:0043413	macromolecule glycosylation
GO:0006486	protein glycosylation
GO:0006936	muscle contraction
GO:0008016	regulation of heart contraction
GO:0046942	carboxylic acid transport
GO:0002520	immune system development
GO:0035295	tube development
GO:0048285	organelle fission
GO:0031334	positive regulation of protein-containing complex assembly
GO:0045637	regulation of myeloid cell differentiation
GO:0060249	anatomical structure homeostasis
GO:1902806	regulation of cell cycle G1/S phase transition
GO:0000904	cell morphogenesis involved in differentiation
GO:0001666	response to hypoxia
GO:0019932	second-messenger-mediated signaling
GO:0032409	regulation of transporter activity
GO:0036293	response to decreased oxygen levels
GO:1901796	regulation of signal transduction by p53 class mediator
GO:0006839	mitochondrial transport
GO:0062197	cellular response to chemical stress
GO:0099536	synaptic signaling
GO:0006367	transcription initiation from RNA polymerase II promoter
GO:0007162	negative regulation of cell adhesion
GO:0016042	lipid catabolic process
GO:0016197	endosomal transport
GO:0050730	regulation of peptidyl-tyrosine phosphorylation
GO:0061013	regulation of mRNA catabolic process
GO:0098609	cell-cell adhesion
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0043406	positive regulation of MAP kinase activity
GO:0010876	lipid localization
GO:0032989	cellular component morphogenesis
GO:0034249	negative regulation of cellular amide metabolic process
GO:0006643	membrane lipid metabolic process
GO:0030178	negative regulation of Wnt signaling pathway
GO:0042254	ribosome biogenesis
GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0060759	regulation of response to cytokine stimulus
GO:0032259	methylation
GO:0032886	regulation of microtubule-based process
GO:0046034	ATP metabolic process
GO:0050851	antigen receptor-mediated signaling pathway
GO:0051251	positive regulation of lymphocyte activation
GO:1902115	regulation of organelle assembly
GO:0031396	regulation of protein ubiquitination
GO:0071356	cellular response to tumor necrosis factor
GO:0033673	negative regulation of kinase activity
GO:0000075	cell cycle checkpoint
GO:0022898	regulation of transmembrane transporter activity
GO:0051606	detection of stimulus
GO:0071824	protein-DNA complex subunit organization
GO:0001936	regulation of endothelial cell proliferation
GO:0044272	sulfur compound biosynthetic process
GO:0099537	trans-synaptic signaling
GO:0050821	protein stabilization
GO:0000280	nuclear division
GO:0015980	energy derivation by oxidation of organic compounds
GO:0022604	regulation of cell morphogenesis
GO:0032535	regulation of cellular component size
GO:0071214	cellular response to abiotic stimulus
GO:0104004	cellular response to environmental stimulus
GO:0110053	regulation of actin filament organization
GO:2001234	negative regulation of apoptotic signaling pathway
GO:0001501	skeletal system development
GO:0007268	chemical synaptic transmission
GO:0043487	regulation of RNA stability
GO:0048534	hematopoietic or lymphoid organ development
GO:0098916	anterograde trans-synaptic signaling
GO:0007059	chromosome segregation
GO:0051047	positive regulation of secretion
GO:0051054	positive regulation of DNA metabolic process
GO:0051604	protein maturation
GO:0006869	lipid transport
GO:0010952	positive regulation of peptidase activity
GO:0032412	regulation of ion transmembrane transporter activity
GO:0033157	regulation of intracellular protein transport
GO:0001959	regulation of cytokine-mediated signaling pathway
GO:0010634	positive regulation of epithelial cell migration
GO:0017148	negative regulation of translation
GO:0030097	hemopoiesis
GO:0032990	cell part morphogenesis
GO:0070838	divalent metal ion transport
GO:0072511	divalent inorganic cation transport
GO:2000045	regulation of G1/S transition of mitotic cell cycle
GO:0006302	double-strand break repair
GO:0015931	nucleobase-containing compound transport
GO:0043087	regulation of GTPase activity
GO:0043488	regulation of mRNA stability
GO:1903050	regulation of proteolysis involved in cellular protein catabolic process
GO:0006469	negative regulation of protein kinase activity
GO:0051480	regulation of cytosolic calcium ion concentration
GO:0006260	DNA replication
GO:0019953	sexual reproduction
GO:0046488	phosphatidylinositol metabolic process
GO:1901293	nucleoside phosphate biosynthetic process
GO:0009416	response to light stimulus
GO:0002218	activation of innate immune response
GO:0043393	regulation of protein binding
GO:0044242	cellular lipid catabolic process
GO:0045732	positive regulation of protein catabolic process
GO:0071453	cellular response to oxygen levels
GO:0090090	negative regulation of canonical Wnt signaling pathway
GO:0006403	RNA localization
GO:0016236	macroautophagy
GO:0031348	negative regulation of defense response
GO:0042742	defense response to bacterium
GO:0043414	macromolecule methylation
GO:0051897	positive regulation of protein kinase B signaling
GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:1903532	positive regulation of secretion by cell
GO:0008283	cell population proliferation
GO:0010565	regulation of cellular ketone metabolic process
GO:0034599	cellular response to oxidative stress
GO:0043433	negative regulation of DNA-binding transcription factor activity
GO:1901136	carbohydrate derivative catabolic process
GO:1903039	positive regulation of leukocyte cell-cell adhesion
GO:0010950	positive regulation of endopeptidase activity
GO:0048858	cell projection morphogenesis
GO:0120039	plasma membrane bounded cell projection morphogenesis
GO:0002431	Fc receptor mediated stimulatory signaling pathway
GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis
GO:0009991	response to extracellular stimulus
GO:0034329	cell junction assembly
GO:0038094	Fc-gamma receptor signaling pathway
GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis
GO:0043270	positive regulation of ion transport
GO:0043535	regulation of blood vessel endothelial cell migration
GO:0046777	protein autophosphorylation
GO:1901605	alpha-amino acid metabolic process
GO:0019080	viral gene expression
GO:0050852	T cell receptor signaling pathway
GO:0060284	regulation of cell development
GO:0140014	mitotic nuclear division
GO:0007018	microtubule-based movement
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0019058	viral life cycle
GO:0030177	positive regulation of Wnt signaling pathway
GO:0035239	tube morphogenesis
GO:0043434	response to peptide hormone
GO:0048812	neuron projection morphogenesis
GO:1903900	regulation of viral life cycle
GO:0003006	developmental process involved in reproduction
GO:0046890	regulation of lipid biosynthetic process
GO:0051092	positive regulation of NF-kappaB transcription factor activity
GO:0051495	positive regulation of cytoskeleton organization
GO:0010810	regulation of cell-substrate adhesion
GO:0050920	regulation of chemotaxis
GO:0051168	nuclear export
GO:0006022	aminoglycan metabolic process
GO:0006954	inflammatory response
GO:0016072	rRNA metabolic process
GO:0016311	dephosphorylation
GO:0035303	regulation of dephosphorylation
GO:0006816	calcium ion transport
GO:0010038	response to metal ion
GO:0051924	regulation of calcium ion transport
GO:0036294	cellular response to decreased oxygen levels
GO:0050679	positive regulation of epithelial cell proliferation
GO:0051259	protein complex oligomerization
GO:0070374	positive regulation of ERK1 and ERK2 cascade
GO:0071456	cellular response to hypoxia
GO:0002576	platelet degranulation
GO:0009165	nucleotide biosynthetic process
GO:0030203	glycosaminoglycan metabolic process
GO:0032388	positive regulation of intracellular transport
GO:0035966	response to topologically incorrect protein
GO:0070302	regulation of stress-activated protein kinase signaling cascade
GO:0070555	response to interleukin-1
GO:0002920	regulation of humoral immune response
GO:0006323	DNA packaging
GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
GO:0007204	positive regulation of cytosolic calcium ion concentration
GO:0046883	regulation of hormone secretion
GO:0051236	establishment of RNA localization
GO:0065004	protein-DNA complex assembly
GO:0006338	chromatin remodeling
GO:0006457	protein folding
GO:0031667	response to nutrient levels
GO:0032872	regulation of stress-activated MAPK cascade
GO:0043543	protein acylation
GO:0048667	cell morphogenesis involved in neuron differentiation
GO:0071375	cellular response to peptide hormone stimulus
GO:1901568	fatty acid derivative metabolic process
GO:1905475	regulation of protein localization to membrane
GO:0006611	protein export from nucleus
GO:0050657	nucleic acid transport
GO:0050658	RNA transport
GO:0060491	regulation of cell projection assembly
GO:0061061	muscle structure development
GO:0061564	axon development
GO:2001252	positive regulation of chromosome organization
GO:0006364	rRNA processing
GO:0006399	tRNA metabolic process
GO:0006575	cellular modified amino acid metabolic process
GO:0044839	cell cycle G2/M phase transition
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation
GO:0050870	positive regulation of T cell activation
GO:0120032	regulation of plasma membrane bounded cell projection assembly
GO:0140053	mitochondrial gene expression
GO:0006333	chromatin assembly or disassembly
GO:0006413	translational initiation
GO:0042445	hormone metabolic process
GO:0051100	negative regulation of binding
GO:0060968	regulation of gene silencing
GO:0070663	regulation of leukocyte proliferation
GO:0072330	monocarboxylic acid biosynthetic process
GO:0000086	G2/M transition of mitotic cell cycle
GO:0002685	regulation of leukocyte migration
GO:0007093	mitotic cell cycle checkpoint
GO:0010821	regulation of mitochondrion organization
GO:0031346	positive regulation of cell projection organization
GO:0001944	vasculature development
GO:0002758	innate immune response-activating signal transduction
GO:0022406	membrane docking
GO:0030449	regulation of complement activation
GO:0031570	DNA integrity checkpoint
GO:0040029	regulation of gene expression, epigenetic
GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling
GO:0045766	positive regulation of angiogenesis
GO:0061136	regulation of proteasomal protein catabolic process
GO:1902905	positive regulation of supramolecular fiber organization
GO:1904018	positive regulation of vasculature development
GO:2001056	positive regulation of cysteine-type endopeptidase activity
GO:0002220	innate immune response activating cell surface receptor signaling pathway
GO:0019083	viral transcription
GO:0045333	cellular respiration
GO:0007409	axonogenesis
GO:0033209	tumor necrosis factor-mediated signaling pathway
GO:0043624	cellular protein complex disassembly
GO:0060147	regulation of posttranscriptional gene silencing
GO:0060966	regulation of gene silencing by RNA
GO:1901343	negative regulation of vasculature development
GO:2001242	regulation of intrinsic apoptotic signaling pathway
GO:0002221	pattern recognition receptor signaling pathway
GO:0048729	tissue morphogenesis
GO:0071347	cellular response to interleukin-1
GO:1902275	regulation of chromatin organization
GO:2000181	negative regulation of blood vessel morphogenesis
GO:0002223	stimulatory C-type lectin receptor signaling pathway
GO:0006109	regulation of carbohydrate metabolic process
GO:0006665	sphingolipid metabolic process
GO:0006986	response to unfolded protein
GO:0007507	heart development
GO:0010595	positive regulation of endothelial cell migration
GO:0016241	regulation of macroautophagy
GO:0016525	negative regulation of angiogenesis
GO:0030100	regulation of endocytosis
GO:0051099	positive regulation of binding
GO:0060322	head development
GO:0070972	protein localization to endoplasmic reticulum
GO:0140056	organelle localization by membrane tethering
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0005996	monosaccharide metabolic process
GO:0006282	regulation of DNA repair
GO:0006405	RNA export from nucleus
GO:0006612	protein targeting to membrane
GO:0007006	mitochondrial membrane organization
GO:0032271	regulation of protein polymerization
GO:0051648	vesicle localization
GO:0060326	cell chemotaxis
GO:0060964	regulation of gene silencing by miRNA
GO:0070268	cornification
GO:0098813	nuclear chromosome segregation
GO:0000077	DNA damage checkpoint
GO:0071478	cellular response to radiation
GO:0007264	small GTPase mediated signal transduction
GO:0030258	lipid modification
GO:0032944	regulation of mononuclear cell proliferation
GO:0071166	ribonucleoprotein complex localization
GO:0071826	ribonucleoprotein complex subunit organization
GO:0072522	purine-containing compound biosynthetic process
GO:1902807	negative regulation of cell cycle G1/S phase transition
GO:0009790	embryo development
GO:0035567	non-canonical Wnt signaling pathway
GO:0035967	cellular response to topologically incorrect protein
GO:0051650	establishment of vesicle localization
GO:0071426	ribonucleoprotein complex export from nucleus
GO:1903322	positive regulation of protein modification by small protein conjugation or removal
GO:0002237	response to molecule of bacterial origin
GO:0002250	adaptive immune response
GO:0034728	nucleosome organization
GO:0034764	positive regulation of transmembrane transport
GO:0050670	regulation of lymphocyte proliferation
GO:0071496	cellular response to external stimulus
GO:0090263	positive regulation of canonical Wnt signaling pathway
GO:0006661	phosphatidylinositol biosynthetic process
GO:0032504	multicellular organism reproduction
GO:0045926	negative regulation of growth
GO:0046649	lymphocyte activation
GO:0001568	blood vessel development
GO:0022618	ribonucleoprotein complex assembly
GO:0032479	regulation of type I interferon production
GO:1902105	regulation of leukocyte differentiation
GO:1990778	protein localization to cell periphery
GO:0002449	lymphocyte mediated immunity
GO:0006720	isoprenoid metabolic process
GO:0018209	peptidyl-serine modification
GO:0032200	telomere organization
GO:0043467	regulation of generation of precursor metabolites and energy
GO:0043620	regulation of DNA-templated transcription in response to stress
GO:0045216	cell-cell junction organization
GO:0050680	negative regulation of epithelial cell proliferation
GO:0072659	protein localization to plasma membrane
GO:2000058	regulation of ubiquitin-dependent protein catabolic process
GO:2000134	negative regulation of G1/S transition of mitotic cell cycle
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0009411	response to UV
GO:0010633	negative regulation of epithelial cell migration
GO:0043409	negative regulation of MAPK cascade
GO:0051028	mRNA transport
GO:0006766	vitamin metabolic process
GO:0009063	cellular amino acid catabolic process
GO:0009451	RNA modification
GO:0016482	cytosolic transport
GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0043547	positive regulation of GTPase activity
GO:0048524	positive regulation of viral process
GO:0000187	activation of MAPK activity
GO:0006406	mRNA export from nucleus
GO:0007015	actin filament organization
GO:0010975	regulation of neuron projection development
GO:0019730	antimicrobial humoral response
GO:0031668	cellular response to extracellular stimulus
GO:0045927	positive regulation of growth
GO:0048871	multicellular organismal homeostasis
GO:0071427	mRNA-containing ribonucleoprotein complex export from nucleus
GO:2001236	regulation of extrinsic apoptotic signaling pathway
GO:0006289	nucleotide-excision repair
GO:0007420	brain development
GO:0031497	chromatin assembly
GO:0044843	cell cycle G1/S phase transition
GO:0048609	multicellular organismal reproductive process
GO:1901214	regulation of neuron death
GO:2000377	regulation of reactive oxygen species metabolic process
GO:0006119	oxidative phosphorylation
GO:0032543	mitochondrial translation
GO:0034341	response to interferon-gamma
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress
GO:0090316	positive regulation of intracellular protein transport
GO:1901617	organic hydroxy compound biosynthetic process
GO:0000082	G1/S transition of mitotic cell cycle
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0002495	antigen processing and presentation of peptide antigen via MHC class II
GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
GO:0006694	steroid biosynthetic process
GO:0007051	spindle organization
GO:0010466	negative regulation of peptidase activity
GO:0010921	regulation of phosphatase activity
GO:0034250	positive regulation of cellular amide metabolic process
GO:0034620	cellular response to unfolded protein
GO:0051607	defense response to virus
GO:0006414	translational elongation
GO:0016485	protein processing
GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II
GO:0031589	cell-substrate adhesion
GO:0043484	regulation of RNA splicing
GO:0046467	membrane lipid biosynthetic process
GO:0071559	response to transforming growth factor beta
GO:0072599	establishment of protein localization to endoplasmic reticulum
GO:0002699	positive regulation of immune effector process
GO:0006023	aminoglycan biosynthetic process
GO:0006164	purine nucleotide biosynthetic process
GO:0006493	protein O-linked glycosylation
GO:0009410	response to xenobiotic stimulus
GO:0022408	negative regulation of cell-cell adhesion
GO:0033865	nucleoside bisphosphate metabolic process
GO:0033875	ribonucleoside bisphosphate metabolic process
GO:0034032	purine nucleoside bisphosphate metabolic process
GO:0046390	ribose phosphate biosynthetic process
GO:0048514	blood vessel morphogenesis
GO:0070498	interleukin-1-mediated signaling pathway
GO:0070507	regulation of microtubule cytoskeleton organization
GO:0071466	cellular response to xenobiotic stimulus
GO:0072331	signal transduction by p53 class mediator
GO:0097711	ciliary basal body-plasma membrane docking
GO:1903034	regulation of response to wounding
GO:1905952	regulation of lipid localization
GO:0006024	glycosaminoglycan biosynthetic process
GO:0006470	protein dephosphorylation
GO:0006805	xenobiotic metabolic process
GO:0007050	cell cycle arrest
GO:0032675	regulation of interleukin-6 production
GO:0048660	regulation of smooth muscle cell proliferation
GO:0098656	anion transmembrane transport
GO:0000819	sister chromatid segregation
GO:0002474	antigen processing and presentation of peptide antigen via MHC class I
GO:0006613	cotranslational protein targeting to membrane
GO:0006721	terpenoid metabolic process
GO:0006813	potassium ion transport
GO:0008277	regulation of G protein-coupled receptor signaling pathway
GO:0009260	ribonucleotide biosynthetic process
GO:0051260	protein homooligomerization
GO:0071560	cellular response to transforming growth factor beta stimulus
GO:0090257	regulation of muscle system process
GO:0090276	regulation of peptide hormone secretion
GO:0002703	regulation of leukocyte mediated immunity
GO:0006415	translational termination
GO:0031669	cellular response to nutrient levels
GO:0045047	protein targeting to ER
GO:0051302	regulation of cell division
GO:0061041	regulation of wound healing
GO:0071216	cellular response to biotic stimulus
GO:0010508	positive regulation of autophagy
GO:0019218	regulation of steroid metabolic process
GO:0031398	positive regulation of protein ubiquitination
GO:0090305	nucleic acid phosphodiester bond hydrolysis
GO:2000278	regulation of DNA biosynthetic process
GO:2001257	regulation of cation channel activity
GO:0000723	telomere maintenance
GO:0006310	DNA recombination
GO:0006956	complement activation
GO:0007411	axon guidance
GO:0009152	purine ribonucleotide biosynthetic process
GO:0016101	diterpenoid metabolic process
GO:0030168	platelet activation
GO:0032496	response to lipopolysaccharide
GO:0032677	regulation of interleukin-8 production
GO:0042770	signal transduction in response to DNA damage
GO:0045834	positive regulation of lipid metabolic process
GO:0050921	positive regulation of chemotaxis
GO:0051053	negative regulation of DNA metabolic process
GO:0071156	regulation of cell cycle arrest
GO:0097485	neuron projection guidance
GO:0006473	protein acetylation
GO:0010596	negative regulation of endothelial cell migration
GO:0030308	negative regulation of cell growth
GO:0048525	negative regulation of viral process
GO:0070588	calcium ion transmembrane transport
GO:1901888	regulation of cell junction assembly
GO:1903364	positive regulation of cellular protein catabolic process
GO:1903509	liposaccharide metabolic process
GO:0001523	retinoid metabolic process
GO:0006614	SRP-dependent cotranslational protein targeting to membrane
GO:0006664	glycolipid metabolic process
GO:0018105	peptidyl-serine phosphorylation
GO:0033108	mitochondrial respiratory chain complex assembly
GO:0035821	modulation of process of other organism
GO:0051235	maintenance of location
GO:0070126	mitochondrial translational termination
GO:0002224	toll-like receptor signaling pathway
GO:0031056	regulation of histone modification
GO:0042493	response to drug
GO:0070125	mitochondrial translational elongation
GO:1902750	negative regulation of cell cycle G2/M phase transition
GO:0042177	negative regulation of protein catabolic process
GO:0071346	cellular response to interferon-gamma
GO:0097193	intrinsic apoptotic signaling pathway
GO:0001952	regulation of cell-matrix adhesion
GO:0007265	Ras protein signal transduction
GO:0010951	negative regulation of endopeptidase activity
GO:0098657	import into cell
GO:0098781	ncRNA transcription
GO:2000027	regulation of animal organ morphogenesis
GO:2000736	regulation of stem cell differentiation
GO:2001022	positive regulation of response to DNA damage stimulus
GO:0002793	positive regulation of peptide secretion
GO:0006903	vesicle targeting
GO:0030307	positive regulation of cell growth
GO:0030522	intracellular receptor signaling pathway
GO:0030968	endoplasmic reticulum unfolded protein response
GO:0031123	RNA 3'-end processing
GO:0042594	response to starvation
GO:0050684	regulation of mRNA processing
GO:0051301	cell division
GO:1904950	negative regulation of establishment of protein localization
GO:0000070	mitotic sister chromatid segregation
GO:0001676	long-chain fatty acid metabolic process
GO:0014066	regulation of phosphatidylinositol 3-kinase signaling
GO:0022900	electron transport chain
GO:0022904	respiratory electron transport chain
GO:0034767	positive regulation of ion transmembrane transport
GO:0044344	cellular response to fibroblast growth factor stimulus
GO:0051817	modulation of process of other organism involved in symbiotic interaction
GO:0071774	response to fibroblast growth factor
GO:0006334	nucleosome assembly
GO:0007276	gamete generation
GO:0008064	regulation of actin polymerization or depolymerization
GO:0030832	regulation of actin filament length
GO:0032091	negative regulation of protein binding
GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0033135	regulation of peptidyl-serine phosphorylation
GO:0035637	multicellular organismal signaling
GO:0046328	regulation of JNK cascade
GO:0050890	cognition
GO:0070665	positive regulation of leukocyte proliferation
GO:1904375	regulation of protein localization to cell periphery
GO:0000302	response to reactive oxygen species
GO:0001938	positive regulation of endothelial cell proliferation
GO:0002687	positive regulation of leukocyte migration
GO:0006140	regulation of nucleotide metabolic process
GO:0006900	vesicle budding from membrane
GO:0006997	nucleus organization
GO:0007034	vacuolar transport
GO:0015850	organic hydroxy compound transport
GO:0032006	regulation of TOR signaling
GO:0071901	negative regulation of protein serine/threonine kinase activity
GO:0072329	monocarboxylic acid catabolic process
GO:1903510	mucopolysaccharide metabolic process
GO:0002009	morphogenesis of an epithelium
GO:0030705	cytoskeleton-dependent intracellular transport
GO:0031145	anaphase-promoting complex-dependent catabolic process
GO:0034754	cellular hormone metabolic process
GO:0042129	regulation of T cell proliferation
GO:0044774	mitotic DNA integrity checkpoint
GO:0045069	regulation of viral genome replication
GO:0050796	regulation of insulin secretion
GO:0051048	negative regulation of secretion
GO:0051224	negative regulation of protein transport
GO:0051701	interaction with host
GO:0099111	microtubule-based transport
GO:1901606	alpha-amino acid catabolic process
GO:1905477	positive regulation of protein localization to membrane
GO:0001505	regulation of neurotransmitter levels
GO:0002688	regulation of leukocyte chemotaxis
GO:0007041	lysosomal transport
GO:0008033	tRNA processing
GO:0010212	response to ionizing radiation
GO:0019318	hexose metabolic process
GO:0032368	regulation of lipid transport
GO:0032868	response to insulin
GO:0046578	regulation of Ras protein signal transduction
GO:0051341	regulation of oxidoreductase activity
GO:1900542	regulation of purine nucleotide metabolic process
GO:0001525	angiogenesis
GO:0006261	DNA-dependent DNA replication
GO:0009267	cellular response to starvation
GO:0044773	mitotic DNA damage checkpoint
GO:0050714	positive regulation of protein secretion
GO:0050728	negative regulation of inflammatory response
GO:0051147	regulation of muscle cell differentiation
GO:0071219	cellular response to molecule of bacterial origin
GO:0071241	cellular response to inorganic substance
GO:1900034	regulation of cellular response to heat
GO:1903844	regulation of cellular response to transforming growth factor beta stimulus
GO:0006354	DNA-templated transcription, elongation
GO:0006479	protein methylation
GO:0006865	amino acid transport
GO:0007031	peroxisome organization
GO:0007517	muscle organ development
GO:0008213	protein alkylation
GO:0017015	regulation of transforming growth factor beta receptor signaling pathway
GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I
GO:0048013	ephrin receptor signaling pathway
GO:0050953	sensory perception of light stimulus
GO:0061337	cardiac conduction
GO:0090175	regulation of establishment of planar polarity
GO:1902850	microtubule cytoskeleton organization involved in mitosis
GO:1903169	regulation of calcium ion transmembrane transport
GO:1903578	regulation of ATP metabolic process
GO:2001235	positive regulation of apoptotic signaling pathway
GO:0002521	leukocyte differentiation
GO:0007179	transforming growth factor beta receptor signaling pathway
GO:0017157	regulation of exocytosis
GO:0030048	actin filament-based movement
GO:0030099	myeloid cell differentiation
GO:0030595	leukocyte chemotaxis
GO:0032465	regulation of cytokinesis
GO:0035278	miRNA mediated inhibition of translation
GO:0040033	negative regulation of translation, ncRNA-mediated
GO:0045974	regulation of translation, ncRNA-mediated
GO:0070304	positive regulation of stress-activated protein kinase signaling cascade
GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent
GO:0006937	regulation of muscle contraction
GO:0007163	establishment or maintenance of cell polarity
GO:0007610	behavior
GO:0018394	peptidyl-lysine acetylation
GO:0019722	calcium-mediated signaling
GO:0019724	B cell mediated immunity
GO:0033559	unsaturated fatty acid metabolic process
GO:0035305	negative regulation of dephosphorylation
GO:0042773	ATP synthesis coupled electron transport
GO:0045652	regulation of megakaryocyte differentiation
GO:0045931	positive regulation of mitotic cell cycle
GO:0051101	regulation of DNA binding
GO:0051702	interaction with symbiont
GO:0060191	regulation of lipase activity
GO:0062207	regulation of pattern recognition receptor signaling pathway
GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:1904064	positive regulation of cation transmembrane transport
GO:0002706	regulation of lymphocyte mediated immunity
GO:0006475	internal protein amino acid acetylation
GO:0006767	water-soluble vitamin metabolic process
GO:0010822	positive regulation of mitochondrion organization
GO:0010972	negative regulation of G2/M transition of mitotic cell cycle
GO:0016052	carbohydrate catabolic process
GO:0019751	polyol metabolic process
GO:0031098	stress-activated protein kinase signaling cascade
GO:0032874	positive regulation of stress-activated MAPK cascade
GO:0032946	positive regulation of mononuclear cell proliferation
GO:0042775	mitochondrial ATP synthesis coupled electron transport
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling
GO:0045727	positive regulation of translation
GO:0050777	negative regulation of immune response
GO:0050810	regulation of steroid biosynthetic process
GO:0050866	negative regulation of cell activation
GO:0061418	regulation of transcription from RNA polymerase II promoter in response to hypoxia
GO:1901570	fatty acid derivative biosynthetic process
