tissueType	cellName	symbol	gene
Immune system	Erythroid-like and erythroid precursor cells	HBD	3045
Immune system	Erythroid-like and erythroid precursor cells	CA1	759
Immune system	HSC/MPP cells	CD105	NA
Immune system	HSC/MPP cells	CD34	947
Immune system	HSC/MPP cells	CD44	960
Immune system	HSC/MPP cells	CD73	NA
Immune system	HSC/MPP cells	CD45	NA
Immune system	HSC/MPP cells	CD29	NA
Immune system	HSC/MPP cells	STRO-1	NA
Immune system	HSC/MPP cells	NANOG	NA
Immune system	HSC/MPP cells	SOX2	6657
Immune system	HSC/MPP cells	CD133	NA
Immune system	HSC/MPP cells	CD166	NA
Immune system	HSC/MPP cells	CD146	NA
Immune system	HSC/MPP cells	CD31	NA
Immune system	HSC/MPP cells	NESTIN	NA
Immune system	HSC/MPP cells	OCT4	NA
Immune system	HSC/MPP cells	CD117	NA
Immune system	HSC/MPP cells	KDR	3791
Immune system	HSC/MPP cells	CXCL8	3576
Immune system	HSC/MPP cells	AVP	551
Immune system	HSC/MPP cells	CRHBP	1393
Immune system	HSC/MPP cells	ALDH1A1	216
Immune system	HSC/MPP cells	CD49	NA
Immune system	HSC/MPP cells	CD90	NA
Immune system	HSC/MPP cells	CD69	969
Immune system	HSC/MPP cells	CD24	100133941
Immune system	HSC/MPP cells	CD38	952
Immune system	HSC/MPP cells	CD45RA	NA
Immune system	HSC/MPP cells	KERATIN-19	NA
Immune system	HSC/MPP cells	ASPM	259266
Immune system	HSC/MPP cells	CD10	NA
Immune system	HSC/MPP cells	CD123	NA
Immune system	HSC/MPP cells	ABCG2	9429
Immune system	HSC/MPP cells	CD135	NA
Immune system	HSC/MPP cells	CD49F	NA
Immune system	HSC/MPP cells	EPCAM	4072
Immune system	HSC/MPP cells	KERATIN-7	NA
Immune system	HSC/MPP cells	SCA-1	NA
Immune system	HSC/MPP cells	CD14	929
Immune system	HSC/MPP cells	CD150	NA
Immune system	HSC/MPP cells	CD271	NA
Immune system	HSC/MPP cells	HLA-DR	NA
Immune system	Progenitor cells	CD105	NA
Immune system	Progenitor cells	CD34	947
Immune system	Progenitor cells	CD44	960
Immune system	Progenitor cells	CD73	NA
Immune system	Progenitor cells	CD45	NA
Immune system	Progenitor cells	CD29	NA
Immune system	Progenitor cells	STRO-1	NA
Immune system	Progenitor cells	NANOG	NA
Immune system	Progenitor cells	SOX2	6657
Immune system	Progenitor cells	CD133	NA
Immune system	Progenitor cells	CD166	NA
Immune system	Progenitor cells	CD146	NA
Immune system	Progenitor cells	CD31	NA
Immune system	Progenitor cells	NESTIN	NA
Immune system	Progenitor cells	OCT4	NA
Immune system	Progenitor cells	CD117	NA
Immune system	Progenitor cells	KDR	3791
Immune system	Progenitor cells	AVP	551
Immune system	Progenitor cells	CRHBP	1393
Immune system	Progenitor cells	ALDH1A1	216
Immune system	Progenitor cells	STMN1	3925
Immune system	Progenitor cells	CD38	952
Immune system	Progenitor cells	PTPRC	5788
Immune system	Progenitor cells	CD135	NA
Immune system	Myeloid Dendritic cells	ITGAX	3687
Immune system	Myeloid Dendritic cells	CD83	9308
Immune system	Myeloid Dendritic cells	CD1C	911
Immune system	Myeloid Dendritic cells	NRP1	8829
Immune system	Myeloid Dendritic cells	CLEC4C	170482
Immune system	Myeloid Dendritic cells	CD86	942
Immune system	Myeloid Dendritic cells	IL3RA	3563
Immune system	Myeloid Dendritic cells	CD80	941
Immune system	Myeloid Dendritic cells	CD1A	909
Immune system	Myeloid Dendritic cells	ITGAX	3687
Immune system	Myeloid Dendritic cells	CD40	958
Immune system	Myeloid Dendritic cells	HLA-DQA1	3117
Immune system	Myeloid Dendritic cells	CD11C	NA
Immune system	Myeloid Dendritic cells	HLA-DR	NA
Immune system	Myeloid Dendritic cells	HLA-DPB1	3115
Immune system	Myeloid Dendritic cells	HLA-DPA1	3113
Immune system	Myeloid Dendritic cells	CLEC10A	10462
Immune system	Myeloid Dendritic cells	CST3	1471
Immune system	Myeloid Dendritic cells	GPR31	2853
Immune system	Myeloid Dendritic cells	ODF3L1	161753
Immune system	Myeloid Dendritic cells	PRB2	NA
Immune system	Myeloid Dendritic cells	CD207	50489
Immune system	Myeloid Dendritic cells	ARSE	NA
Immune system	Myeloid Dendritic cells	CLEC141	NA
Immune system	Myeloid Dendritic cells	MRC	NA
Immune system	Myeloid Dendritic cells	EBLN1	NA
Immune system	Myeloid Dendritic cells	CRIP3	401262
Immune system	Plasmacytoid Dendritic cells	ITGAX	3687
Immune system	Plasmacytoid Dendritic cells	CD83	9308
Immune system	Plasmacytoid Dendritic cells	CD1C	911
Immune system	Plasmacytoid Dendritic cells	NRP1	8829
Immune system	Plasmacytoid Dendritic cells	CLEC4C	170482
Immune system	Plasmacytoid Dendritic cells	CD86	942
Immune system	Plasmacytoid Dendritic cells	IL3RA	3563
Immune system	Plasmacytoid Dendritic cells	CD80	941
Immune system	Plasmacytoid Dendritic cells	CD1A	909
Immune system	Plasmacytoid Dendritic cells	ITGAX	3687
Immune system	Plasmacytoid Dendritic cells	CD40	958
Immune system	Plasmacytoid Dendritic cells	HLA-DQA1	3117
Immune system	Plasmacytoid Dendritic cells	CD11C	NA
Immune system	Plasmacytoid Dendritic cells	HLA-DR	NA
Immune system	Plasmacytoid Dendritic cells	HLA-DPB1	3115
Immune system	Plasmacytoid Dendritic cells	HLA-DPA1	3113
Immune system	Plasmacytoid Dendritic cells	CLEC10A	10462
Immune system	Plasmacytoid Dendritic cells	CST3	1471
Immune system	Plasmacytoid Dendritic cells	TPM2	7169
Immune system	Plasmacytoid Dendritic cells	LRRC26	NA
Immune system	Plasmacytoid Dendritic cells	ASIP	434
Immune system	Plasmacytoid Dendritic cells	GPM6B	2824
Immune system	Plasmacytoid Dendritic cells	KRT5	3852
Immune system	Plasmacytoid Dendritic cells	NTM	50863
Immune system	Plasmacytoid Dendritic cells	SCT	6343
Immune system	Plasmacytoid Dendritic cells	SHD	56961
Immune system	Plasmacytoid Dendritic cells	KCNA5	3741
Immune system	Plasmacytoid Dendritic cells	SCARA5	286133
Immune system	Plasmacytoid Dendritic cells	EPHA2	1969
Immune system	Plasmacytoid Dendritic cells	MYMX	101929726
Immune system	Granulocytes	CD203C	NA
Immune system	Granulocytes	CD15	NA
Immune system	Granulocytes	CD11B	NA
Immune system	Granulocytes	CD63	967
Immune system	Granulocytes	CD66B	NA
Immune system	Granulocytes	CD123	NA
Immune system	Granulocytes	CD16	NA
Immune system	Granulocytes	CD33	945
Immune system	Granulocytes	CD117	NA
Immune system	Granulocytes	CD45	NA
Immune system	Granulocytes	FC-EPSILON RI-ALPHA	NA
Immune system	Granulocytes	CD125	NA
Immune system	Granulocytes	CD13	NA
Immune system	Granulocytes	CD14	929
Immune system	Granulocytes	CD25	NA
Immune system	Granulocytes	CD44	960
Immune system	Granulocytes	CD69	969
Immune system	Granulocytes	CD9	928
Immune system	Granulocytes	HLA-DR	NA
Immune system	Granulocytes	CCR3	1232
Immune system	Granulocytes	CD116	NA
Immune system	Granulocytes	CD11C	NA
Immune system	Granulocytes	CD193	NA
Immune system	Granulocytes	CD24	100133941
Immune system	Granulocytes	CD32	NA
Immune system	Granulocytes	CD43	NA
Immune system	Granulocytes	CXCL8	3576
Immune system	Granulocytes	FCGR3B	2215
Immune system	Granulocytes	MNDA	4332
Immune system	Granulocytes	SIGLEC8	27181
Immune system	Granulocytes	AZU1	566
Immune system	Granulocytes	MPO	4353
Immune system	Granulocytes	CTSG	1511
Immune system	Granulocytes	LYZ	4069
Immune system	ISG expressing immune cells	IFIT1	3434
Immune system	ISG expressing immune cells	IFIT2	3433
Immune system	ISG expressing immune cells	IFIT3	3437
Immune system	ISG expressing immune cells	IFIT5	24138
Immune system	ISG expressing immune cells	ISG15	9636
Immune system	ISG expressing immune cells	CCL3	NA
Immune system	ISG expressing immune cells	CCL4	6351
Immune system	ISG expressing immune cells	CCL3L3	NA
Immune system	ISG expressing immune cells	RSAD2	91543
Immune system	ISG expressing immune cells	OASL	8638
Immune system	ISG expressing immune cells	CXCL10	3627
Immune system	ISG expressing immune cells	IFI15	NA
Immune system	ISG expressing immune cells	ISG20	3669
Pancreas	Acinar cells	CTRB1	NA
Pancreas	Acinar cells	KLK1	3816
Pancreas	Acinar cells	RBPJL	11317
Pancreas	Acinar cells	PTF1A	NA
Pancreas	Acinar cells	CELA3A	10136
Pancreas	Acinar cells	PRSS1	5644
Pancreas	Acinar cells	SPINK1	6690
Pancreas	Acinar cells	ZG16	653808
Pancreas	Acinar cells	CEL	1056
Pancreas	Acinar cells	CELA2A	63036
Pancreas	Acinar cells	CPB1	1360
Pancreas	Acinar cells	CELA1	1990
Pancreas	Acinar cells	RNASE1	6035
Pancreas	Acinar cells	AMY2B	280
Pancreas	Acinar cells	CPA2	1358
Pancreas	Acinar cells	CPA1	1357
Pancreas	Acinar cells	CELA3B	23436
Pancreas	Acinar cells	PNLIP	5406
Pancreas	Acinar cells	CTRB2	440387
Pancreas	Acinar cells	PLA2G1B	5319
Pancreas	Acinar cells	PRSS2	NA
Pancreas	Acinar cells	CLPS	1208
Pancreas	Acinar cells	REG1A	5967
Pancreas	Acinar cells	SYCN	342898
Pancreas	Acinar cells	PNLIPRP1	5407
Pancreas	Acinar cells	CTRC	11330
Pancreas	Acinar cells	REG3A	5068
Pancreas	Acinar cells	PRSS3	5646
Pancreas	Acinar cells	REG1B	5968
Pancreas	Acinar cells	CFB	629
Pancreas	Acinar cells	GDF15	9518
Pancreas	Acinar cells	MUC1	4582
Pancreas	Acinar cells	C15orf48	84419
Pancreas	Acinar cells	AKR1C3	8644
Pancreas	Acinar cells	OLFM4	10562
Pancreas	Acinar cells	GSTA1	2938
Pancreas	Acinar cells	LGALS2	3957
Pancreas	Acinar cells	PDZK1IP1	10158
Pancreas	Acinar cells	RARRES2	5919
Pancreas	Acinar cells	CXCL17	284340
Pancreas	Acinar cells	GSTA2	NA
Pancreas	Acinar cells	ANPEP	290
Pancreas	Acinar cells	LYZ	4069
Pancreas	Acinar cells	ANGPTL4	51129
Pancreas	Acinar cells	ALDOB	229
Pancreas	Alpha cells	GCG	2641
Pancreas	Alpha cells	TTR	7276
Pancreas	Alpha cells	ARX	170302
Pancreas	Alpha cells	POU3F4	5456
Pancreas	Alpha cells	NKX2-2	4821
Pancreas	Alpha cells	RESP18	NA
Pancreas	Alpha cells	PYY	5697
Pancreas	Alpha cells	PCSK2	5126
Pancreas	Alpha cells	SLC38A5	92745
Pancreas	Alpha cells	TM4SF4	7104
Pancreas	Alpha cells	CRYBA2	1412
Pancreas	Alpha cells	NKX6-1	4825
Pancreas	Alpha cells	KCNK16	83795
Pancreas	Alpha cells	PCSK1	5122
Pancreas	Alpha cells	PRRG2	5639
Pancreas	Alpha cells	IRX2	153572
Pancreas	Alpha cells	ALDH1A1	216
Pancreas	Alpha cells	PEMT	10400
Pancreas	Alpha cells	CHGA	1113
Pancreas	Alpha cells	SMIM24	284422
Pancreas	Alpha cells	F10	2159
Pancreas	Alpha cells	SCGN	10590
Pancreas	Alpha cells	SLC30A8	169026
Pancreas	Alpha cells	SH3GL2	6456
Pancreas	Alpha cells	SCGB2A1	4246
Pancreas	Alpha cells	FAP	2191
Pancreas	Alpha cells	DPP4	1803
Pancreas	Alpha cells	MAFB	9935
Pancreas	Alpha cells	PAX6	5080
Pancreas	Alpha cells	NEUROD1	4760
Pancreas	Alpha cells	PLCE1	51196
Pancreas	Alpha cells	GC	2638
Pancreas	Alpha cells	KLHL41	10324
Pancreas	Alpha cells	FEV	54738
Pancreas	Alpha cells	PTGER3	5733
Pancreas	Alpha cells	RFX6	222546
Pancreas	Alpha cells	SMARCA1	6594
Pancreas	Alpha cells	PGR	5241
Pancreas	Alpha cells	LDB2	9079
Pancreas	Alpha cells	IRX1	79192
Pancreas	Alpha cells	UCP2	7351
Pancreas	Beta cells	FXYD2	NA
Pancreas	Beta cells	PDX1	3651
Pancreas	Beta cells	INS	3630
Pancreas	Beta cells	GCGR	2642
Pancreas	Beta cells	JPH3	57338
Pancreas	Beta cells	CD40	958
Pancreas	Beta cells	HAMP	57817
Pancreas	Beta cells	EZH1	2145
Pancreas	Beta cells	NTRK1	4914
Pancreas	Beta cells	SLC2A2	6514
Pancreas	Beta cells	NKX6-2	NA
Pancreas	Beta cells	NPY	4852
Pancreas	Beta cells	RIMS1	22999
Pancreas	Beta cells	MAFA	NA
Pancreas	Beta cells	EFNA5	1946
Pancreas	Beta cells	LMX1A	4009
Pancreas	Beta cells	NKX2-2	4821
Pancreas	Beta cells	NKX6-1	4825
Pancreas	Beta cells	PAX4	5078
Pancreas	Beta cells	IAPP	3375
Pancreas	Beta cells	PCSK2	5126
Pancreas	Beta cells	G6PC2	57818
Pancreas	Beta cells	SLC30A8	169026
Pancreas	Beta cells	PCSK1	5122
Pancreas	Beta cells	GJD2	57369
Pancreas	Beta cells	SCGN	10590
Pancreas	Beta cells	IGF2	NA
Pancreas	Beta cells	SYT13	57586
Pancreas	Beta cells	FFAR2	2867
Pancreas	Beta cells	NPTX2	4885
Pancreas	Beta cells	PFKFB2	5208
Pancreas	Beta cells	EDARADD	128178
Pancreas	Beta cells	HOPX	84525
Pancreas	Beta cells	SH3GL2	6456
Pancreas	Beta cells	ADCYAP1	116
Pancreas	Beta cells	SCGB2A1	4246
Pancreas	Beta cells	CASR	846
Pancreas	Beta cells	MAFB	9935
Pancreas	Beta cells	PAX6	5080
Pancreas	Beta cells	NEUROD1	4760
Pancreas	Beta cells	ISL1	3670
Pancreas	Beta cells	TGFBR3	7049
Pancreas	Beta cells	SMAD9	4093
Pancreas	Beta cells	SIX3	6496
Pancreas	Beta cells	SIX2	10736
Pancreas	Beta cells	BMP5	653
Pancreas	Beta cells	PIR	8544
Pancreas	Delta cells	SST	6750
Pancreas	Delta cells	PDX1	3651
Pancreas	Delta cells	FFAR4	338557
Pancreas	Delta cells	PCSK9	255738
Pancreas	Delta cells	RBP4	5950
Pancreas	Delta cells	PAX4	5078
Pancreas	Delta cells	RESP18	NA
Pancreas	Delta cells	HHEX	3087
Pancreas	Delta cells	ISL1	3670
Pancreas	Delta cells	SCGN	10590
Pancreas	Delta cells	KCNK16	83795
Pancreas	Delta cells	IAPP	3375
Pancreas	Delta cells	FXYD2	NA
Pancreas	Delta cells	NPTX2	4885
Pancreas	Delta cells	GPC5-AS1	NA
Pancreas	Delta cells	UCP2	7351
Pancreas	Delta cells	LEPR	3953
Pancreas	Delta cells	BAIAP3	8938
Pancreas	Delta cells	MS4A8	83661
Pancreas	Delta cells	CASR	846
Pancreas	Delta cells	BCHE	590
Pancreas	Delta cells	GABRB3	2562
Pancreas	Delta cells	UNC5B	219699
Pancreas	Delta cells	EDN3	1908
Pancreas	Delta cells	PRG4	10216
Pancreas	Delta cells	FRZB	2487
Pancreas	Delta cells	PCSK1	5122
Pancreas	Delta cells	GABRG2	2566
Pancreas	Delta cells	POU3F1	5453
Pancreas	Delta cells	BHLHE41	79365
Pancreas	Delta cells	EHF	26298
Pancreas	Delta cells	LCORL	254251
Pancreas	Delta cells	ETV1	2115
Pancreas	Ductal cells	CFTR	1080
Pancreas	Ductal cells	HNF1B	6928
Pancreas	Ductal cells	KRT20	54474
Pancreas	Ductal cells	MUC1	4582
Pancreas	Ductal cells	ONECUT1	3175
Pancreas	Ductal cells	AMBP	259
Pancreas	Ductal cells	HHEX	3087
Pancreas	Ductal cells	ANXA4	307
Pancreas	Ductal cells	SPP1	6696
Pancreas	Ductal cells	PDX1	3651
Pancreas	Ductal cells	CFB	629
Pancreas	Ductal cells	GDF15	9518
Pancreas	Ductal cells	AKR1C3	8644
Pancreas	Ductal cells	MMP7	4316
Pancreas	Ductal cells	DEFB1	1672
Pancreas	Ductal cells	SERPING1	710
Pancreas	Ductal cells	TSPAN8	7103
Pancreas	Ductal cells	CLDN10	9071
Pancreas	Ductal cells	SLPI	6590
Pancreas	Ductal cells	SERPINA5	5104
Pancreas	Ductal cells	PIGR	5284
Pancreas	Ductal cells	CLDN1	9076
Pancreas	Ductal cells	LGALS4	3960
Pancreas	Ductal cells	PERP	64065
Pancreas	Ductal cells	PDLIM3	27295
Pancreas	Ductal cells	WFDC2	10406
Pancreas	Ductal cells	AQP1	358
Pancreas	Ductal cells	ALDH1A3	220
Pancreas	Ductal cells	KRT19	3880
Pancreas	Ductal cells	TFF1	7031
Pancreas	Ductal cells	TFF2	7032
Pancreas	Endothelial cells	PECAM1	5175
Pancreas	Endothelial cells	CD34	947
Pancreas	Endothelial cells	MCAM	4162
Pancreas	Endothelial cells	CDH5	1003
Pancreas	Endothelial cells	VWF	7450
Pancreas	Endothelial cells	ENG	2022
Pancreas	Endothelial cells	KDR	3791
Pancreas	Endothelial cells	PDPN	10630
Pancreas	Endothelial cells	SELE	6401
Pancreas	Endothelial cells	A2M	2
Pancreas	Epsilon cells	GHRL	51738
Pancreas	Epsilon cells	ANXA13	312
Pancreas	Epsilon cells	PHGR1	644844
Pancreas	Epsilon cells	BMP4	652
Pancreas	Epsilon cells	HMGCS2	3158
Pancreas	Epsilon cells	TM4SF5	9032
Pancreas	Epsilon cells	OLFML3	56944
Pancreas	Epsilon cells	ASGR1	432
Pancreas	Epsilon cells	COX6A2	1339
Pancreas	Epsilon cells	NPY1R	4886
Pancreas	Epsilon cells	SLC7A9	11136
Pancreas	Epsilon cells	BHMT	635
Pancreas	Epsilon cells	OPRK1	4986
Pancreas	Epsilon cells	PTGER4	5734
Pancreas	Epsilon cells	ITGA4	3676
Pancreas	Epsilon cells	EYA4	2070
Pancreas	Epsilon cells	XYLB	9942
Pancreas	Epsilon cells	ELOVL2	54898
Pancreas	Epsilon cells	AFF3	3899
Pancreas	Epsilon cells	CORIN	10699
Pancreas	Epsilon cells	MYO1A	4640
Pancreas	Epsilon cells	HRH2	3274
Pancreas	Epsilon cells	SLC6A16	28968
Pancreas	Epsilon cells	PCSK6	5046
Pancreas	Epsilon cells	ADAMTS6	11174
Pancreas	Epsilon cells	COL22A1	169044
Pancreas	Epsilon cells	FAM124A	220108
Pancreas	Epsilon cells	COL12A1	1303
Pancreas	Epsilon cells	CD109	135228
Pancreas	Epsilon cells	THSD4	79875
Pancreas	Epsilon cells	ARX	170302
Pancreas	Gamma (PP) cells	PPY	5539
Pancreas	Gamma (PP) cells	SCGN	10590
Pancreas	Gamma (PP) cells	FXYD2	NA
Pancreas	Gamma (PP) cells	SCGB2A1	4246
Pancreas	Gamma (PP) cells	GPC5-AS1	NA
Pancreas	Gamma (PP) cells	CMTM8	152189
Pancreas	Gamma (PP) cells	ARX	170302
Pancreas	Gamma (PP) cells	ETV1	2115
Pancreas	Gamma (PP) cells	PXK	54899
Pancreas	Gamma (PP) cells	SERTM1	400120
Pancreas	Gamma (PP) cells	SLITRK6	84189
Pancreas	Gamma (PP) cells	SEMA3E	9723
Pancreas	Gamma (PP) cells	APOBEC2	10930
Pancreas	Gamma (PP) cells	ABCC9	10060
Pancreas	Gamma (PP) cells	NEUROD1	4760
Pancreas	Gamma (PP) cells	PAX6	5080
Pancreas	Gamma (PP) cells	ISL1	3670
Pancreas	Gamma (PP) cells	CARTPT	9607
Pancreas	Gamma (PP) cells	THSD7A	221981
Pancreas	Gamma (PP) cells	AQP3	360
Pancreas	Gamma (PP) cells	ENTPD2	954
Pancreas	Gamma (PP) cells	PTGFR	5737
Pancreas	Gamma (PP) cells	CHN2	1124
Pancreas	Gamma (PP) cells	EGR3	1960
Pancreas	Gamma (PP) cells	LMO3	55885
Pancreas	Gamma (PP) cells	MEIS1	4211
Pancreas	Gamma (PP) cells	ZNF503	84858
Pancreas	Immune system cells	MS4A1	931
Pancreas	Immune system cells	CD19	930
Pancreas	Immune system cells	CD4	920
Pancreas	Immune system cells	CD8A	925
Pancreas	Immune system cells	CD7	924
Pancreas	Immune system cells	CTLA4	1493
Pancreas	Immune system cells	CD27	939
Pancreas	Immune system cells	CCR7	1236
Pancreas	Immune system cells	CYTIP	9595
Pancreas	Immune system cells	IGHD	NA
Pancreas	Immune system cells	CD38	952
Pancreas	Immune system cells	IL2RA	3559
Pancreas	Immune system cells	ISG20	3669
Pancreas	Immune system cells	SELL	6402
Pancreas	Immune system cells	IL7R	3575
Pancreas	Immune system cells	FOXP3	50943
Pancreas	Immune system cells	IGKC	NA
Pancreas	Immune system cells	IGLC3	NA
Pancreas	Immune system cells	IGLC2	NA
Pancreas	Immune system cells	CD79A	973
Pancreas	Immune system cells	CD68	968
Pancreas	Immune system cells	CD163	9332
Pancreas	Immune system cells	CD14	929
Pancreas	Immune system cells	ITGAM	3684
Pancreas	Immune system cells	MRC1	4360
Pancreas	Immune system cells	MS4A7	58475
Pancreas	Immune system cells	CD3D	915
Pancreas	Immune system cells	CD3E	916
Pancreas	Immune system cells	CD3G	917
Pancreas	Mast cells	KIT	3815
Pancreas	Mast cells	ENPP3	5169
Pancreas	Mast cells	IL2RA	3559
Pancreas	Mast cells	ISG20	3669
Pancreas	Mast cells	SLC18A2	6571
Pancreas	Mast cells	CD9	928
Pancreas	Mast cells	FCER1A	2205
Pancreas	Mast cells	TPSB2	NA
Pancreas	Mast cells	FCER2	2208
Pancreas	Mesenchymal cells	ITGB1	NA
Pancreas	Mesenchymal cells	NT5E	4907
Pancreas	Mesenchymal cells	THY1	7070
Pancreas	Mesenchymal cells	ENG	2022
Pancreas	Mesenchymal cells	KIT	3815
Pancreas	Mesenchymal cells	ALCAM	214
Pancreas	Pancreatic progenitor cells	ONECUT1	3175
Pancreas	Pancreatic progenitor cells	PDX1	3651
Pancreas	Pancreatic progenitor cells	PTF1A	NA
Pancreas	Pancreatic progenitor cells	CXCR4	7852
Pancreas	Pancreatic progenitor cells	ISL1	3670
Pancreas	Pancreatic progenitor cells	NKX2-2	4821
Pancreas	Pancreatic progenitor cells	EPAS1	2034
Pancreas	Pancreatic progenitor cells	ARX	170302
Pancreas	Pancreatic progenitor cells	NEUROG3	50674
Pancreas	Pancreatic progenitor cells	SOX9	6662
Pancreas	Pancreatic progenitor cells	RPL23A	NA
Pancreas	Pancreatic progenitor cells	CTNNB1	1499
Pancreas	Pancreatic progenitor cells	YAP1	10413
Pancreas	Pancreatic progenitor cells	RGS16	6004
Pancreas	Pancreatic progenitor cells	MFNG	4242
Pancreas	Pancreatic stellate cells	TIMP1	7076
Pancreas	Pancreatic stellate cells	RGS5	8490
Pancreas	Pancreatic stellate cells	SPON2	10417
Pancreas	Pancreatic stellate cells	GEM	2669
Pancreas	Pancreatic stellate cells	DYNLT1	6993
Pancreas	Pancreatic stellate cells	PDGFRB	5159
Pancreas	Pancreatic stellate cells	KRT10	3858
Pancreas	Pancreatic stellate cells	CYGB	114757
Pancreas	Pancreatic stellate cells	CCN2	1490
Pancreas	Pancreatic stellate cells	MMP14	4323
Pancreas	Pancreatic stellate cells	NDUFA4L2	56901
Pancreas	Pancreatic stellate cells	PDGFRA	5156
Pancreas	Pancreatic stellate cells	INHBA	3624
Pancreas	Pancreatic stellate cells	TGFB1	7040
Pancreas	Peri-islet Schwann cells	MPZ	4359
Pancreas	Peri-islet Schwann cells	EGFL8	NA
Pancreas	Peri-islet Schwann cells	GFRA1	2674
Pancreas	Peri-islet Schwann cells	OLFML2A	169611
Pancreas	Peri-islet Schwann cells	GULP1	51454
Pancreas	Peri-islet Schwann cells	SLITRK6	84189
Pancreas	Peri-islet Schwann cells	VGLL3	389136
Pancreas	Peri-islet Schwann cells	GFRA3	2676
Pancreas	Peri-islet Schwann cells	INSC	387755
Pancreas	Peri-islet Schwann cells	SLITRK2	84631
Pancreas	Peri-islet Schwann cells	FIGN	55137
Pancreas	Peri-islet Schwann cells	LRRTM1	347730
Pancreas	Peri-islet Schwann cells	SEMA3B	7869
Pancreas	Peri-islet Schwann cells	NGFR	4804
Pancreas	Peri-islet Schwann cells	PNLIPRP1	5407
Pancreas	Peri-islet Schwann cells	GFRA2	2675
Liver	Cholangiocytes	SSTR2	6752
Liver	Cholangiocytes	SLC4A2	6522
Liver	Cholangiocytes	KRT7	3855
Liver	Cholangiocytes	KCNN2	3781
Liver	Cholangiocytes	ITGB4	3691
Liver	Cholangiocytes	GGT6	124975
Liver	Cholangiocytes	CFTR	1080
Liver	Cholangiocytes	AQP4	361
Liver	Cholangiocytes	AQP1	358
Liver	Cholangiocytes	PIGR	5284
Liver	Cholangiocytes	GGT1	NA
Liver	Cholangiocytes	JAG1	182
Liver	Cholangiocytes	GPBAR1	151306
Liver	Cholangiocytes	GGT7	2686
Liver	Cholangiocytes	KRT19	3880
Liver	Cholangiocytes	ONECUT2	9480
Liver	Cholangiocytes	ALPL	249
Liver	Cholangiocytes	HNF1B	6928
Liver	Cholangiocytes	ALB	213
Liver	Cholangiocytes	AGR2	10551
Liver	Cholangiocytes	TFF3	7033
Liver	Cholangiocytes	TFF1	7031
Liver	Cholangiocytes	SOX9	6662
Liver	Cholangiocytes	EPCAM	4072
Liver	Cholangiocytes	CLDN4	1364
Liver	Cholangiocytes	MMP7	4316
Liver	Cholangiocytes	TFF2	7032
Liver	Cholangiocytes	SCGB3A1	92304
Liver	Cholangiocytes	FXYD2	NA
Liver	Cholangiocytes	DEFB1	1672
Liver	Cholangiocytes	CD24	100133941
Liver	Cholangiocytes	LCN2	3934
Liver	Cholangiocytes	CXCL1	2919
Liver	Cholangiocytes	CXCL6	6372
Liver	Cholangiocytes	LGALS2	3957
Liver	Cholangiocytes	TACSTD2	4070
Liver	Cholangiocytes	ELF3	1999
Liver	Cholangiocytes	SPP1	6696
Liver	Cholangiocytes	MUC5B	727897
Liver	Cholangiocytes	LGALS4	3960
Liver	Cholangiocytes	KRT8	NA
Liver	Endothelial cell	FLT1	2321
Liver	Endothelial cell	APPBP2	10513
Liver	Endothelial cell	ARGLU1	55082
Liver	Endothelial cell	ATP10D	57205
Liver	Endothelial cell	BNIP1	662
Liver	Endothelial cell	BST2	684
Liver	Endothelial cell	BTNL9	153579
Liver	Endothelial cell	C11orf96	387763
Liver	Endothelial cell	CCDC85B	11007
Liver	Endothelial cell	CCL14	NA
Liver	Endothelial cell	CD4	920
Liver	Endothelial cell	CDC73	79577
Liver	Endothelial cell	CDKL1	8814
Liver	Endothelial cell	CHD4	1108
Liver	Endothelial cell	CLEC1B	51266
Liver	Endothelial cell	CLEC2B	9976
Liver	Endothelial cell	CLEC4G	339390
Liver	Endothelial cell	CLEC4M	10332
Liver	Endothelial cell	CRBN	51185
Liver	Endothelial cell	CRHBP	1393
Liver	Endothelial cell	CTSL	1514
Liver	Endothelial cell	DCLRE1C	64421
Liver	Endothelial cell	DIPK2A	205428
Liver	Endothelial cell	DLC1	10395
Liver	Endothelial cell	DLG1	1739
Liver	Endothelial cell	DLK1	8788
Liver	Endothelial cell	DNASE1L3	1776
Liver	Endothelial cell	DOCK1	1793
Liver	Endothelial cell	DUSP5	1847
Liver	Endothelial cell	EFNB2	1948
Liver	Endothelial cell	ENG	2022
Liver	Endothelial cell	F8	2157
Liver	Endothelial cell	FCN2	2220
Liver	Endothelial cell	FCN3	8547
Liver	Endothelial cell	FILIP1	27145
Liver	Endothelial cell	FOSB	2354
Liver	Endothelial cell	FXYD6	53826
Liver	Endothelial cell	GBP4	115361
Liver	Endothelial cell	GGA2	23062
Liver	Endothelial cell	GNG11	2791
Liver	Endothelial cell	HES1	3280
Liver	Endothelial cell	HYI	81888
Liver	Endothelial cell	IL1R1	3554
Liver	Endothelial cell	IL33	90865
Liver	Endothelial cell	KDR	3791
Liver	Endothelial cell	KIF1B	23095
Liver	Endothelial cell	KLHL28	54813
Liver	Endothelial cell	LDB2	9079
Liver	Endothelial cell	MCAM	4162
Liver	Endothelial cell	MCM3AP	8888
Liver	Endothelial cell	MEF2C	4208
Liver	Endothelial cell	MFN1	55669
Liver	Endothelial cell	MGAT5	4249
