gene	chromosome	chromosome_hg19	map_location
100033441	15	15	15q11.2
100033442	15	15	15q11.2
100033443	15	15	15q11.2
100033444	15	15	15q11.2
100033445	15	15	15q11.2
100033446	15__15	15__15	15q11.2
100033447	15	15	15q11.2
100033448	15__15__15__15	15__15__15__15	15q11.2
100033449	15__15	15__15	15q11.2
100033450	15	15	15q11.2
100033451	15	15	15q11.2
100033453	15	15	15q11.2
100033454	15	15	15q11.2
100033455	15__15__15	15__15__15	15q11.2
100033456	15__15__15	15__15__15	15q11.2
100033458	15__15__15	15__15__15	15q11.2
100033460	15	15	15q11.2
100033603	15	15	15q11.2
100033799	15	15	15q11.2
100033800	15	15	15q11.2
100033801	15	15	15q11.2
100033802	15	15	15q11.2
100033803	15__15__15__15	15__15__15__15	15q11.2
100033804	15	15	15q11.2
100033805	15	15	15q11.2
100033806	15	15	15q11.2
100033807	15	15	15q11.2
100033808	15	15	15q11.2
100033809	15	15	15q11.2
100033810	15__15__15__15	15__15__15__15	15q11.2
100033811	15	15	15q11.2
100033812	15	15	15q11.2
100033813	15	15	15q11.2
100033814	15	15	15q11.2
100033815	15	15	15q11.2
100033816	15	15	15q11.2
100033817	15__15__15__15	15__15__15__15	15q11.2
100033818	15	15	15q11.2
100033819	11	11	11p15.5
100033820	15	15	15q11.2
100033821	15	15	15q11.2
100033822	15	15	15q11.2
100034700	NA	NA	NA
100034703	NA	NA	NA
100034704	NA	NA	NA
100034705	NA	NA	NA
100034743	NA	NA	1q21.2
100036563	15	15	15q11.2
100036564	15	15	15q11.2
100036565	15	15	15q11.2
100036566	15	15	15q11.2
100036567	15	15	15q11.2
100036574	NA	NA	14q24.1
100036575	NA	NA	1q25.3
100037264	NA	NA	Xq24-q25
100037265	NA	NA	1p21
100037266	NA	NA	9q22
100037267	NA	NA	11q13.4
100037280	NA	NA	20p12.3
100037417	22__CHR_HSCHR22_1_CTG7	22__22	22q11.23
100038246	10	10	10q24.31
100038247	NA	NA	NA
100038248	NA	NA	NA
10004	11	11	11q13.1
100048903	NA	NA	6p22.1
100048904	NA	NA	6p22.1
100048905	NA	NA	1p36.21
100048906	NA	NA	1p34.3
100048907	NA	NA	6p22.1
100048908	NA	NA	6p21.33
100048909	NA	NA	6p22.1
100048912	9	9	9p21.3
100048922	NA	NA	6p21.32
100048923	NA	NA	6p22.1
100048924	NA	NA	6p22.1
100049076	5	5	5q13.2
100049159	NA	NA	8p21.2-q13.3
100049160	NA	NA	21q22
100049541	NA	NA	NA
100049542	NA	NA	NA
100049543	NA	NA	NA
100049544	NA	NA	NA
100049579	NA	NA	5q31
100049587	19	19	19q13.41
100049613	NA	NA	11q12.1
100049614	NA	NA	5q35.3
100049707	NA	NA	4p16-p15
100049716	12	12	12p13.33
100049717	NA	NA	9p23
10005	20	20	20q13.12
10006	10	10	10p12.1
10007	5	5	5q31.3
100073347	19	19	19q13.43
10008	11	11	11q13.4
10009	X	HG1442_PATCH__X	Xq24
100093624	NA	NA	5q13.2
100093625	NA	NA	5q13.2
100093626	NA	NA	5q13.2
100093630	4	4	4q26
100093631	NA	NA	7q11.23
100093632	NA	NA	19p13.2
100093698	X	X	Xp22.2
100093716	NA	NA	NA
1001	16	16	16q22.1
10010	2	2	2q24.2
100101111	NA	NA	13q11
100101112	NA	NA	7p12.3
100101115	Y__Y	Y__Y	Yp11.2
100101116	Y__Y	Y__Y	Yp11.2
100101117	NA	NA	Yp11.2
100101118	Y__Y	Y__Y	Yp11.2
100101119	NA	NA	9p12
100101120	Y	Y	Yp11.2
100101121	Y__Y	Y__Y	Yp11.2
100101126	NA	NA	7p14.1
100101127	NA	NA	8q13.3
100101148	NA	NA	7q11.23
100101246	NA	NA	12q24.12
100101247	NA	NA	6p21.31
100101266	19	19	19p12
100101267	7	7	7q11.23
100101268	NA	NA	7q11.23
100101405	NA	NA	11q12.1
100101407	NA	NA	1p34.1
100101423	NA	NA	10q22
100101424	NA	NA	14q11.2-q12
100101425	NA	NA	16p12-q12
100101426	NA	NA	19q13.2-q13.3
100101440	NA	NA	7q11.23
100101467	18	18	18q12.2
100101478	NA	NA	Xq22.2
100101483	NA	NA	7p11.2
100101490	20	20	20q11.21
100101554	NA	NA	17p11.2
100101629	X__X	X__X	Xp11
100101917	NA	NA	Xq22.2
100101932	NA	NA	11q23.1
100101933	NA	NA	2p13.1
100101935	NA	NA	13q14.2
100101938	NA	NA	13q12.11
10011	5	5	5q31.3
100113373	NA	NA	1p36.23
100113374	NA	NA	1q23.3
100113375	NA	NA	22q13.31
100113378	20	20	20p13
100113379	9	9	9p13.3
100113380	22	22	22q12.2
100113381	3	3	3p21.1
100113382	19	19	19p13.2
100113384	5	5	5p15.31
100113386	NA	NA	20q13.33
100113389	14	14	14q21.2
100113391	14	14	14q11.2
100113392	2	2	2q33.1
100113393	20	20	20q13.13
100113397	NA	NA	Xp11.3
100113402	16	16	16q22.1
100113403	6	6	6q16.3
100113404	9	9	9p23
100113407	6	6	6p24.2
100113421	NA	NA	9q13
100114903	NA	NA	3p21.31
100118954	NA	NA	10p15.1
100124332	NA	NA	10q26.13
100124334	NA	NA	15q26.1
100124373	NA	NA	6p21.2
100124394	NA	NA	3q25.31
100124401	NA	NA	2p11.2
100124402	NA	NA	7q21.11
100124412	15	15	15q26.3
100124414	NA	NA	11p15
100124415	NA	NA	NA
100124516	18	18	18q21.1
100124533	NA	NA	6p24.3
100124534	9	9	9q22.31
100124535	2	2	2p13.3
100124536	17	17	17q24.2
100124537	2	2	2p15
100124538	9	9	9q33.1
100124539	14	14	14q32.11
100124540	X	X	Xp11.3
100124541	HG1433_PATCH__HG1433_PATCH__X__X__X__X	HG1433_PATCH__HG1433_PATCH__X__X__X__X	Xp11.22
100124696	NA	NA	19q13.2
100124700	12	12	12q13.13
100125288	19	19	19p13.2
100125387	NA	NA	10p12.31
100125392	NA	NA	Xp11.22
100125393	NA	NA	16q21
100125409	NA	NA	12q15
100125556	3	3	3q21.2
100126007	NA	NA	13q33.1
100126008	NA	NA	Xq24
100126270	HG1459_PATCH__X	HG1459_PATCH__X	Xq27.3
100126296	20	20	20q13.32
100126297	14	14	14q32.31
100126299	5	5	5q31.1
100126301	HG1459_PATCH__HG1459_PATCH__X__X	HG1459_PATCH__HG1459_PATCH__X__X	Xq27.3
100126302	X	X	Xq26.3
100126303	HG1459_PATCH__X	HG1459_PATCH__X	Xq27.3
100126304	HG1459_PATCH__X	HG1459_PATCH__X	Xq27.3
100126306	HG1459_PATCH__X	HG1459_PATCH__X	Xq27.3
100126307	HG1459_PATCH__X	HG1459_PATCH__X	Xq27.3
100126308	14	14	14q32.31
100126309	8	8	8q22.2
100126310	9	9	9p21.1
100126311	15	15	15q21.1
100126313	17	17	17p12
100126314	6__HSCHR6_MHC_COX__HSCHR6_MHC_DBB__HSCHR6_MHC_MANN__HSCHR6_MHC_MCF__HSCHR6_MHC_QBL__HSCHR6_MHC_SSTO	6__HSCHR6_MHC_COX__HSCHR6_MHC_DBB__HSCHR6_MHC_MANN__HSCHR6_MHC_MCF__HSCHR6_MHC_QBL__HSCHR6_MHC_SSTO	6p21.33
100126315	14	14	14q32.2
100126316	9	9	9p21.1
100126317	X	X	Xq13.2
100126318	22	22	22q11.21
100126319	2	2	2p16.1
100126320	12	12	12p12.1
100126321	3	3	3q29
100126323	NA	NA	18q12.3
100126324	X	X	Xq26.3
100126325	19	19	19q13.42
100126326	10	10	10q25.1
100126327	10	10	10p11.23
100126328	16	16	16p13.3
100126329	20__20	20__20	20q13.33
100126330	20	20	20q13.33
100126331	1	1	1p13.1
100126332	4__4	4__4	4p16.3
100126333	11	11	11q14.1
100126334	3	3	3p25.3
100126335	14	14	14q32.31
100126336	14	14	14q11.2
100126337	HG1459_PATCH__X	HG1459_PATCH__X	Xq27.3
100126338	8__HG104_HG975_PATCH	8__HG104_HG975_PATCH	8q24.3
100126339	20	20	20q13.33
100126340	3	3	3q28
100126341	HG1459_PATCH__X	HG1459_PATCH__X	Xq27.3
100126342	HG1459_PATCH__X	HG1459_PATCH__X	Xq27.3
100126343	5	5	5q31.2
100126345	14	14	14q32.31
100126346	1	1	1q21.3
100126347	5	5	5p15.1
100126348	1	1	1p22.1
100126349	1	1	1q24.1
100126350	2	2	2q31.1
100126351	8__8__HG243_PATCH__HG243_PATCH	8__8__HG243_PATCH__HG243_PATCH	8q24.3
100126352	20	20	20q13.33
100126354	4	4	4q25
100126355	16	16	16p13.12
100126356	17	17	17q11.2
100126446	NA	NA	9q31.2
100126447	NA	NA	Xq23
100126572	6	NA	6q24.1
100126584	NA	NA	6q22.31
100126593	NA	NA	NA
100126594	NA	NA	NA
100126595	NA	NA	NA
100126596	NA	NA	10p14
100126597	NA	NA	4q32.1
100126693	21	21	21q22.3
100126780	NA	NA	19q13.33
100126781	NA	NA	19q13.33
100126784	11	11	11p15.1
100126791	3	3	3p26.1
100126793	3	3	3p25.3
100126794	NA	NA	7q22.1
100126798	NA	NA	19q13.33
100126799	NA	NA	19q13.33
100126800	NA	NA	19q13.33
100126822	NA	NA	1q42.13
100126825	NA	NA	Xp22.13
100127050	NA	NA	19p13.2
100127173	NA	NA	6p21.33
100127206	5	5	5q23.3
100127883	NA	NA	18q12.3
100127888	20	20	20q13.33
100127892	NA	NA	3q13.31
100127893	NA	NA	5q14.1
100127900	NA	NA	6q13
100127902	NA	NA	Xq12
100127903	NA	NA	4q13.2
100127905	NA	NA	6q14.3
100127906	NA	NA	4q21.22
100127907	NA	NA	7q11.21
100127908	NA	NA	6q23.2
100127911	NA	NA	5q14.2
100127912	NA	NA	4q28.2
100127917	NA	NA	6q14.3
100127919	NA	NA	12q22
100127922	NA	NA	5q35.2
100127924	NA	NA	2q31.1
100127934	NA	NA	1p22.1
100127938	NA	NA	11q22.1
100127945	NA	NA	3p21.31
100127949	NA	NA	11q13.4
100127950	NA	NA	7p14.1
100127952	NA	NA	11q23.2
100127954	NA	NA	11q12.3
100127955	NA	NA	7p22.3
100127958	NA	NA	16p11.1
100127960	NA	NA	11q14.1
100127962	NA	NA	9q31.1
100127963	NA	NA	16p13.3
100127965	NA	NA	16p11.2
100127967	12	12	12q13.13
100127969	NA	NA	19q13.2
100127976	NA	NA	12q13.13
100127978	NA	NA	12q13.11
100127979	NA	NA	22q13.1
100127981	NA	NA	4q35.1
100127982	NA	NA	8q22.1
100127983	8	8	8q21.3
100127986	NA	NA	5q23.1
100127989	NA	NA	2q21.1
100127993	NA	NA	2q22.1
100127995	NA	NA	1q42.12
100127999	NA	NA	9p24.1
100128002	12	12	12q24.33
100128004	NA	NA	9p13.2
100128006	17	17	17p12
100128007	NA	NA	17p13.1
100128010	NA	NA	17q21.32
100128011	NA	NA	13q31.3
100128012	NA	NA	15q15.1
100128015	NA	NA	15q22.2
100128016	NA	NA	17q21.31
100128017	NA	NA	13q32.1
100128020	NA	NA	3q12.2
100128022	NA	NA	18q21.32
100128023	1	1	3q29
100128025	3	3	3q25.1
100128027	NA	NA	2p16.1
100128029	NA	NA	2p16.3
100128030	NA	NA	7q21.11
100128033	NA	NA	20q11.22
100128036	NA	NA	3q26.2
100128041	NA	NA	10q21.3
100128042	NA	NA	2p13.3
100128043	NA	NA	10q23.32
100128044	NA	NA	18q22.3
100128048	NA	NA	2p21
100128050	NA	NA	4q31.3
100128052	NA	NA	7q33
100128054	10	10	10q23.33
100128055	4	4	4q31.21
100128056	NA	NA	7q31.1
100128057	NA	NA	21q21.1
100128059	NA	NA	5q35.1
100128060	NA	NA	13q12.11
100128061	NA	NA	2q24.1
100128062	NA	NA	5q34
100128071	1	1	1p35.1
100128072	NA	NA	7p13
100128076	NA	NA	9q22.31
100128078	NA	NA	20p11.21
100128079	16	16	16p11.2
100128081	7	7	7p15.1
100128083	NA	NA	Xp21.1
100128086	NA	NA	9q31.2
100128091	NA	NA	1p34.2
100128092	NA	NA	1p35.3
100128093	NA	NA	1p34.3
100128094	NA	NA	1p22.1
100128098	10	10	10p12.33
100128102	NA	NA	11q21
100128103	NA	NA	16p11.1
100128108	15	15	15q26.3
100128109	NA	NA	12p12.3
100128110	NA	NA	19q13.11
100128115	NA	NA	18q23
100128117	NA	NA	2q14.2
100128118	NA	NA	4q34.3
100128119	NA	NA	8q21.13
100128121	NA	NA	5q31.3
100128122	NA	NA	Xq24
100128124	6	NA	6q27
100128126	8	8	8q21.11
100128127	NA	NA	10q26.3
100128132	NA	NA	8q23.1
100128135	NA	NA	11p15.4
100128136	NA	NA	9p13.3
100128139	19	19	19p12
100128140	NA	NA	17p13.3
100128144	NA	NA	19p13.3
100128145	NA	NA	13q34
100128154	NA	NA	5q11.2
100128159	NA	NA	6q16.1
100128162	NA	NA	6q14.1
100128164	3	3	3q26.2
100128168	NA	NA	10q26.13
100128171	NA	NA	Xq12
100128174	NA	NA	8p23.1
100128176	6	6	6q25.1
100128177	NA	NA	4q26
100128179	NA	NA	3q13.11
100128181	NA	NA	1q24.1
100128183	NA	NA	4q24
100128190	NA	NA	Yq11.21
100128191	12	12	12q23.1
100128203	NA	NA	2q35
100128210	NA	NA	11q12.1
100128217	NA	NA	7p21.2
100128218	NA	NA	5p13.2
100128220	NA	NA	14q11.2
100128227	NA	NA	6p12.1
100128233	14	14	14q23.3
100128237	NA	NA	9q22.33
100128238	NA	NA	18p11.22
100128239	11	11	11q25
100128240	NA	NA	6p22.1
100128248	NA	NA	12q12
100128250	NA	NA	15q26.2
100128252	19	19	19q13.43
100128253	NA	NA	12p13.32
100128254	NA	NA	19q13.42
100128258	NA	NA	1q42.13
100128260	NA	NA	Xq28 and Yq12
100128262	NA	NA	3q29
100128264	7	7	7q36.2
100128266	NA	NA	4q34.1
100128268	NA	NA	Xq25
100128275	NA	NA	9p13.3
100128276	NA	NA	12q24.33
100128277	NA	NA	9p24.1
100128284	NA	NA	17p13.2
100128285	15	15	15q24.2
100128288	NA	NA	17p13.1
100128292	NA	NA	10q22.3
100128293	NA	NA	6q12
100128297	NA	NA	4q21.1
100128299	NA	NA	9q34.3
100128302	NA	NA	10q23.32
100128305	NA	NA	1q24.1
100128307	NA	NA	7q31.1
100128310	NA	NA	20q13.33
100128312	NA	NA	6q13
100128317	7	7	7q21.11
100128318	NA	NA	4q21.1
100128324	NA	NA	18q11.1
100128325	7	7	7q32.2
100128327	6	6	6q22.1
100128334	NA	NA	7q22.1
100128335	NA	NA	12q21.31
100128337	NA	NA	13q12.12
100128338	8__HG104_HG975_PATCH	8__HG104_HG975_PATCH	8q24.3
100128339	NA	NA	13q31.1
100128340	5	5	5q35.3
100128341	NA	NA	21q11.2
100128345	NA	NA	Xp21.1
100128347	NA	NA	11q23.3
100128351	NA	NA	4p12
100128355	NA	NA	Xp22.33
100128358	NA	NA	14q12
100128360	NA	NA	18p11.32
100128361	NA	NA	9q22.31
100128362	NA	NA	1p34.2
100128365	NA	NA	6p22.3
100128368	NA	NA	3p25.1
100128372	NA	NA	6p25.2
100128373	NA	NA	14q32.31
100128377	NA	NA	1p31.3
100128378	NA	NA	3p21.2
100128379	NA	NA	6p21.2
100128384	NA	NA	16p11.2
100128385	9	9	9q32
100128386	11	11	11q22.1
100128390	NA	NA	17q24.3
100128393	NA	NA	22q13.31
100128397	NA	NA	15q26.1
100128398	NA	NA	19q13.43
100128407	NA	NA	5q23.1
100128408	NA	NA	2q12.2
100128410	NA	NA	Xq25
100128412	NA	NA	8q21.3
100128413	NA	NA	2q14.1
100128416	NA	NA	Xq26.3
100128420	X	X	Xq26.3
100128423	NA	NA	11p15.4
100128427	NA	NA	11p11.12
100128428	NA	NA	19p13.2
100128431	NA	NA	15q23
100128441	NA	NA	8p12
100128442	NA	NA	Xp11.3
100128448	NA	NA	3p13
100128449	NA	NA	9q34.3
100128450	NA	NA	6q13
100128454	NA	NA	Xp11.22
100128456	NA	NA	Xq21.33
100128459	NA	NA	7p11.2
100128462	NA	NA	4q26
100128464	NA	NA	7q21.13
100128465	NA	NA	10q23.31
100128467	NA	NA	Xq12
100128469	NA	NA	3q25.1
100128483	NA	NA	2q34
100128493	NA	NA	10p12.31
100128494	11	11	11q13.4
100128496	20	20	20p11.23
100128497	NA	NA	16q23.1
100128503	NA	NA	1p36.11
100128505	9	9	9q33.1
100128511	10	10	10p12.31
100128512	NA	NA	10p11.1
100128514	NA	NA	14q11.2
100128516	NA	NA	11q24.1
100128519	NA	NA	4p16.1
100128521	NA	NA	Xp22.2
100128523	NA	NA	16q12.2
100128525	NA	NA	22q13.1
100128531	22	22	22q11.23
100128535	NA	NA	22q12.2
100128536	NA	NA	Xq23
100128537	NA	NA	1q32.2
100128540	NA	NA	8q12.3
100128541	NA	NA	8q11.1
100128542	NA	NA	7q36.1
100128546	NA	NA	Xq24
100128548	NA	NA	8q22.1
100128553	CHR_HSCHR7_3_CTG4_4__7	6__7	7q35
100128554	NA	NA	12q24.32
100128560	NA	NA	17p13.1
100128568	19	19	19p13.3
100128569	19	19	19p13.3
100128574	NA	NA	Xq22.1
100128579	NA	NA	2p23.3
100128588	NA	NA	6q21
100128589	NA	NA	3q22.3
100128590	2	2	2p22.1
100128592	NA	NA	6q13
100128593	NA	NA	9q34.3
100128594	X	X	Xq22.2
100128595	NA	NA	Xq21.33
100128596	NA	NA	7q32.3
100128601	NA	NA	Xq22.1
100128603	NA	NA	5q11.2
100128605	NA	NA	2p13.2
100128610	NA	NA	6q12
100128617	NA	NA	12q24.21
100128618	NA	NA	12q24.13
100128621	NA	NA	2q31.1
100128622	NA	NA	5q35.3
100128625	NA	NA	13q21.33
100128626	NA	NA	13q21.31
100128627	8	8	8q24.3
100128628	NA	NA	13q14.11
100128637	NA	NA	7p21.2
100128639	NA	NA	1p34.1
100128640	3	3	3p22.2
100128646	NA	NA	4p15.32
100128653	NA	NA	7p22.3
100128655	NA	NA	6p21.2
100128657	NA	NA	9q31.2
100128662	NA	NA	1p36.23
100128664	NA	NA	14q11.2
100128665	NA	NA	9q31.1
100128673	NA	NA	12q21.1
100128674	NA	NA	12q21.1
100128675	19	19	19q13.11-q13.12
100128676	NA	NA	12q13.3
100128678	NA	NA	12q13.13
100128681	NA	NA	12q21.1
100128682	19	19	19q13.12
100128685	NA	NA	8q23.1
100128686	NA	NA	8q11.21
100128688	NA	NA	Xq28
100128690	NA	NA	Xq27.3
100128696	NA	NA	2p11.1
100128701	NA	NA	9p24.1
100128705	NA	NA	9p24.1
100128707	NA	NA	15q24.2
100128710	NA	NA	17q11.2
100128711	NA	NA	15q21.3
100128712	NA	NA	17q23.2
100128713	NA	NA	17q22
100128714	15	15	15q12
100128721	NA	NA	15q24.2
100128723	NA	NA	1q32.1
100128725	NA	NA	4q13.2
100128731	2	2	2p23.3
100128733	NA	NA	3q13.12
100128738	NA	NA	Xq13.2
100128739	NA	NA	3q24
100128745	NA	NA	6q23.3
100128750	8	8	8p12
100128756	NA	NA	10q23.1
100128759	NA	NA	2q24.1
100128762	NA	NA	5q35.3
100128764	NA	NA	13q12.13
100128766	NA	NA	21q22.11
100128770	16	16	16p13.3
100128771	NA	NA	9q22.32
100128772	NA	NA	3p25.1
100128775	NA	NA	1p31.1
100128776	NA	NA	18p11.21
100128777	NA	NA	16q12.1
100128781	NA	NA	14q31.3
100128782	9	9	9q22.32
100128787	1	1	1p21.2
100128788	16	16	16p13.3
100128790	NA	NA	9q21.2
100128800	NA	NA	11q14.3
100128801	NA	NA	Xp22.31
100128803	NA	NA	5p15.33
100128804	NA	NA	16p11.2
100128807	NA	NA	Xp22.2
100128808	NA	NA	Xp22.31
100128811	10	10	10p12.1
100128817	NA	NA	12q12
100128818	NA	NA	22q13.31
100128822	7	7	7q36.1
100128827	NA	NA	3q29
100128830	10	10	10q26.3
100128833	NA	NA	5q33.2
100128834	NA	NA	1q44
100128836	NA	NA	8q21.13
100128845	NA	NA	19p12
100128849	NA	NA	19p12
100128853	NA	NA	19p12
100128857	NA	NA	2p13.3
100128863	NA	NA	10q24.33
100128865	NA	NA	4q12
100128867	NA	NA	7p11.2
100128880	NA	NA	10q26.11
100128881	16	16	16q24.3
100128882	NA	NA	16q24.2
100128885	NA	NA	7q11.21
100128888	NA	NA	4q31.21
100128889	NA	NA	1q25.1
100128890	8	8	8p23.1
100128893	18	18	18q11.2
100128894	NA	NA	Yp11.2
100128898	NA	NA	5q33.3
100128899	NA	NA	2q35
100128902	NA	NA	13q13.3
100128903	NA	NA	13q12.2
100128905	NA	NA	2q31.1
100128906	NA	NA	9q31.1
100128908	14	NA	14q11.2
100128911	NA	NA	9q22.1
100128912	NA	NA	4p15.32
100128923	NA	NA	11q23.1
100128926	NA	NA	18p11.32
100128927	14	14	14q32.33
100128929	NA	NA	Xp21.3
100128930	NA	NA	10p15.1
100128934	NA	NA	10q11.21
100128936	NA	NA	3p14.2
100128939	NA	NA	14q32.12
100128944	NA	NA	12q13.3
100128946	22	22	22q13.32
100128948	NA	NA	19q13.13
100128958	NA	NA	1q43
100128961	NA	NA	8q22.3
100128963	NA	NA	8q21.13
100128964	NA	NA	2q12.3
100128966	NA	NA	5q31.2
100128974	NA	NA	15q14
100128977	NA	NA	17q21.31
100128982	NA	NA	5q11.2
100128983	NA	NA	4q28.2
100128984	NA	NA	1q23.3
100128985	NA	NA	6q16.3
100128988	NA	NA	20q12
100128990	NA	NA	10q23.31
100128991	NA	NA	18q21.2
100128993	8	8	8p22-p21.3
100128998	NA	NA	20q13.33
100129001	NA	NA	Xq21.33
100129004	NA	NA	8p11.22
100129005	NA	NA	3p11.2
100129007	NA	NA	1q24.1
100129008	NA	NA	4q26
100129009	NA	NA	7q22.3
100129011	NA	NA	18q21.33
100129013	NA	NA	Xq13.1
100129017	NA	NA	1q31.3
100129023	NA	NA	13q31.1
100129027	21	21	21q22.3
100129028	NA	NA	2q31.1
100129029	2	2	2q24.1
100129031	NA	NA	3p14.2
100129032	NA	NA	11q12.1
100129034	NA	NA	9q33.3
100129037	NA	NA	4p16.3
100129040	NA	NA	5p13.1
100129045	NA	NA	3p24.2
100129046	1	1	1p22.1
100129049	NA	NA	Xp21.2
100129050	NA	NA	7p12.3
100129052	NA	NA	6p25.2
100129053	NA	NA	11q21
100129055	NA	NA	10p11.1
100129060	NA	NA	3p21.31
100129061	NA	NA	6p21.31
100129066	NA	NA	9q22.2
100129067	NA	NA	11q12.3
100129074	NA	NA	6p24.2
100129075	14	14	14q22.3
100129078	NA	NA	12q12
100129080	NA	NA	19q13.2
100129083	NA	NA	19q13.41
100129085	NA	NA	19q13.12
100129086	NA	NA	12q13.13
100129090	NA	NA	1q32.3
100129094	CHR_HG2002_PATCH__1	NA	1q42.13
100129096	NA	NA	8q13.2
100129098	NA	NA	8q11.23
100129099	NA	NA	5q22.1
100129100	NA	NA	8q21.3
100129102	NA	NA	1q32.1
100129107	NA	NA	9p24.1
100129108	NA	NA	11p11.12
100129118	NA	NA	19p13.12
100129123	NA	NA	17q23.3
100129124	NA	NA	15q12
100129128	6	6	6q13
100129129	8	8	8p23.1
100129130	NA	NA	7q11.23
100129133	NA	NA	Xq21.31
100129135	NA	NA	18q22.1
100129137	NA	NA	4q22.1
100129138	1	1	1p21.1
100129140	NA	NA	2p14
100129141	NA	NA	2p15
100129143	NA	NA	18q21.1
100129144	NA	NA	Xq12
100129148	NA	NA	7q34
100129155	NA	NA	6q21
100129156	NA	NA	10q22.3
100129160	NA	NA	1q23.3
100129162	NA	NA	2p15
100129167	NA	NA	13q12.12
100129168	NA	NA	21q22.11
100129174	NA	NA	13q14.2
100129175	2	2	2q35
100129176	NA	NA	14q32.32
100129179	NA	NA	14q23.1
100129180	NA	NA	1p22.1
100129184	NA	NA	16p11.2
100129192	NA	NA	6p22.1
100129193	NA	NA	9q32
100129195	6	6	6p22.1
100129196	1	1	1p35.2
100129199	NA	NA	11q13.2
100129201	NA	NA	11q23.3
100129202	NA	NA	9q22.1
100129203	NA	NA	11q21
100129205	NA	NA	1p31.3
100129213	10	10	10p12.33
100129215	NA	NA	16q24.2
100129216	11	4	11q13.4
100129223	NA	NA	12p13.32
100129224	NA	NA	9q13
100129227	NA	NA	12q14.1
100129229	NA	NA	Xq27.3
100129231	NA	NA	Xq25
100129234	NA	NA	2q14.2
100129237	NA	NA	8q12.1
100129239	X	NA	Xq27.3
100129243	NA	NA	1q41
100129245	NA	NA	4q35.1
100129248	NA	NA	9p24.1
100129250	9	9	9p21.1
100129251	NA	NA	9p21.1
100129254	NA	NA	22q11.21
100129256	NA	NA	15q22.2
100129259	NA	NA	13q32.1
100129260	NA	NA	13q31.3
100129262	NA	NA	22q11.21
100129265	NA	NA	19p12
100129269	1	1	1p13.2
100129271	1	1	1q21.3
100129272	NA	NA	Xq13.2
100129274	NA	NA	1q31.1
100129276	NA	NA	7p11.2
100129277	NA	NA	Xp11.22
100129278	2	NA	2p24.1
100129279	NA	NA	5q13.2
100129283	NA	NA	5q14.3
100129284	NA	NA	Xp11.4
100129288	NA	NA	Xq11.2
100129291	NA	NA	Xq13.1
100129293	NA	NA	7q11.21
100129295	NA	NA	1q25.3
100129297	NA	NA	3q13.2
100129298	NA	NA	Xq21.2
100129306	NA	NA	13q12.13
100129307	13	NA	13q22.3
100129308	NA	NA	13q21.1
100129310	NA	NA	2q35
100129315	NA	NA	16p11.2
100129316	NA	NA	9q22.2
100129319	NA	NA	9q31.2
100129320	NA	NA	1p21.2
100129321	NA	NA	7p14.1
100129325	NA	NA	1p31.1
