gene	chromosome	map_location
100287366	6	6q21
100287399	15	15q11.2
100287404	4	4p16.1
100287441	4	4p16.1
100287478	4	4p16.1
100287482	7	7q32.1
100287513	4	4p16.1
100287520	11	11q12.1
100287559	15	15q24.1
100287569	12	12q24.22
100287592	5	5q11.1
100287616	15	15q24.1
100287632	6	6q22.31
100287639	3	3q11.2
100287718	6	6p12.3
100287722	1	1p13.2
100287765	X	Xq22.1
100287792	20	20q11.23
100287814	1	1q42.2
100287852	2	3q12.3
100287879	3	3p14.1
100287896	11	11q13.4
100287902	1	1q43
100287932	10	10q11.22
100287948	1	1q25.3
100288069	1	1p36.33
100288079	1	1q25.3
100288122	18	18p11.21
100288123	19	19p13.3
100288142	1	1q21.1
100288152	5	5p15.33
100288175	1	1p36.33
100288198	6	6q14.1
100288287	21	21q22.11
100288323	21	21q22.11
100288380	15	15q13.2
100288413	4	4q12
100288428	3	3p25.3
100288432	21	21q22.11
100288485	10	10p11.21
100288486	15	15q26.3
100288520	4	4p16.1
100288527	8	8q21.2
100288570	2	2q13
100288637	15	15q13.2
100288690	10	10q11.22
100288695	2	2q13
100288730	13	13q12.2
100288748	8	8q22.1
100288778	2	12p13.33
100288797	20	20p13
100288798	12	12q13.11
100288801	3	3p12.3
100288805	16	1q21.1
100288814	X	Xp22.2
100288831	3	3p25.3
100288842	9	9q33.2
100288846	14	14q21.1
100288866	17	17q21.33
100288897	2	2q21.1
100288974	10	10q22.3
100289019	9	9q34.11
100289087	Y	Yp11.2
100289092	16	16p11.2
100289098	7	7q11.21
100289124	9	9p11.2
100289178	1	1p31.3
100289187	7	7q22.1
100289188	Y	Yp11.2
100289211	1	1q21.1-q21.2
100289255	17	17p13.1-p12
100289274	13	13q32.1
100289279	9	9q12
100289333	19	19p13.2
100289361	3	3q23
100289373	13	13q32.3
100289388	11	11q14.1
100289473	20	20p13
100289509	10	10q24.32
100289561	7	7q22.1
100289574	16	16p11.2
100289580	16	16q24.3
100289635	12	12q24.33
100289650	19	19q13.2
100289656	15	15q13.1
100289673	5	5q21.3
100289678	7	7q36.1
100293516	19	19q13.43
100294362	17	17q25.3
100294720	6	6q23.3
1003	16	16q21
100302112	3	3p13
100302113	7	7p14.2
100302116	10	10p13
100302117	1	1p13.1
100302118	22	22q11.21
100302119	16	16q22.1
100302121	15	15q25.3
100302122	7	7p15.3
100302123	6	6p21.31
100302124	17	17p11.2
100302125	20	20q11.22
100302126	2	2q37.1
100302127	19	19p13.12
100302128	2	2q14.1
100302129	10	10p12.31
100302130	2	2q33.3
100302133	10	10q24.2
100302134	5	5q31.1
100302135	18	18q11.2
100302136	12	12q21.2
100302137	20	20q13.33
100302139	1	1q42.3
100302140	7	7p21.1
100302141	6	6q27
100302143	3	3q27.3
100302145	14	14q32.31
100302146	20	20q13.13
100302148	3	3q26.1
100302149	22	22q13.31
100302150	10	10q21.3
100302152	7	7p14.2
100302155	1	1p36.12
100302156	5	5q35.3
100302157	14	14q32.31
100302158	1	1q32.1
100302159	5	5q22.1
100302161	8	8q24.21
100302163	1	1q31.2
100302164	6	6q16.1
100302167	9	9p11.2
100302168	20	20q13.33
100302172	2	2q31.3
100302174	10	10q24.33
100302175	8	8q24.21
100302177	4	4q13.2
100302178	1	1q24.3
100302181	5	5q33.2
100302183	20	20q11.21
100302184	15	15q22.31
100302185	8	8q24.21
100302186	8	8p23.1
100302190	1	1p36.11
100302191	X	Xq21.1
100302192	10	10q21.1
100302193	4	4q24
100302195	18	18q11.2
100302201	12	12q13.3
100302202	15	15q21.2
100302203	5	5q35.2
100302204	3	3q21.2
100302205	19	19q13.42
100302209	14	14q32.31
100302211	17	17q21.32
100302212	3	3p12.3
100302213	19	19p13.2
100302214	X	Xq24
100302217	15	12q23.1
100302218	7	7q21.2
100302219	2	2q32.2
100302220	12	12q13.12
100302223	9	9q22.33
100302224	10	10q25.3
100302225	8	8q23.3
100302226	19	19p13.2
100302227	12	12q24.13
100302228	11	11q14.3
100302229	17	17q25.3
100302232	3	3p21.31
100302233	15	15q11.2
100302234	1	1q41
100302235	15	15q26.1
100302236	14	14q24.3
100302237	22	22q13.2
100302238	5	5q34
100302239	X	Xp21.1
100302246	2	2p23.3
100302250	14	14q32.31
100302255	19	19q13.42
100302256	17	17p11.2
100302257	18	18q21.1
100302258	15	15q26.2
100302259	6	6q25.3
100302261	16	16q24.1
100302265	19	19q13.42
100302268	2	2p13.3
100302270	4	4q34.3
100302275	11	11q21
100302276	1	1p36.13
100302277	4	4p16.1
100302279	1	1p31.3
100302280	11	11q13.1
100302281	8	8q24.21
100302282	20	20p13
100302283	19	19p13.3
100302284	5	5q33.2
100302285	2	2q37.1
100302286	13	13q33.3
100302287	17	17p12
100302288	5	5q21.1
100302289	12	12q23.1
100302401	1	1q25.2
100302640	3	3q13.12
100302652	2	2p16.2
100302691	1	1q42.3
100302692	X	Xq13.2
100302736	5	5q22.3
100302738	16	NA
100302741	10	10p12.31
100302742	3	3q29
100302743	2	2p25.1
100303491	2	2q22.3
100303728	X	Xq24
100303755	20	20p11.23
100306951	17	17p13.3
100306975	15	15q21.1
100309464	14	14q22.3
100310812	7	7q22.1
100310846	7	7p22.1
100313769	1	1q42.11
100313770	11	11q13.3
100313771	2	2q34
100313772	X	Xq21.33
100313773	16	16p13.13
100313774	11	11p15.4
100313777	11	11p11.2
100313778	13	13q14.3
100313779	17	17q21.31
100313780	9	9q22.32
100313806	7	4p14
100313824	2	2q21.2
100313830	14	14q23.2
100313835	1	1q24.2
100313837	16	16p11.2
100313840	3	3p21.31
100313841	10	10p13
100313842	13	13q12.12
100313843	3	3p21.31
100313884	8	8p21.2
100313886	15	15q22.2
100313887	5	5q15
100313892	1	1p32.3
100313895	7	7q35
100313896	13	13q14.11
100313914	22	22q12.1
100313921	10	10q25.2
100313923	5	5q11.2
100313938	4	4q31.22
100316868	7	7p15.2
100316904	7	7q22.1
100329109	2	2q33.3
100329135	X	Xq23
100335030	12	12q13.12
100337591	2	2q24.3
100359394	X	Xp22.33 and Yp11.2
10036	19	19p13.3
100379132	12	12q15
100379141	16	16q22.2
100379174	20	20p12.1
100379220	4	4p16.3
100379224	19	19q13.31
100379249	2	2q37.3
100379250	11	11q14.1
100379251	1	1p36.22
100379661	21	21q21.3
10038	14	14q11.2
100381270	1	1q32.1
10039	3	3p21.2
1004	5	5p13.3
10040	17	17q22
100419008	3	3q21.3
10042	22	22q12.3
100422821	6	6q25.2
100422823	11	11q14.1
100422824	2	2q31.2
100422825	11	11p11.2
100422826	4	4p16.1
100422827	11	11p11.2
100422828	8	8p21.1
100422829	18	18q12.3
100422833	19	19p13.11
100422835	17	17p13.3
100422837	14	14q32.31
100422839	1	1q24.2
100422841	15	15q26.1
100422842	9	9q22.32
100422843	10	10p13
100422846	11	11q13.3
100422849	4	4q34.1
100422850	8	8p22
100422851	17	17q25.3
100422853	16	16q23.3
100422854	19	19p13.3
100422855	11	11q23.2
100422856	1	1q43
100422857	18	18q12.2
100422858	7	7q22.1
100422859	3	3p14.1
100422860	9	9q34.3
100422861	13	13q32.3
100422862	2	2p25.1
100422863	2	2q13
100422864	3	3q21.2
100422866	1	1p36.12
100422867	10	10q26.3
100422868	3	3p25.1
100422869	9	9p22.1
100422871	1	1p31.3
100422872	2	12p13.31
100422873	10	10q26.3
100422874	5	5p13.3
100422875	20	20p11.23
100422876	8	8p12
100422878	13	13q14.11
100422879	1	1q44
100422880	11	11q12.1
100422881	13	13q32.2
100422882	1	1q24.3
100422883	20	20q13.31
100422884	6	6p11.2
100422885	2	5q23.1
100422887	5	5q14.3
100422888	2	2p12
100422889	20	20q13.2
100422891	21	21q22.11
100422892	10	10q24.1
100422893	9	9q34.11
100422894	1	1q32.2
100422895	10	10q11.23
100422896	4	4q31.3
100422898	1	1p34.3
100422900	10	10q24.32
100422901	3	3p24.3
100422902	1	1p31.3
100422903	8	8p21.1
100422904	20	20q11.21
100422907	18	18p11.21
100422908	2	2q32.2
100422909	10	10q25.2
100422912	22	22q12.2
100422913	19	19q13.32
100422914	1	1p36.12
100422915	17	17q25.3
100422916	22	22q13.32
100422918	11	11q24.2
100422920	21	21q21.1
100422923	16	16p12.1
100422924	12	12q23.1
100422925	19	19p13.2
100422926	3	3q29
100422927	9	9q22.31
100422928	2	2q11.2
100422929	2	2p25.1
100422930	X	Xq28
100422931	12	12q24.31
100422933	3	3p25.3
100422934	6	6p22.1
100422936	9	9q22.2
100422938	5	5q33.3
100422940	13	13q14.11
100422942	2	2q37.3
100422943	19	19p13.11
100422945	20	20q13.33
100422946	1	1p31.3
100422947	1	1q32.3
100422950	5	5q33.2
100422951	6	6q22.31
100422953	11	11q13.4
100422954	14	14q32.31
100422957	2	2q35
100422959	2	2q35
100422961	17	17q24.1
100422962	5	5q35.2
100422963	9	9q22.2
100422964	8	8q22.1
100422965	2	2p23.2
100422966	5	5p15.33
100422967	7	7p21.1
100422969	17	17q12
100422971	15	15q23
100422973	13	13q21.2
100422974	16	16p13.3
100422975	1	1p36.31
100422979	19	19q13.33
100422980	19	19q13.2
100422981	14	14q32.13
100422982	8	8p23.1
100422983	17	17p13.1
100422984	14	14q22.2
100422986	2	2p24.3
100422988	10	10q11.21
100422989	10	10p15.1
100422990	3	3p25.1
100422991	11	11q21
100422992	8	8q22.3
100422993	2	2q33.3
100422994	2	2q13
100422995	15	15q26.1
100422996	2	2p25.1
100422997	1	1q21.2
100422998	22	22q12.1
100423000	11	11p11.2
100423001	6	6q24.1
100423002	2	2q33.3
100423004	17	17q21.31
100423005	6	6q13
100423009	X	Xq23
100423010	1	1q24.2
100423011	4	4p16.1
100423012	16	16p13.3
100423013	15	15q15.1
100423014	20	20q13.33
100423015	9	9q22.1
100423016	11	11p15.1
100423017	4	4q31.21
100423018	21	21q11.2
100423019	14	14q12
100423020	1	1q21.3
100423021	11	11p15.5
100423023	21	21q22.2
100423025	22	22q11.21
100423026	11	11p15.4
100423027	2	2q13
100423028	1	1p35.2
100423029	11	11q13.2
100423030	2	2p13.3
100423032	1	1q25.3
100423033	10	10q24.32
100423034	22	22q12.1
100423035	15	15q24.2
100423036	2	2q33.3
100423037	16	16p13.3
100423039	2	2q35
100423040	11	11q14.2
100423041	10	10q26.13
100423042	4	4q34.1
100423043	2	2q37.3
100423062	22	22q11.22
10043	22	22q12.3
100431172	12	12p13.31
10044	9	9q34.11
10045	19	19p13.3
10046	X	Xq28
100462977	17	17p11.2
100462981	3	5q14.1
100462983	20	20q13.31
100463285	16	16p13.3
100463289	10	10q21.1
100463486	11	11p15.4
100463487	6	6q11.1
100463488	X	Xp11.21
10047	20	20p11.21
10048	6	6p23
10049	7	7q36.3
100498859	3	3q25.31
100499171	2	2p24.3
100499177	4	4q21.22
100499183	8	8q22.3
100499227	11	11q23.3
100499405	12	12p13.31
100499467	17	17q24.3
100499483	9	9q22.33
100499484	9	9q22.33
1005	18	18q22.1
10050	6	6p22.2
100500773	8	8q22.1
100500801	1	1p34.3
100500802	12	12q22
100500803	3	3q25.32
100500807	X	Xq13.2
100500808	1	1p36.11
100500809	X	Xp22.12
100500811	9	9q34.3
100500812	16	16p13.3
100500813	20	20q13.12
100500814	20	20q13.12
100500816	12	12p13.33
100500817	12	12q24.32
100500818	4	4q35.1
100500820	5	5q31.3
100500821	9	9q22.31
100500822	X	Xp11.4
100500823	11	11q22.1
100500825	5	5q14.3
100500826	22	22q12.3
100500827	17	17q22
100500828	22	22q13.31
100500829	7	7p14.1
100500830	7	7p14.3
100500831	5	5q35.1
100500832	1	1q24.1
100500834	10	10q21.1
100500835	7	7q36.1
100500836	7	7q11.22
100500838	8	8p23.1
100500839	8	8q24.21
100500841	17	17q25.1
100500843	12	12q23.3
100500845	19	19q13.32
100500846	9	9q34.3
100500850	2	2p16.2
100500851	6	6q25.3
100500852	16	16p13.11
100500853	1	1p35.1
100500854	1	1p31.3
100500855	15	15q24.3
100500856	12	12q14.2
100500857	6	6q27
100500858	8	8p21.1
100500859	3	3q12.1
100500860	22	22q11.21
100500861	13	13q22.3
100500862	21	21p11.2
100500863	8	8q24.13
100500864	18	18q12.2
100500865	5	5q31.1
100500866	10	10q26.13
100500867	4	4q23
100500868	12	12q15
100500869	X	Xq24
100500870	8	8p23.1
100500871	8	8p21.1
100500872	9	9q34.11
100500875	3	3p14.3
100500876	1	1p36.13
100500877	3	3p12.3
100500878	2	2q21.2
100500879	6	6q24.1
100500881	4	4q32.1
100500882	22	22q13.33
100500883	7	7p14.3
100500884	2	2p24.3
100500885	6	6p21.2
100500886	7	7p22.1
100500887	X	Xq13.1
100500888	19	19p13.3
100500889	12	12q24.13
100500890	10	10p11.21
100500891	16	16q13
100500893	10	10q25.3
100500894	X	Xp22.33 and Yp11.2
100500895	17	17q24.2
100500896	7	7q31.1
100500897	20	20q13.12
100500898	9	9q31.3
100500899	6	6q25.3
100500900	6	6p25.1
100500901	22	22q12.2
100500902	9	9q22.31
100500903	12	12q15
100500904	15	15q14
100500905	5	5q31.1
100500906	9	9q34.3
100500907	8	8q22.1
100500908	13	13q14.2
100500909	12	12q24.31
100500911	10	10q26.3
100500913	3	3p24.3
100500915	X	Xp21.1
100500916	16	16p13.3
100500918	9	9q22.31
100500919	14	14q21.3
100500920	7	7q11.22
100500938	11	11p14.3
100505385	3	3q25.32-q25.33
100505474	18	18q21.2
100505478	9	9q32
100505501	8	8q12.1
100505502	10	10p11.22
100505515	20	20p12.1
100505518	13	13q22.3
100505530	6	6p21.2
100505532	8	8q12.1
100505534	15	15q15.1
100505536	20	20p12.1
100505538	13	13q31.1
100505540	10	10q24.1
100505545	4	4q31.22
100505547	3	3q26.32
100505549	18	18q21.31
100505555	19	19p13.2
100505561	10	10q24.2
100505566	3	3q26.32
100505570	11	11p15.5
100505573	15	15q15.1
100505576	17	17q12
100505583	10	10p11.22
100505585	19	19q13.2
100505588	9	9q33.3
100505591	17	17q21.1
100505592	18	18p11.31
100505601	10	10p11.21
100505609	3	3q26.33
100505616	15	15q25.2
100505619	16	16q12.1
100505622	19	19q13.2
100505624	2	2p23.3
100505625	5	5p15.31
100505633	1	1q23.2
100505635	6	6p21.2
100505636	5	5q31.3
100505641	3	3p25.1
100505648	15	15q15.1
100505658	5	5q31.3
100505659	8	8q13.1
100505663	20	20q12
100505664	20	20p11.21
100505666	1	1q21.3
100505676	8	8q13.1
100505678	5	5q22.1
100505679	15	15q25.2
100505681	19	19q13.32-q13.33
100505683	20	20p11.21
100505685	4	4q31.3
100505687	3	3q27.1
100505692	16	16q12.2
100505696	3	3p25.1
100505702	4	4q21.21
100505715	19	19q13.31
100505716	2	2p23.2
100505718	8	8q13.2
