geneId	diseaseName
21	Hamman-Rich syndrome
21	Respiratory Distress Syndrome
21	Idiopathic Pulmonary Fibrosis
21	Cataract microcornea syndrome
21	Surfactant Metabolism Dysfunction, Pulmonary, 3
21	Alveolitis, Fibrosing
22	Sideroblastic anemia
22	Ataxia
22	Ataxia, Sensory
22	Ataxia, Motor
22	Ataxia, Truncal
22	Abnormal coordination
22	Ataxia, Appendicular
22	Tremor, Rubral
22	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA
23	Hypersensitivity
23	Pneumonia
23	Lobar Pneumonia
23	Disease Exacerbation
23	Experimental Lung Inflammation
23	Allergic Reaction
23	Pneumonitis
24	Malignant neoplasm of breast
24	Cleft upper lip
24	Colorectal Carcinoma
24	Colorectal Neoplasms
24	Disorder of eye
24	Retinitis Pigmentosa
24	Age related macular degeneration
24	Stargardt's disease
24	Familial Exudative Vitreoretinopathy
24	STARGARDT DISEASE 1 (disorder)
24	Retinal Dystrophy, Early Onset Severe
24	CONE-ROD DYSTROPHY 3 (disorder)
24	RETINITIS PIGMENTOSA 19
24	Cone-Rod Dystrophy 2
24	Macular Degeneration, Age-Related, 2
24	Juvenile macular degeneration
25	Adenocarcinoma
25	Arachnodactyly
25	Bone Diseases, Developmental
25	Malignant neoplasm of breast
25	Burkitt Lymphoma
25	Esophageal Neoplasms
25	Failure to Thrive
25	Congenital Heart Defects
25	Childhood Acute Lymphoblastic Leukemia
25	L2 Acute Lymphoblastic Leukemia
25	Myeloid Leukemia, Chronic
25	Liver neoplasms
25	melanoma
25	Neoplasms, Experimental
25	Precancerous Conditions
25	Syndactyly
25	Congenital musculoskeletal anomalies
25	Adenocarcinoma, Basal Cell
25	Adenocarcinoma, Oxyphilic
25	Carcinoma, Cribriform
25	Carcinoma, Granular Cell
25	Adenocarcinoma, Tubular
25	Clinodactyly of fingers
25	Condition, Preneoplastic
25	Malignant neoplasm of liver
25	Large cell carcinoma of lung
25	Malignant neoplasm of esophagus
25	Carcinogenesis
25	Breast Carcinoma
25	Mammary Neoplasms, Human
25	Precursor B-cell lymphoblastic leukemia
25	Mammary Neoplasms
25	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
25	Precursor Cell Lymphoblastic Leukemia Lymphoma
25	CONGENITAL HEART DEFECTS AND SKELETAL MALFORMATIONS SYNDROME
25	Clinodactyly
25	Mammary Carcinoma, Human
26	Cardiomegaly
26	Hypertensive disease
26	Cardiac Hypertrophy
28	Alcoholic Intoxication, Chronic
28	Coronary Arteriosclerosis
28	Curling Ulcer
28	Duodenal Ulcer
28	Pancreatic Neoplasm
28	Prostatic Neoplasms
28	Cerebrovascular accident
28	Alcohol abuse
28	Malignant neoplasm of pancreas
28	Malignant neoplasm of prostate
28	Mood Disorders
28	Acute Cerebrovascular Accidents
28	Coronary Artery Disease
28	Diverticular Diseases
28	Diverticular Bleeding
28	Carcinoma, Ovarian Epithelial
29	Prostatic Neoplasms
29	Malignant neoplasm of prostate
31	Colorectal Carcinoma
31	Heart failure
31	Congestive heart failure
31	Left-Sided Heart Failure
31	Heart Failure, Right-Sided
31	Acetyl-CoA: carboxylase deficiency
31	Myocardial Failure
31	Heart Decompensation
31	Liver carcinoma
32	Insulin Resistance
32	Obesity
32	Insulin Sensitivity
32	Pancreatic Ductal Adenocarcinoma
33	Long chain acyl-CoA dehydrogenase deficiency
34	Malignant neoplasm of breast
34	Obesity
34	Rhabdomyolysis
34	Sudden infant death syndrome
34	Weight Gain
34	Liver Failure
34	Medium-chain acyl-coenzyme A dehydrogenase deficiency
34	Necrotizing Enterocolitis
35	Bipolar Disorder
35	Heart failure
35	Congestive heart failure
35	Left-Sided Heart Failure
35	Heart Failure, Right-Sided
35	Deficiency of butyryl-CoA dehydrogenase
35	Myocardial Failure
35	Heart Decompensation
36	Autistic Disorder
36	2-Methylbutyryl-CoA Dehydrogenase Deficiency
37	Anoxemia
37	Anoxia
37	Hypoxia
37	Metabolic myopathy
37	Erythrocyte Mean Corpuscular Hemoglobin Test
37	Hypoxemia
37	Finding of Mean Corpuscular Hemoglobin
37	Very long chain acyl-CoA dehydrogenase deficiency
38	Jacksonian Seizure
38	Kidney Failure, Chronic
38	Liver Cirrhosis, Experimental
38	Seizures
38	Complex partial seizures
38	Generalized seizures
38	Clonic Seizures
38	Visual seizure
38	Tonic Seizures
38	Epileptic drop attack
38	Seizures, Somatosensory
38	Seizures, Auditory
38	Olfactory seizure
38	Gustatory seizure
38	Vertiginous seizure
38	Tonic - clonic seizures
38	Non-epileptic convulsion
38	Single Seizure
38	Atonic Absence Seizures
38	Convulsive Seizures
38	Seizures, Focal
38	Seizures, Sensory
38	Deficiency of acetyl-CoA acetyltransferase
38	Nonepileptic Seizures
38	Convulsions
38	Absence Seizures
38	Epileptic Seizures
38	Myoclonic Seizures
38	Generalized Absence Seizures
39	Cytosolic acetoacetyl-CoA thiolase deficiency
40	Autistic Disorder
40	Inflammation
41	Brain Ischemia
41	Inflammation
41	Cerebral Ischemia
43	Alzheimer's Disease
43	Amyloidosis
43	Anemia
43	Malignant neoplasm of urinary bladder
43	Bladder Neoplasm
43	Malignant neoplasm of breast
43	Renal Cell Carcinoma
43	Presenile dementia
43	Drug toxicity
43	Growth Disorders
43	Jacksonian Seizure
43	Learning Disorders
43	Liver Cirrhosis, Experimental
43	Memory Disorders
43	Movement Disorders
43	Muscular Dystrophy
43	nervous system disorder
43	Obesity
43	Prostatic Neoplasms
43	Schizophrenia
43	Seizures
43	Tremor
43	Saturnine Tremor
43	Adverse reaction to drug
43	Senile Tremor
43	Complex partial seizures
43	Memory impairment
43	Persistent Tremor
43	Continuous Tremor
43	Intermittent Tremor
43	Fine Tremor
43	Coarse Tremor
43	Massive Tremor
43	Action Tremor
43	Passive Tremor
43	Static Tremor
43	Resting Tremor
43	Darkness Tremor
43	Generalized seizures
43	Clonic Seizures
43	Tremor, Perioral
43	Tremor, Limb
43	Tremor, Muscle
43	Nerve Tremors
43	Tremor, Neonatal
43	Amphetamine-Related Disorders
43	Amphetamine Addiction
43	Amphetamine Abuse
43	Etat Marbre
43	Visual seizure
43	Tonic Seizures
43	Epileptic drop attack
43	Familial Alzheimer Disease (FAD)
43	Conventional (Clear Cell) Renal Cell Carcinoma
43	Organophosphorus Poisoning
43	Malignant neoplasm of prostate
43	Seizures, Somatosensory
43	Seizures, Auditory
43	Olfactory seizure
43	Gustatory seizure
43	Vertiginous seizure
43	Alzheimer Disease, Late Onset
43	Tonic - clonic seizures
43	Acute Confusional Senile Dementia
43	Breast Carcinoma
43	Organophosphate poisoning
43	Alzheimer's Disease, Focal Onset
43	Alzheimer Disease, Early Onset
43	Non-epileptic convulsion
43	Single Seizure
43	Atonic Absence Seizures
43	Adult Learning Disorders
43	Learning Disturbance
43	Learning Disabilities
43	Age-Related Memory Disorders
43	Memory Disorder, Semantic
43	Memory Disorder, Spatial
43	Memory Loss
43	Convulsive Seizures
43	Seizures, Focal
43	Seizures, Sensory
43	Pill Rolling Tremor
43	Tremor, Semirhythmic
43	Mammary Neoplasms, Human
43	Chromophobe Renal Cell Carcinoma
43	Sarcomatoid Renal Cell Carcinoma
43	Collecting Duct Carcinoma of the Kidney
43	Papillary Renal Cell Carcinoma
43	Developmental Academic Disorder
43	Mammary Neoplasms
43	Involuntary Quiver
43	Organothiophosphonate Poisoning
43	Organothiophosphate Poisoning
43	Nonepileptic Seizures
43	Convulsions
43	Absence Seizures
43	Epileptic Seizures
43	Myoclonic Seizures
43	Generalized Absence Seizures
43	Mammary Carcinoma, Human
47	Heart failure
47	Congestive heart failure
47	Left-Sided Heart Failure
47	Obesity
47	Heart Failure, Right-Sided
47	Myocardial Failure
47	Heart Decompensation
47	Liver carcinoma
48	Neoplasm Invasiveness
48	Degenerative polyarthritis
48	Osteoarthrosis Deformans
50	Malignant neoplasm of breast
50	Respiratory Distress Syndrome, Adult
50	Liver carcinoma
50	INFANTILE CEREBELLAR-RETINAL DEGENERATION
50	OPTIC ATROPHY 9
51	Alloxan Diabetes
51	Diabetes Mellitus, Experimental
51	Streptozotocin Diabetes
51	Peroxisomal ACYL-COA oxidase deficiency
51	Liver carcinoma
52	Schizophrenia
52	Unipolar Depression
52	Major Depressive Disorder
53	Acid Phosphatase Deficiency
54	Hyperparathyroidism, Secondary
54	Liver Cirrhosis, Experimental
54	Obesity
54	Spondyloenchondrodysplasia
54	Disproportionate short stature
54	SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION
54	Autoinflammatory disorder
55	Juvenile-Onset Still Disease
55	Juvenile arthritis
55	Juvenile psoriatic arthritis
55	Polyarthritis, Juvenile, Rheumatoid Factor Negative
55	Polyarthritis, Juvenile, Rheumatoid Factor Positive
58	Cardiomyopathy, Dilated
58	Hypertrophic Cardiomyopathy
58	Left Ventricular Hypertrophy
58	Centronuclear myopathy
58	Myopathies, Nemaline
58	Zebra body myopathy
58	Eichsfeld type congenital muscular dystrophy
58	X-linked centronuclear myopathy
58	Tubular Aggregate Myopathy
58	Nemaline Myopathy, Childhood Onset
58	Congenital Fiber Type Disproportion
58	Congenital Structural Myopathy
58	Myopathy, Actin, Congenital, with Excess of Thin Myofilaments
58	Myopathy, Centronuclear, Autosomal Dominant
58	Myopathy, Actin, Congenital, With Cores
58	Autosomal Recessive Centronuclear Myopathy
58	Autosomal Dominant Myotubular Myopathy
58	Actin-Accumulation Myopathy
58	MYOPATHY, SCAPULOHUMEROPERONEAL
58	Myopathy, Centronuclear, 1
59	Cholestasis, Extrahepatic
59	Malignant neoplasm of breast
59	Malignant tumor of colon
59	Colonic Neoplasms
59	Endometriosis
59	Fetal Growth Retardation
59	Focal glomerulosclerosis
59	Hepatitis, Chronic
59	Ischemia
59	Kidney Diseases
59	Liver Cirrhosis
59	Liver Cirrhosis, Experimental
59	Liver diseases
59	Moyamoya Disease
59	Myocardial Infarction
59	Nephrosclerosis
59	Pulmonary Fibrosis
59	Systemic Scleroderma
59	Ureteral obstruction
59	Hyalinosis, Segmental Glomerular
59	Liver Dysfunction
59	Chronic Persistent Hepatitis
59	Aortic Aneurysm, Thoracic
59	Fibrosis, Liver
59	Endometrioma
59	Aortic Aneurysm, Thoracoabdominal
59	Chronic active hepatitis
59	Cryptogenic Chronic Hepatitis
59	Breast Carcinoma
59	Mammary Neoplasms, Human
59	Mammary Neoplasms
59	Nephrogenic Fibrosing Dermopathy
59	Copper-Overload Cirrhosis
59	Aortic Aneurysm, Familial Thoracic 6
59	Moyamoya disease 1
59	MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION SYNDROME
59	MOYAMOYA DISEASE 5
59	Mammary Carcinoma, Human
59	Familial thoracic aortic aneurysm and aortic dissection
59	Alveolitis, Fibrosing
60	Anoxemia
60	Anoxia
60	Bipolar Disorder
60	Blood Platelet Disorders
60	Carcinoma
60	Congenital ocular coloboma (disorder)
60	Dysostoses
60	Dystonia
60	Esophageal Neoplasms
60	Sensorineural Hearing Loss (disorder)
60	Hepatitis, Toxic
60	Lung Neoplasms
60	Animal Mammary Neoplasms
60	Mammary Neoplasms, Experimental
60	Neoplasm Invasiveness
60	Degenerative polyarthritis
60	Schizophrenia
60	Osteoarthrosis Deformans
60	Myocardial Ischemia
60	Anaplastic carcinoma
60	Carcinoma, Spindle-Cell
60	Undifferentiated carcinoma
60	Carcinomatosis
60	Hypoxia
60	Malignant neoplasm of lung
60	Pigmented hairy epidermal nevus
60	Cranioschisis
60	Qualitative abnormality of granulocyte
60	Craniofacial Abnormalities
60	Dystonia, Paroxysmal
60	Dystonia, Diurnal
60	Congenital neurologic anomalies
60	Malignant neoplasm of esophagus
60	Hypoxemia
60	Dystonia, Limb
60	Drug-Induced Liver Disease
60	Mammary Carcinoma, Animal
60	Hepatitis, Drug-Induced
60	Sensory hearing loss
60	Juvenile-onset dystonia
60	Fryns-Aftimos Syndrome
60	Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation
60	Becker Nevus Syndrome
60	Liver carcinoma
60	Drug-Induced Acute Liver Injury
60	Chemical and Drug Induced Liver Injury
60	Chemically-Induced Liver Toxicity
60	Uveoretinal Coloboma
70	Cardiomyopathy, Dilated
70	Hypertrophic Cardiomyopathy
70	Malignant neoplasm of stomach
70	Precancerous Conditions
70	Refractive Errors
70	Stomach Neoplasms
70	Condition, Preneoplastic
70	Familial dilated cardiomyopathy
70	Ostium secundum atrial septal defect
70	Cardiomyopathies
70	Cardiomyopathy, Familial Idiopathic
70	Ametropia
70	Hereditary Diffuse Gastric Cancer
70	Left ventricular noncompaction
70	Cardiomyopathy, Familial Hypertrophic, 11
70	Atrial Septal Defect 5
70	CARDIOMYOPATHY, DILATED, 1R
70	LEFT VENTRICULAR NONCOMPACTION 4
70	Left ventricular noncompaction cardiomyopathy
71	Osteoporosis, Age-Related
71	Blepharoptosis
71	Carcinoma
71	Neoplastic Cell Transformation
71	Congenital ocular coloboma (disorder)
71	Epilepsy
71	Macrostomia
71	Animal Mammary Neoplasms
71	Mammary Neoplasms, Experimental
71	Osteoporosis
71	Osteoporosis, Senile
71	Ptosis
71	Anaplastic carcinoma
71	Carcinoma, Spindle-Cell
71	Undifferentiated carcinoma
71	Carcinomatosis
71	Short upturned nose
71	Cranioschisis
71	Congenital coloboma of iris
71	Craniofacial Abnormalities
71	Congenital neurologic anomalies
71	Post-Traumatic Osteoporosis
71	Abnormality of the pinna
71	Acute Coronary Syndrome
71	Mammary Carcinoma, Animal
71	hearing impairment
71	Progressive sensorineural hearing impairment
71	Pointed chin
71	Long palpebral fissure
71	Fryns-Aftimos Syndrome
71	Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation
71	Deafness, Autosomal Dominant 20
71	Long philtrum
71	Thin upper lip vermilion
71	Highly arched eyebrow
71	Hearing loss begins with loss of high frequencies
71	Audiogram shows sloping configuration
71	Deafness, profound, by 6th decade
71	Microphthalmia (in some patients)
71	BARAITSER-WINTER SYNDROME 2
71	Deafness (in some patients)
71	Nonsyndromic Deafness
71	Short neck (in some patients)
71	Enlarged ventricles (in some patients)
71	Heart defect (in some patients)
71	Pterygium colli (in some patients)
71	Hypertelorism/telecanthus
71	Eye coloboma (in some patients)
71	Trigonocephaly/metopic ridge
71	Pectus (in some patients)
71	Kyphosis/scoliosis (in some patients)
71	Prominent nasal root on profile
71	Large, squared nose tip
71	Retrognathia (in some patients)
71	Prominent/full/wide cheeks
71	Uveoretinal Coloboma
71	Coloboma of choroid and retina
72	Malignant tumor of colon
72	Colonic Neoplasms
72	Visceral Myopathy
72	Visceral Myopathy, Familial
72	Megacystis microcolon intestinal hypoperistalsis syndrome
72	Megaduodenum and-or Megacystis
81	Carcinoma
81	Focal glomerulosclerosis
81	Hepatitis, Toxic
81	Animal Mammary Neoplasms
81	Mammary Neoplasms, Experimental
81	Hyalinosis, Segmental Glomerular
81	Anaplastic carcinoma
81	Carcinoma, Spindle-Cell
81	Undifferentiated carcinoma
81	Carcinomatosis
81	Drug-Induced Liver Disease
81	Mammary Carcinoma, Animal
81	Hepatitis, Drug-Induced
81	NEPHROTIC SYNDROME, STEROID-RESISTANT, AUTOSOMAL RECESSIVE
81	Drug-Induced Acute Liver Injury
81	Chemical and Drug Induced Liver Injury
81	Chemically-Induced Liver Toxicity
81	Focal segmental glomerulosclerosis 1
86	Developmental delay (disorder)
86	Global developmental delay
86	Intellectual Disability
87	Liver Cirrhosis, Experimental
87	Macrothrombocytopenia
87	BLEEDING DISORDER, PLATELET-TYPE, 15
87	Autosomal dominant macrothrombocytopenia
88	Familial dilated cardiomyopathy
88	Cardiomyopathies
88	Cardiomyopathy, Dilated, 1AA
90	Astrocytoma
90	Malignant neoplasm of breast
90	Connective Tissue Diseases
90	Fibrodysplasia Ossificans Progressiva
90	Glioma
90	melanoma
90	Myositis Ossificans
90	Iron-Refractory Iron Deficiency Anemia
90	Subependymal Giant Cell Astrocytoma
90	Acute Lung Injury
90	mixed gliomas
90	Juvenile Pilocytic Astrocytoma
90	Diffuse Astrocytoma
90	Anaplastic astrocytoma
90	Protoplasmic astrocytoma
90	Gemistocytic astrocytoma
90	Fibrillary Astrocytoma
90	Pilocytic Astrocytoma
90	Childhood Cerebral Astrocytoma
90	Mixed oligoastrocytoma
90	Malignant Glioma
90	Breast Carcinoma
90	Cerebral Astrocytoma
90	Intracranial Astrocytoma
90	Mammary Neoplasms, Human
90	Mammary Neoplasms
90	Grade I Astrocytoma
90	Mammary Carcinoma, Human
92	Gastric Adenocarcinoma
92	Microsatellite Instability
92	Replication Error Phenotype
93	Situs Inversus
93	Asplenia Syndrome
93	Polysplenia Syndrome
93	Situs ambiguus
93	Situs ambiguous
93	HETEROTAXY, VISCERAL, 4, AUTOSOMAL
93	Heterotaxy Syndrome
93	Right Atrial Isomerism
93	Left Atrial Isomerism
93	Ciliopathies
94	Blood Coagulation Disorders
94	Epistaxis
94	Pulmonary Hypertension
94	Hereditary hemorrhagic telangiectasia
94	Telangiectasis
94	Pulmonary Arteriovenous Fistulas
94	Congenital pulmonary arteriovenous malformation
94	Familial primary pulmonary hypertension
94	Arteriovenous malformation of liver
94	2-oxo-hept-3-ene-1,7-dioate hydratase activity
94	Bleeding tendency
94	Familial pulmonary arterial hypertension
94	HEREDITARY HEMORRHAGIC TELANGIECTASIA-RELATED PULMONARY ARTERIAL HYPERTENSION
94	OSLER-RENDU-WEBER SYNDROME 2
94	Pulmonary arteriovenous malformation
94	Pulmonary arterial hypertension
94	Idiopathic pulmonary arterial hypertension
94	Vascular Remodeling
94	Pulmonary Arterial Remodeling
94	Telangiectasia, Hereditary Hemorrhagic, Type 1
94	Familial thoracic aortic aneurysm and aortic dissection
95	Malignant neoplasm of breast
95	Renal Cell Carcinoma
95	Precancerous Conditions
95	Conventional (Clear Cell) Renal Cell Carcinoma
95	Condition, Preneoplastic
95	Chromophobe Renal Cell Carcinoma
95	Sarcomatoid Renal Cell Carcinoma
95	Collecting Duct Carcinoma of the Kidney
95	Papillary Renal Cell Carcinoma
95	Aminoacylase 1 deficiency
95	Intellectual Disability
98	HEARING LOSS, CISPLATIN-INDUCED, SUSCEPTIBILITY TO
100	Autistic Disorder
100	Hyperemia
100	Liver Cirrhosis, Experimental
100	Lung Neoplasms
100	Spinal Cord Diseases
100	Venous Engorgement
100	Severe Combined Immunodeficiency
100	Reactive Hyperemia
100	Multiple gastrointestinal atresias (disorder)
100	Malignant neoplasm of lung
100	Adenosine deaminase deficiency
100	Active Hyperemia
100	Severe combined immunodeficiency due to adenosine deaminase deficiency
100	Structural Clinical Interview for DSM-III
100	Pancreatic Ductal Adenocarcinoma
100	SCID Due to ADA Deficiency, Early-Onset
100	Partial adenosine deaminase deficiency
100	Omenn Syndrome
101	Hepatitis, Toxic
101	Drug-Induced Liver Disease
101	Hepatitis, Drug-Induced
101	Drug-Induced Acute Liver Injury
101	Chemical and Drug Induced Liver Injury
101	Chemically-Induced Liver Toxicity
102	Alzheimer's Disease
102	Malignant neoplasm of breast
102	Presenile dementia
102	Familial Alzheimer Disease (FAD)
102	Reticulate acropigmentation of Kitamura
102	Alzheimer Disease, Late Onset
102	Acute Confusional Senile Dementia
102	Breast Carcinoma
102	Alzheimer's Disease, Focal Onset
102	Alzheimer Disease, Early Onset
102	Mammary Neoplasms, Human
102	Stage IV Skin Melanoma
102	Mammary Neoplasms
102	dowling-degos disease
102	ALZHEIMER DISEASE 18
102	Dowling-Degos disease 1
102	Mammary Carcinoma, Human
103	Malignant neoplasm of breast
103	Dystonia
103	AICARDI-GOUTIERES SYNDROME
103	Symmetrical dyschromatosis of extremities
103	Breast Carcinoma
103	STRIATONIGRAL DEGENERATION, INFANTILE (disorder)
103	AICARDI-GOUTIERES SYNDROME 1
103	Mammary Neoplasms, Human
103	Mammary Neoplasms
103	Aicardi-Goutieres Syndrome 2
103	Pseudo-TORCH syndrome
103	AICARDI-GOUTIERES SYNDROME 6
103	Autoinflammatory disorder
103	Mammary Carcinoma, Human
104	Bipolar Disorder
104	Polycystic Ovary Syndrome
104	Psychotic Disorders
104	Schizophrenia
104	Sclerocystic Ovaries
105	Colorectal Carcinoma
105	Drug abuse
105	Drug habituation
105	Drug Use Disorders
105	Organic Mental Disorders, Substance-Induced
105	Parkinson Disease
105	Substance Dependence
105	Substance Use Disorders
105	Substance-Related Disorders
105	Substance abuse problem
105	Drug Dependence
105	Prescription Drug Abuse
107	Substance Withdrawal Syndrome
107	Drug Withdrawal Symptoms
107	Withdrawal Symptoms
107	Small cell carcinoma of lung
107	Hyperkinesia, Generalized
107	DEAFNESS, AUTOSOMAL RECESSIVE (disorder)
107	DEAFNESS, AUTOSOMAL RECESSIVE 44
107	Hyperkinesia
108	Asthma
108	Bipolar Disorder
108	Depression, Bipolar
108	Manic Disorder
108	Manic
109	Bipolar Disorder
109	Diabetic Angiopathies
109	Microangiopathy, Diabetic
109	Obesity
109	Obesity, Morbid
109	Mood Disorders
111	Osteoporosis, Age-Related
111	Alcoholic Intoxication, Chronic
111	Birth Weight
111	Carcinoma
111	Mental Depression
111	Depressive disorder
111	Diabetes Mellitus, Non-Insulin-Dependent
111	Dystonia
111	Fibrosis
111	Hypertensive disease
111	Animal Mammary Neoplasms
111	Mammary Neoplasms, Experimental
111	Osteoporosis
111	Osteoporosis, Senile
111	Cardiomyopathies, Primary
111	Myocardial Diseases, Secondary
111	Unipolar Depression
111	Anaplastic carcinoma
111	Carcinoma, Spindle-Cell
111	Undifferentiated carcinoma
111	Carcinomatosis
111	Ventricular Dysfunction, Left
111	Benign Hereditary Chorea
111	Post-Traumatic Osteoporosis
111	Cardiomyopathies
111	Mammary Carcinoma, Animal
111	Major Depressive Disorder
111	Neurodevelopmental Disorders
111	Cirrhosis
111	Dyskinesia, Familial, with Facial Myokymia
111	Chorea, Benign Familial
112	LETHAL CONGENITAL CONTRACTURE SYNDROME 8
113	Alcoholic Intoxication, Chronic
113	Ulcerative Colitis
113	Mental Depression
113	Depressive disorder
113	Leukemia, Myelocytic, Acute
113	Acute Myeloid Leukemia, M1
113	Schizophrenia
113	Unipolar Depression
113	Juvenile-Onset Still Disease
113	Mood Disorders
